ResourceID,brocade.id,card,order,source_field,Writing material
a910bf47-9338-565a-a0fa-739407be5464,tg:lhbr:282525,WritingMaterials,1,kenmerken.lhschrijfhs,ink
91b16930-de8e-55a0-bcfa-b1a417332eff,tg:lhbr:249421,WritingMaterials,1,kenmerken.lhschrijfhs,ink
6e488d18-5dca-5839-951a-8f7edb07961c,tg:lhbr:234111,WritingMaterials,1,kenmerken.lhschrijfhs,ink
08b5b18b-fa88-5b47-b703-dd3f90bbdbde,tg:lhbr:262771,WritingMaterials,1,kenmerken.lhschrijfhs,ink
533c7899-a944-5c32-a6b5-b42e0e17a023,tg:lhbr:280518,WritingMaterials,1,kenmerken.lhschrijfhs,ink
4dc44433-fdf8-5104-af44-dba143ac1158,tg:lhbr:182570,WritingMaterials,1,kenmerken.lhschrijfhs,ink
3e039b6a-20d7-535c-98aa-aa5272d027ff,tg:lhbr:217671,WritingMaterials,1,kenmerken.lhschrijfhs,ink
a6f0cc7f-525c-54ca-8c19-cff781e70aaa,tg:lhbr:212189,WritingMaterials,1,kenmerken.lhschrijfhs,ball-point pens
44979b56-311b-5569-8f71-d9104804bcc2,tg:lhbr:199296,WritingMaterials,1,kenmerken.lhschrijfhs,ink
0468ece6-2199-5325-8741-779497675c16,tg:lhbr:276362,WritingMaterials,1,kenmerken.lhschrijfhs,ink
f096fb19-867e-5d46-b7aa-c7485789ffc5,tg:lhbr:296136,WritingMaterials,1,kenmerken.lhschrijfhs,ball-point pens
d2362082-f4d5-503c-9c00-ee0dad0764b3,tg:lhbr:238831,WritingMaterials,1,kenmerken.lhschrijfhs,ink
e2c34ed6-9c9e-5d27-a15c-7b7f0bed5293,tg:lhbr:291309,WritingMaterials,1,kenmerken.lhschrijfhs,ball-point pens
ef391897-cfd7-571f-a3a3-8a60d3be975b,tg:lhbr:258230,WritingMaterials,1,kenmerken.lhschrijfhs,ink
90751e79-fac7-5169-8bad-90fea2fb6fd7,tg:lhbr:293334,WritingMaterials,1,kenmerken.lhschrijfhs,ink
094e2a0c-caba-507f-b810-947b832bf43d,tg:lhbr:186860,WritingMaterials,1,kenmerken.lhschrijfhs,ink
42883c45-714a-5d2d-b202-7e387214a590,tg:lhbr:269994,WritingMaterials,1,kenmerken.lhschrijfhs,ball-point pens
63b36526-6bcb-500b-9a32-f36837625edf,tg:lhbr:225700,WritingMaterials,1,kenmerken.lhschrijfhs,ink
48143836-c05e-5382-87fa-da81c50257d6,tg:lhbr:273160,WritingMaterials,1,kenmerken.lhschrijfhs,ink
14cc8cf8-03f4-5900-9cc9-736172f55a21,tg:lhbr:276698,WritingMaterials,1,kenmerken.lhschrijfhs,ink
f39bc77a-59f9-5373-9aa7-f4375d88873d,tg:lhbr:268686,WritingMaterials,1,kenmerken.lhschrijfhs,ink
6025ed6d-a163-599e-b34e-7e2dde15114d,tg:lhbr:187772,WritingMaterials,1,kenmerken.lhschrijfhs,ink
d14e8bae-1df1-592a-8dae-2eee51b19b87,tg:lhbr:244213,WritingMaterials,1,kenmerken.lhschrijfhs,ink
672c8cdd-943b-5f6d-99a3-fb8dfc740397,tg:lhbr:267573,WritingMaterials,1,kenmerken.lhschrijfhs,ink
ff82ccc6-bdcc-5512-a0f1-7ae9c86c210c,tg:lhbr:188487,WritingMaterials,1,kenmerken.lhschrijfhs,ink
d70604c9-9b00-5bc7-8b5d-cfc5b206fbfa,tg:lhbr:251912,WritingMaterials,1,kenmerken.lhschrijfhs,ink
a049b20b-900c-55b9-bd54-ba3c11f5c03b,tg:lhbr:250600,WritingMaterials,1,kenmerken.lhschrijfhs,ink
f081ab05-8a4b-5bca-bfe1-9a47398d94b2,tg:lhbr:206060,WritingMaterials,1,kenmerken.lhschrijfhs,ink
c388072d-cd72-5885-9ac0-80c47a01c94b,tg:lhbr:193361,WritingMaterials,1,kenmerken.lhschrijfhs,ink
c133c28e-fbca-5d1a-a0a1-ce7d6336f3b5,tg:lhbr:234541,WritingMaterials,1,kenmerken.lhschrijfhs,ball-point pens
eadfe584-a3a8-547b-a7ff-5bb39c17b7bc,tg:lhbr:177875,WritingMaterials,1,kenmerken.lhschrijfhs,ink
ad4bb3cb-5e14-5705-9ea5-2f43529eacea,tg:lhbr:282175,WritingMaterials,1,kenmerken.lhschrijfhs,ink
7d43f0bd-4956-560f-83dc-a4504b8efa68,tg:lhbr:249071,WritingMaterials,1,kenmerken.lhschrijfhs,ink
a3bf21f2-b48c-5303-9d5e-dd96f349cdd3,tg:lhbr:202920,WritingMaterials,1,kenmerken.lhschrijfhs,ink
a5b9d2d9-f572-57d4-94d3-d4608f1f6920,tg:lhbr:175848,WritingMaterials,1,kenmerken.lhschrijfhs,ball-point pens
730d437c-a958-5c0f-a1f1-dfb7c0aaf7f2,tg:lhbr:280148,WritingMaterials,1,kenmerken.lhschrijfhs,ink
28abc09e-1c5f-500c-8320-756829b5502e,tg:lhbr:203632,WritingMaterials,1,kenmerken.lhschrijfhs,ink
5f68239b-328f-5dc2-8760-b56195897238,tg:lhbr:228562,WritingMaterials,1,kenmerken.lhschrijfhs,ink
3e94edd3-e843-56c8-904e-8003cb696bc1,tg:lhbr:252797,WritingMaterials,1,kenmerken.lhschrijfhs,ink
b8d37f44-9bb2-5a51-83c9-087c70a713da,tg:lhbr:227697,WritingMaterials,1,kenmerken.lhschrijfhs,ink
f5e722db-93f3-5ef2-8567-1e1059ae8802,tg:lhbr:179492,WritingMaterials,1,kenmerken.lhschrijfhs,ink
7af2049c-5333-5d20-be18-c85fd22ec3de,tg:lhbr:276732,WritingMaterials,1,kenmerken.lhschrijfhs,ink
b82b0755-b25a-5ce4-8bd7-a778fa758720,tg:lhbr:220152,WritingMaterials,1,kenmerken.lhschrijfhs,ink
944a7325-54bc-5b91-9dc0-00b69e300a1e,tg:lhbr:277820,WritingMaterials,1,kenmerken.lhschrijfhs,ink
5dd17a54-4352-50ad-a5af-5ca7fcd49d1c,tg:lhbr:182120,WritingMaterials,1,kenmerken.lhschrijfhs,ink
532f97ff-d629-5315-893b-9e5a9088ad8b,tg:lhbr:241441,WritingMaterials,1,kenmerken.lhschrijfhs,felt-tip pens
c46b1cc4-bf2e-5e35-8385-933871e04af3,tg:lhbr:239689,WritingMaterials,1,kenmerken.lhschrijfhs,ink
314b9948-58bb-5492-992d-47e3bc33595d,tg:lhbr:259972,WritingMaterials,1,kenmerken.lhschrijfhs,ink
fca913ea-587c-584d-a683-3d787d0118f2,tg:lhbr:187322,WritingMaterials,1,kenmerken.lhschrijfhs,ink
8f94caa4-5012-52df-bdfb-93dab13ba155,tg:lhbr:244643,WritingMaterials,1,kenmerken.lhschrijfhs,ink
c7ef309a-09c7-54f0-8bd8-5f3eb172b095,tg:lhbr:239373,WritingMaterials,1,kenmerken.lhschrijfhs,ink
eb4cfa67-f38b-540f-b8ac-99051fe4c395,tg:lhbr:245951,WritingMaterials,1,kenmerken.lhschrijfhs,ink
6e3f44f0-1171-5518-83d4-7c8434c6f2c3,tg:lhbr:291759,WritingMaterials,1,kenmerken.lhschrijfhs,ink
cfecff8f-7c14-5a67-ac73-ab2c55ac4e96,tg:lhbr:273530,WritingMaterials,1,kenmerken.lhschrijfhs,ball-point pens
feba788f-f0c1-5aa6-9724-6db8d1a684ae,tg:lhbr:293764,WritingMaterials,1,kenmerken.lhschrijfhs,ink
