ResourceID,brocade.id,card,order,Production Technique Type
aa64305a-b125-5b53-a572-2bec7aa3bb27,tg:lhbr:228132,ProductionTechniques,1,cc NOT FOUND IN: technique_types.csv
aa64305a-b125-5b53-a572-2bec7aa3bb27,tg:lhbr:228132,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
cdcbef42-3a6c-558b-9e07-475b1b26131c,tg:lhbr:255402,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
e01b5cf7-de26-5be4-ab4c-dbec23e187e1,tg:lhbr:203262,ProductionTechniques,1,pr NOT FOUND IN: technique_types.csv
3be709c0-3f47-5ab1-8b4d-6ea7bfc6095a,tg:lhbr:263863,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
db99c399-e816-5663-b323-d0f9cd4c11b1,tg:lhbr:176337,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
3be89d69-c8a1-5540-875d-76e3321a8958,tg:lhbr:196163,ProductionTechniques,1,cc NOT FOUND IN: technique_types.csv
3be89d69-c8a1-5540-875d-76e3321a8958,tg:lhbr:196163,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
7fe9f34b-931c-519f-a3ea-9002c5fffb78,tg:lhbr:279097,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
a910bf47-9338-565a-a0fa-739407be5464,tg:lhbr:282525,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
91b16930-de8e-55a0-bcfa-b1a417332eff,tg:lhbr:249421,ProductionTechniques,1,handschrift
6e488d18-5dca-5839-951a-8f7edb07961c,tg:lhbr:234111,ProductionTechniques,1,handschrift
08b5b18b-fa88-5b47-b703-dd3f90bbdbde,tg:lhbr:262771,ProductionTechniques,1,handschrift
0f24abab-a174-5cb1-bf46-2708a2fc4daf,tg:lhbr:192989,ProductionTechniques,1,cc NOT FOUND IN: technique_types.csv
0f24abab-a174-5cb1-bf46-2708a2fc4daf,tg:lhbr:192989,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
b544c937-61e2-53e3-9b09-5e19f5a0e4f3,tg:lhbr:218584,ProductionTechniques,1,pr NOT FOUND IN: technique_types.csv
533c7899-a944-5c32-a6b5-b42e0e17a023,tg:lhbr:280518,ProductionTechniques,1,handschrift
4dc44433-fdf8-5104-af44-dba143ac1158,tg:lhbr:182570,ProductionTechniques,1,handschrift
7766ac0c-ddc2-5166-b972-460edab48a2f,tg:lhbr:288128,ProductionTechniques,1,ts NOT FOUND IN: technique_types.csv
