brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,Serial Number,adm.note,adm.note.language,adm.note.type
tg:lhbr:228132,aa64305a-b125-5b53-a572-2bec7aa3bb27,Items,1,tr:lh:7870,210882/15,isad:lh:82192,S 59 / Archief Galeries,,,Nederlands,remarks
tg:lhbr:86166,df44f22d-aafb-505a-b80b-9c4cb604ca70,Items,1,tr:lh:1843,33404/2,isad:lh:37200,L 162 / B,,,Nederlands,remarks
tg:lhbr:57896,c24aca3d-4f7a-5759-9ecf-44fc57ab71d0,Items,1,tr:lh:6840,168874/3a-d,isad:lh:25754,G 994 / B,,,Nederlands,remarks
tg:lhbr:255402,cdcbef42-3a6c-558b-9e07-475b1b26131c,Items,1,tr:lh:9770,,isad:lh:145800,,J 416 / 56,,Nederlands,remarks
tg:lhbr:203262,e01b5cf7-de26-5be4-ab4c-dbec23e187e1,Items,1,tr:lh:7843,202514/3a-b,isad:lh:75373,,D 325/14,,Nederlands,remarks
tg:lhbr:127292,4dede4f4-0c70-5908-afe4-37173f2a0679,Items,1,tr:lh:4044,77521/226,isad:lh:53412,R 872 / B,,,Nederlands,remarks
tg:lhbr:66332,f67aef61-8e85-5979-8729-916af0bb1010,Items,1,tr:lh:2695,53186/267,isad:lh:30294,G 887 / B,,,Nederlands,remarks
tg:lhbr:30552,281b06fd-715b-54f8-8cf7-6e5d2e8f3659,Items,1,tr:lh:5863,124402/37,isad:lh:14900,U 656 / B,,,Nederlands,remarks
tg:lhbr:120557,7f59ae88-e386-5321-86e5-0c2d943a9b2d,Items,1,tr:lh:5863,124399/38,isad:lh:51143,R 3886 / B,,,Nederlands,remarks
tg:lhbr:263863,3be709c0-3f47-5ab1-8b4d-6ea7bfc6095a,Items,1,tr:lh:9943,,isad:lh:122653,,G 21795 / 595,,Nederlands,remarks
tg:lhbr:176337,db99c399-e816-5663-b323-d0f9cd4c11b1,Items,1,tr:lh:7063,177314/717,isad:lh:70793,D 125 / B2,,,Nederlands,remarks
tg:lhbr:37297,6deea745-e501-5ff0-b78a-b470b70969a4,Items,1,tr:lh:2660,52714/364,isad:lh:17644,C 3622 / B,,,Nederlands,remarks
tg:lhbr:147893,d2516495-5f52-5cca-9313-8e04a2e6d93e,Items,1,tr:lh:6158,142126/1,,V 3326 / B,,,Nederlands,remarks
tg:lhbr:196163,3be89d69-c8a1-5540-875d-76e3321a8958,Items,1,tr:lh:5678,114688/233,isad:lh:74608,T 48399 / B (1966),,,Nederlands,remarks
tg:lhbr:279097,7fe9f34b-931c-519f-a3ea-9002c5fffb78,Items,1,tr:lh:3032,112501/195,isad:lh:159546,,B 708 / 2205,,Nederlands,remarks
