ResourceID,brocade.id,card,order,ire.isaar.uuid,Artistic ISAAR Brocade ID,Artistic Actor Role,Artistic Actor Widget,Artistic Actor Identifier
aa64305a-b125-5b53-a572-2bec7aa3bb27,tg:lhbr:228132,ArtisticContent,1,ec088980-6865-51bc-953c-71bb468e9977,au::16864,correspondents (correspondence writers),"dlod={""id"":""ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/ec088980-6865-51bc-953c-71bb468e9977
aa64305a-b125-5b53-a572-2bec7aa3bb27,tg:lhbr:228132,ArtisticContent,2,9431ef6d-58bf-5d64-8c8e-90a4109271e7,au::56780,recipients (people),"dlod={""id"":""ark:/83110/x0/9431ef6d-58bf-5d64-8c8e-90a4109271e7"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/9431ef6d-58bf-5d64-8c8e-90a4109271e7
df44f22d-aafb-505a-b80b-9c4cb604ca70,tg:lhbr:86166,ArtisticContent,1,d3d38b5c-9f44-5337-9258-b54457bec379,au::10936,correspondents (correspondence writers),"dlod={""id"":""ark:/83110/x0/d3d38b5c-9f44-5337-9258-b54457bec379"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/d3d38b5c-9f44-5337-9258-b54457bec379
df44f22d-aafb-505a-b80b-9c4cb604ca70,tg:lhbr:86166,ArtisticContent,2,56c4f5b5-a245-5b8b-9f2d-8fda56444c9f,au::16015,recipients (people),"dlod={""id"":""ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/56c4f5b5-a245-5b8b-9f2d-8fda56444c9f
c24aca3d-4f7a-5759-9ecf-44fc57ab71d0,tg:lhbr:57896,ArtisticContent,1,da00885f-dddd-542c-9767-38420a17149f,au::7526,correspondents (correspondence writers),"dlod={""id"":""ark:/83110/x0/da00885f-dddd-542c-9767-38420a17149f"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/da00885f-dddd-542c-9767-38420a17149f
c24aca3d-4f7a-5759-9ecf-44fc57ab71d0,tg:lhbr:57896,ArtisticContent,2,eb78d403-c470-59c2-92e4-f10e8c07d19c,au::6434,recipients (people),"dlod={""id"":""ark:/83110/x0/eb78d403-c470-59c2-92e4-f10e8c07d19c"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/eb78d403-c470-59c2-92e4-f10e8c07d19c
cdcbef42-3a6c-558b-9e07-475b1b26131c,tg:lhbr:255402,ArtisticContent,1,fd2a5252-aae9-5ccb-a33f-f4b42fac771c,au::24979,correspondents (correspondence writers),"dlod={""id"":""ark:/83110/x0/fd2a5252-aae9-5ccb-a33f-f4b42fac771c"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/fd2a5252-aae9-5ccb-a33f-f4b42fac771c
cdcbef42-3a6c-558b-9e07-475b1b26131c,tg:lhbr:255402,ArtisticContent,2,9db23628-b2ea-5982-aebe-0b7e1f9b2541,au::9752,recipients (people),"dlod={""id"":""ark:/83110/x0/9db23628-b2ea-5982-aebe-0b7e1f9b2541"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/9db23628-b2ea-5982-aebe-0b7e1f9b2541
e01b5cf7-de26-5be4-ab4c-dbec23e187e1,tg:lhbr:203262,ArtisticContent,1,2de42cd3-f804-5d56-bc95-6e98b42f71d7,au::23096,correspondents (correspondence writers),"dlod={""id"":""ark:/83110/x0/2de42cd3-f804-5d56-bc95-6e98b42f71d7"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/2de42cd3-f804-5d56-bc95-6e98b42f71d7
e01b5cf7-de26-5be4-ab4c-dbec23e187e1,tg:lhbr:203262,ArtisticContent,2,060aae26-2307-563b-8e03-f669281bea24,au::5281,recipients (people),"dlod={""id"":""ark:/83110/x0/060aae26-2307-563b-8e03-f669281bea24"",""text"":"""",""name"":"""",""nameWithContext"":"""",""orgID"":""digipolis"",""suggestType"":""agent"",""json"":""""}",ark:/83110/x0/060aae26-2307-563b-8e03-f669281bea24
