ResourceID,brocade.id,card,order,External Relation,External Relation URL,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type
d25f5f96-a383-5b98-ac99-4c37f63a4adf,tg:lhhs:16460,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:6886860,Publicaties in de Anet catalogus,,,
9dbe167c-8f5c-5812-9770-ff7762926de0,tg:lhhs:15759,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:126783,Publicaties in de Anet catalogus,,,
1a4d30fa-ff1c-5f69-8143-72b8f846acfa,tg:lhhs:16319,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:162900,Publicaties in de Anet catalogus,,,
a7f5e1ed-2ea0-501b-8ad0-1cb070be2642,tg:lhhs:15962,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:655100,Publicaties in de Anet catalogus,,,
45d2f8d5-5cfd-50d2-867a-d9ff9ec26040,tg:lhhs:19629,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:191954,Publicaties in de Anet catalogus,"Dl II, p. 211",Nederlands,remarks
992ce359-e851-5560-87d2-c093df2d10d1,tg:lhhs:17288,ExternalRelations,1,gepubliceerd in /als, c:lvd:448106,,,,
be4d8a9d-4195-5540-8eba-17de2ccfb7ce,tg:lhhs:19445,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:472461,Publicaties in de Anet catalogus,,,
5e0fabe8-9f4f-5fe8-8664-a27b9edd52b8,tg:lhhs:19652,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:191954,Publicaties in de Anet catalogus,"Dl. III, p. 316",Nederlands,remarks
1c4f9193-33b6-5643-b9da-922894f8588a,tg:lhhs:16323,ExternalRelations,1,gepubliceerd in /als,https://anet.be/record/opacanet/c:lvd:6157007,Publicaties in de Anet catalogus,,,
69a65417-e3b6-5e22-8f19-9b4e23a485b8,tg:lhhs:19613,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/opacanet/c:lvd:191954,Publicaties in de Anet catalogus,"Dl. I, p. 96-98",Nederlands,remarks
