Object Number,Record Type,ResourceID,Keeper,Object Identifier,Object Number Type,Object Identifier Type,order,card
tg:lhdc:3721,,c5db2aef-7be7-5a21-9146-0c4b9cde508c,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c5db2aef-7be7-5a21-9146-0c4b9cde508c,repository numbers,object identifier,0,AA
tg:lhdc:2833,,294454d0-be4b-54ae-92e9-6da58a5fdd5f,Letterenhuis,https://data.letterenhuis.be/ark:/24970/294454d0-be4b-54ae-92e9-6da58a5fdd5f,repository numbers,object identifier,0,AA
tg:lhdc:729,,a043845f-7554-5ff0-9205-b645bb32caed,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a043845f-7554-5ff0-9205-b645bb32caed,repository numbers,object identifier,0,AA
tg:lhdc:3371,,17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,Letterenhuis,https://data.letterenhuis.be/ark:/24970/17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,repository numbers,object identifier,0,AA
tg:lhdc:683,,f90aee64-fa2e-5c5e-beca-16af546e9bdf,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f90aee64-fa2e-5c5e-beca-16af546e9bdf,repository numbers,object identifier,0,AA
tg:lhdc:379,,456fc8e4-524f-59bb-a7be-d14de36f2633,Letterenhuis,https://data.letterenhuis.be/ark:/24970/456fc8e4-524f-59bb-a7be-d14de36f2633,repository numbers,object identifier,0,AA
tg:lhdc:2999,,fc51f64c-6faa-5946-b18e-64976edf9643,Letterenhuis,https://data.letterenhuis.be/ark:/24970/fc51f64c-6faa-5946-b18e-64976edf9643,repository numbers,object identifier,0,AA
tg:lhdc:2130,,adac8886-4115-53ba-a5e9-e97f1cbeecb6,Letterenhuis,https://data.letterenhuis.be/ark:/24970/adac8886-4115-53ba-a5e9-e97f1cbeecb6,repository numbers,object identifier,0,AA
tg:lhdc:2560,,8e73840d-ac58-587b-b2db-ae1081b28992,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8e73840d-ac58-587b-b2db-ae1081b28992,repository numbers,object identifier,0,AA
tg:lhdc:2075,,b6e13194-eff2-58b9-a59e-60cfe66a3091,Letterenhuis,https://data.letterenhuis.be/ark:/24970/b6e13194-eff2-58b9-a59e-60cfe66a3091,repository numbers,object identifier,0,AA
