ResourceID,brocade.id,card,Start Date,Start Date Type,End Date,End Date Type,Start Date Note,Start Date Note Type,Start Date Note Language
c5db2aef-7be7-5a21-9146-0c4b9cde508c,tg:lhdc:3721,ProductionTimeSpans,1970-06-24,nan,nan,nan,nan,nan,nan
294454d0-be4b-54ae-92e9-6da58a5fdd5f,tg:lhdc:2833,ProductionTimeSpans,1949-08-18,nan,nan,nan,nan,nan,nan
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,ProductionTimeSpans,1955,nan,nan,nan,nan,nan,nan
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,tg:lhdc:3371,ProductionTimeSpans,1960-11-10,nan,nan,nan,nan,nan,nan
f90aee64-fa2e-5c5e-beca-16af546e9bdf,tg:lhdc:683,ProductionTimeSpans,1955,nan,nan,nan,nan,nan,nan
456fc8e4-524f-59bb-a7be-d14de36f2633,tg:lhdc:379,ProductionTimeSpans,1941-06-05,nan,nan,nan,nan,nan,nan
fc51f64c-6faa-5946-b18e-64976edf9643,tg:lhdc:2999,ProductionTimeSpans,1952-12-18,nan,nan,nan,nan,nan,nan
adac8886-4115-53ba-a5e9-e97f1cbeecb6,tg:lhdc:2130,ProductionTimeSpans,1966,nan,nan,nan,nan,nan,nan
8e73840d-ac58-587b-b2db-ae1081b28992,tg:lhdc:2560,ProductionTimeSpans,1980,nan,nan,nan,nan,nan,nan
b6e13194-eff2-58b9-a59e-60cfe66a3091,tg:lhdc:2075,ProductionTimeSpans,1987,nan,nan,nan,nan,nan,nan
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,tg:lhdc:2425,ProductionTimeSpans,1980,nan,nan,nan,nan,nan,nan
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,tg:lhdc:3664,ProductionTimeSpans,1969-02-12,nan,nan,nan,nan,nan,nan
b0927ea5-92c6-5720-af4d-1332e48ba275,tg:lhdc:1659,ProductionTimeSpans,1958,nan,nan,nan,nan,nan,nan
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,tg:lhdc:2976,ProductionTimeSpans,1952-06-26,nan,nan,nan,nan,nan,nan
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,ProductionTimeSpans,1852-08-18,nan,nan,nan,nan,nan,nan
93ffcee9-3198-5991-8a1f-f4bd6de1aca1,tg:lhdc:3234,ProductionTimeSpans,1957-10-17,nan,nan,nan,nan,nan,nan
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,tg:lhdc:1209,ProductionTimeSpans,1946,nan,nan,nan,nan,nan,nan
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,tg:lhdc:1823,ProductionTimeSpans,1968,nan,nan,nan,nan,nan,nan
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,tg:lhdc:1989,ProductionTimeSpans,1969,nan,nan,nan,nan,nan,nan
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,tg:lhdc:4322,ProductionTimeSpans,1963,nan,nan,nan,nan,nan,nan
194273e5-dce2-55d6-9225-a1a39c7683c4,tg:lhdc:1120,ProductionTimeSpans,1949,nan,nan,nan,nan,nan,nan
4968b442-83f7-5ac9-8739-78a9594fbb21,tg:lhdc:545,ProductionTimeSpans,1965,nan,nan,nan,nan,nan,nan
e82a4066-c13b-5c1e-a89a-f242d880158f,tg:lhdc:1570,ProductionTimeSpans,1959,nan,nan,nan,nan,nan,nan
69b18b18-bbe4-5c3f-8fce-82f5a18111df,tg:lhdc:4288,ProductionTimeSpans,1961,nan,nan,nan,nan,nan,nan
9260ac3a-493b-5c96-8e8b-2c088046afcd,tg:lhdc:3058,ProductionTimeSpans,1954-03-04,nan,nan,nan,nan,nan,nan
918e407c-5088-545f-9600-7455a2ad5ade,tg:lhdc:4267,ProductionTimeSpans,1965,nan,nan,nan,nan,nan,nan
a4f839b8-c912-557b-91e8-49e0629b7ca8,tg:lhdc:1435,ProductionTimeSpans,1973,nan,nan,nan,nan,nan,nan
c73efc8c-499e-5620-9f16-d42150dabc4f,tg:lhdc:3408,ProductionTimeSpans,1961-10-05,nan,nan,nan,nan,nan,nan
14f597ea-cc38-5294-ac90-c97e8f7570c6,tg:lhdc:4637,ProductionTimeSpans,0978-06-14,nan,nan,nan,nan,nan,nan
059e46d3-66dc-5b3b-895f-1f4f6b77c3e0,tg:lhdc:400,ProductionTimeSpans,1854-08-24,reconstructie,nan,nan,nan,nan,nan
1c069000-f37d-58f1-9832-62d2d4955dc6,tg:lhdc:1966,ProductionTimeSpans,1977,nan,nan,nan,nan,nan,nan
d9ef42d8-16a5-5f6b-aca1-2c16301c98bc,tg:lhdc:2649,ProductionTimeSpans,1945-09-17,nan,nan,nan,nan,nan,nan
863f5eca-b4fe-5ff0-9545-a487d5b19de6,tg:lhdc:953,ProductionTimeSpans,1948,nan,nan,nan,nan,nan,nan
2efcd247-0093-5f43-a4c1-a70f6ed1403e,tg:lhdc:2219,ProductionTimeSpans,1986,nan,nan,nan,nan,nan,nan
697fed17-e5ee-59ed-b9eb-5126ec80b459,tg:lhdc:2537,ProductionTimeSpans,1986,nan,nan,nan,nan,nan,nan
d1575020-0721-5685-a972-e30c2476f8a8,tg:lhdc:2167,ProductionTimeSpans,1980,nan,nan,nan,nan,nan,nan
41d14d41-dfc1-54f9-8a08-852c1805028e,tg:lhdc:4119,ProductionTimeSpans,1974,nan,nan,nan,nan,nan,nan
e9a999da-a1c8-5133-a100-77b0a816dae8,tg:lhdc:3326,ProductionTimeSpans,1959-10-29,nan,nan,nan,nan,nan,nan
62c249f2-b9a7-597a-ac55-22637354dd16,tg:lhdc:3776,ProductionTimeSpans,1971-12-08,nan,nan,nan,nan,nan,nan
f15274bf-0e02-5c8a-a85d-74b5b9e4e418,tg:lhdc:2864,ProductionTimeSpans,1950-03-30,nan,nan,nan,nan,nan,nan
427907aa-7f3e-50f7-9387-3e29bd48c71a,tg:lhdc:284,ProductionTimeSpans,1837-10-12,nan,nan,nan,nan,nan,nan
308a4123-ad05-5ab6-93fe-1353f2e949eb,tg:lhdc:3263,ProductionTimeSpans,1958-05-29,nan,nan,nan,nan,nan,nan
f5ee3ee2-4185-5e70-9efb-437c54abf769,tg:lhdc:791,ProductionTimeSpans,1952,nan,nan,nan,nan,nan,nan
2a28e1e7-f916-57ad-835d-e2681ece6f46,tg:lhdc:3799,ProductionTimeSpans,1972-05-31,nan,nan,nan,nan,nan,nan
5af84b01-84cf-512e-8360-b9f5c161be29,tg:lhdc:3633,ProductionTimeSpans,1968-06-12,nan,nan,nan,nan,nan,nan
d3d42335-5419-56f6-82d0-fead9c7db9a2,tg:lhdc:2921,ProductionTimeSpans,1951-07-12,nan,nan,nan,nan,nan,nan
7e3aa133-adc9-5928-96d0-ef4322952dcd,tg:lhdc:2472,ProductionTimeSpans,1974,nan,nan,nan,nan,nan,nan
53608659-e49e-5b3e-8a69-c959b86de8bf,tg:lhdc:2188,ProductionTimeSpans,1972,nan,nan,nan,nan,nan,nan
815db3e8-919e-5bd2-a0b0-cb8cf85391b7,tg:lhdc:2022,ProductionTimeSpans,1976,nan,nan,nan,nan,nan,nan
26d15d9f-8e01-5ff2-a090-290a3e04e7ee,tg:lhdc:1527,ProductionTimeSpans,1880,nan,1890,nan,nan,nan,nan
2ae68211-f898-5a98-a0c7-4596b2e5e799,tg:lhdc:4725,ProductionTimeSpans,1955-09-05,nan,nan,nan,nan,nan,nan
c97309fe-5445-5e17-8c69-b7c249d559c0,tg:lhdc:512,ProductionTimeSpans,1970,nan,nan,nan,nan,nan,nan
3a9901ea-3fe6-507c-8c41-35a0c4ee2671,tg:lhdc:1177,ProductionTimeSpans,1932,nan,nan,nan,nan,nan,nan
fd6a995a-8b02-5ecf-87f3-10974aba08a3,tg:lhdc:4375,ProductionTimeSpans,1959,nan,nan,nan,nan,nan,nan
15405e4c-0613-5379-af4d-8bcb245b1c8a,tg:lhdc:142,ProductionTimeSpans,1940,nan,1947,nan,nan,nan,nan
fe418a0e-9ad0-53f0-8b2e-c87f1b876ce3,tg:lhdc:1874,ProductionTimeSpans,1959,nan,nan,nan,nan,nan,nan
7244620e-2a55-5ce5-9ec0-a0b4064e60c1,tg:lhdc:3849,ProductionTimeSpans,1973-12-12,nan,nan,nan,nan,nan,nan
fae3c9b9-42f4-56f5-bc67-8c47087e7dfb,tg:lhdc:841,ProductionTimeSpans,1939,nan,nan,nan,nan,nan,nan
ad8d7135-07c0-5a74-ac17-24ccbfc18dfa,tg:lhdc:904,ProductionTimeSpans,1947,nan,nan,nan,nan,nan,nan
2324bbd5-3433-55df-9713-5931879675f6,tg:lhdc:1931,ProductionTimeSpans,1963,nan,nan,nan,nan,nan,nan
7a236080-d149-5045-bf11-24e87628ea34,tg:lhdc:1198,ProductionTimeSpans,1954,nan,nan,nan,nan,nan,nan
6ac7bf2c-638c-51d2-8e6d-6d7d10b6e5b2,tg:lhdc:457,ProductionTimeSpans,1967,nan,nan,nan,nan,nan,nan
