ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
c5db2aef-7be7-5a21-9146-0c4b9cde508c,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000003599,referentienummer,False
c5db2aef-7be7-5a21-9146-0c4b9cde508c,LegacyInformation,1,brocade.id,tg:lhdc:3721,brocade id,False
c5db2aef-7be7-5a21-9146-0c4b9cde508c,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:3721/N,brocade url,False
294454d0-be4b-54ae-92e9-6da58a5fdd5f,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000002718,referentienummer,False
294454d0-be4b-54ae-92e9-6da58a5fdd5f,LegacyInformation,1,brocade.id,tg:lhdc:2833,brocade id,False
294454d0-be4b-54ae-92e9-6da58a5fdd5f,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:2833/N,brocade url,False
a043845f-7554-5ff0-9205-b645bb32caed,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000000658,referentienummer,False
a043845f-7554-5ff0-9205-b645bb32caed,LegacyInformation,1,brocade.id,tg:lhdc:729,brocade id,False
a043845f-7554-5ff0-9205-b645bb32caed,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:729/N,brocade url,False
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000003253,referentienummer,False
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,LegacyInformation,1,brocade.id,tg:lhdc:3371,brocade id,False
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:3371/N,brocade url,False
f90aee64-fa2e-5c5e-beca-16af546e9bdf,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000000612,referentienummer,False
f90aee64-fa2e-5c5e-beca-16af546e9bdf,LegacyInformation,1,brocade.id,tg:lhdc:683,brocade id,False
f90aee64-fa2e-5c5e-beca-16af546e9bdf,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:683/N,brocade url,False
456fc8e4-524f-59bb-a7be-d14de36f2633,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000000322,referentienummer,False
456fc8e4-524f-59bb-a7be-d14de36f2633,LegacyInformation,1,brocade.id,tg:lhdc:379,brocade id,False
456fc8e4-524f-59bb-a7be-d14de36f2633,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:379/N,brocade url,False
fc51f64c-6faa-5946-b18e-64976edf9643,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000002883,referentienummer,False
fc51f64c-6faa-5946-b18e-64976edf9643,LegacyInformation,1,brocade.id,tg:lhdc:2999,brocade id,False
fc51f64c-6faa-5946-b18e-64976edf9643,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:2999/N,brocade url,False
adac8886-4115-53ba-a5e9-e97f1cbeecb6,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000002023,referentienummer,False
adac8886-4115-53ba-a5e9-e97f1cbeecb6,LegacyInformation,1,brocade.id,tg:lhdc:2130,brocade id,False
adac8886-4115-53ba-a5e9-e97f1cbeecb6,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:2130/N,brocade url,False
8e73840d-ac58-587b-b2db-ae1081b28992,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000002452,referentienummer,False
8e73840d-ac58-587b-b2db-ae1081b28992,LegacyInformation,1,brocade.id,tg:lhdc:2560,brocade id,False
8e73840d-ac58-587b-b2db-ae1081b28992,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:2560/N,brocade url,False
b6e13194-eff2-58b9-a59e-60cfe66a3091,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000001968,referentienummer,False
b6e13194-eff2-58b9-a59e-60cfe66a3091,LegacyInformation,1,brocade.id,tg:lhdc:2075,brocade id,False
b6e13194-eff2-58b9-a59e-60cfe66a3091,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:2075/N,brocade url,False
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000002317,referentienummer,False
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,LegacyInformation,1,brocade.id,tg:lhdc:2425,brocade id,False
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:2425/N,brocade url,False
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000003542,referentienummer,False
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,LegacyInformation,1,brocade.id,tg:lhdc:3664,brocade id,False
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:3664/N,brocade url,False
b0927ea5-92c6-5720-af4d-1332e48ba275,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000001556,referentienummer,False
b0927ea5-92c6-5720-af4d-1332e48ba275,LegacyInformation,1,brocade.id,tg:lhdc:1659,brocade id,False
b0927ea5-92c6-5720-af4d-1332e48ba275,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:1659/N,brocade url,False
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000002860,referentienummer,False
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,LegacyInformation,1,brocade.id,tg:lhdc:2976,brocade id,False
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:2976/N,brocade url,False
b7413771-a7fa-596e-a06c-03d3ae9a0146,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000000336,referentienummer,False
b7413771-a7fa-596e-a06c-03d3ae9a0146,LegacyInformation,1,brocade.id,tg:lhdc:396,brocade id,False
b7413771-a7fa-596e-a06c-03d3ae9a0146,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:396/N,brocade url,False
93ffcee9-3198-5991-8a1f-f4bd6de1aca1,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000003115,referentienummer,False
93ffcee9-3198-5991-8a1f-f4bd6de1aca1,LegacyInformation,1,brocade.id,tg:lhdc:3234,brocade id,False
93ffcee9-3198-5991-8a1f-f4bd6de1aca1,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:3234/N,brocade url,False
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000001119,referentienummer,False
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,LegacyInformation,1,brocade.id,tg:lhdc:1209,brocade id,False
fe4bd5d8-bcac-5756-b7f4-5c0b5cc0308a,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:1209/N,brocade url,False
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000001717,referentienummer,False
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,LegacyInformation,1,brocade.id,tg:lhdc:1823,brocade id,False
54b55676-f60f-5f9d-abfd-fc6ab28fa0dd,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:1823/N,brocade url,False
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000001882,referentienummer,False
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,LegacyInformation,1,brocade.id,tg:lhdc:1989,brocade id,False
a0bfd496-bdb9-5974-ba6e-4efdac4a96c7,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:1989/N,brocade url,False
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000004196,referentienummer,False
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,LegacyInformation,1,brocade.id,tg:lhdc:4322,brocade id,False
1f6e8fbd-93f1-5fd9-9d8e-029293aa8c69,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:4322/N,brocade url,False
194273e5-dce2-55d6-9225-a1a39c7683c4,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000001040,referentienummer,False
194273e5-dce2-55d6-9225-a1a39c7683c4,LegacyInformation,1,brocade.id,tg:lhdc:1120,brocade id,False
194273e5-dce2-55d6-9225-a1a39c7683c4,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:1120/N,brocade url,False
4968b442-83f7-5ac9-8739-78a9594fbb21,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000000480,referentienummer,False
4968b442-83f7-5ac9-8739-78a9594fbb21,LegacyInformation,1,brocade.id,tg:lhdc:545,brocade id,False
4968b442-83f7-5ac9-8739-78a9594fbb21,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhdc:545/N,brocade url,False
e82a4066-c13b-5c1e-a89a-f242d880158f,LegacyInformation,1,id.objectNumber,BE-ANN07/dc/000001467,referentienummer,False
e82a4066-c13b-5c1e-a89a-f242d880158f,LegacyInformation,1,brocade.id,tg:lhdc:1570,brocade id,False
