ResourceID,brocade.id,card,order,source_field,source_code,Genre Type
5afeb490-cc8e-57e9-a983-92e3cbe01821,tg:lhhs:3721,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
d60b5c1f-8e9c-529a-96e5-e517a2d14757,tg:lhhs:2833,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
3f9411db-812d-5e1b-bf65-dc2a94d7c248,tg:lhhs:729,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
09ef6e56-46fd-54dd-aa9b-2ac90a298d32,tg:lhhs:16030,GenreTypes,1,kenmerken.lhgenrehs,dr,drama (literary genre)
6590b326-525f-569f-a17a-d21202abc47a,tg:lhhs:6523,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
d54f61aa-638a-5cd6-a511-682a8c70a2c0,tg:lhhs:3371,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
bde477b9-7c4d-5ebe-81ec-09b31012da0a,tg:lhhs:683,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
e17ad8dc-b129-585d-9150-3ee98656fc63,tg:lhhs:20801,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
7c693e1c-a038-5f44-974e-7660045f0589,tg:lhhs:379,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
d25f5f96-a383-5b98-ac99-4c37f63a4adf,tg:lhhs:16460,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
158540f7-ee20-557b-9154-eb94a02cb69b,tg:lhhs:13398,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
dfd8bc5b-a20e-517e-8781-20f6b3c29b32,tg:lhhs:19795,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
1dc34227-2c53-5c35-ae88-c42821ac6483,tg:lhhs:6173,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
6d97b1f3-e7b4-5d37-8a38-373a3c888c55,tg:lhhs:18887,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
ef8308b5-7f9e-5e62-b04c-8e5dffc291d0,tg:lhhs:2999,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
6e14d3be-a1ee-5320-879b-3ad23373be13,tg:lhhs:2130,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
d9566016-9591-5149-8dbb-2fdb82c419de,tg:lhhs:12423,GenreTypes,1,kenmerken.lhgenrehs,dr,drama (literary genre)
99699b6b-a319-5fa6-9d55-3bf41ed54def,tg:lhhs:17621,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
69eebb8e-d5c7-5e01-abc8-619d1a3b139b,tg:lhhs:20552,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
e12f60d9-42f8-5c6e-a3e5-db71229eeb07,tg:lhhs:16933,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
cc357418-e907-57dc-bdbf-1df6c8f1ed33,tg:lhhs:7332,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
a6aa35c8-afd2-5060-837f-8f6d9f2f1aef,tg:lhhs:7298,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
e76152a1-6ed2-5abd-b108-8c7c6f068e86,tg:lhhs:2560,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
6446a276-6138-5707-8ac7-5cad04be4a51,tg:lhhs:12073,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
601737a6-271f-518a-a1f4-b74dc13efcf0,tg:lhhs:16899,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
f726911f-4124-53db-b8cc-c288d1d1b3e8,tg:lhhs:20102,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
af8a767b-6220-5f7d-85b2-90aff6a9d199,tg:lhhs:17271,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
aae9a626-8693-5155-ad9b-d590379a7f53,tg:lhhs:12589,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
ab70cbd0-9491-58ed-a055-4ba93921b57b,tg:lhhs:8497,GenreTypes,1,kenmerken.lhgenrehs,bp,beschouwend proza
f37ef15b-f7e5-5972-b71a-1a6229227e87,tg:lhhs:18184,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
b6bf9963-1e2b-5b55-bfd2-e67337fe47f9,tg:lhhs:7762,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
b0528a6f-fa42-5b27-bc0d-24d8b4bf95a8,tg:lhhs:6870,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
9dbe167c-8f5c-5812-9770-ff7762926de0,tg:lhhs:15759,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
7dbce934-61c1-5e86-936c-24c2900f472e,tg:lhhs:17764,GenreTypes,1,kenmerken.lhgenrehs,pz,poetry
a70f76cb-fded-5b93-b517-9136434111e1,tg:lhhs:8182,GenreTypes,1,kenmerken.lhgenrehs,vp,verhalend proza
