ResourceID,brocade.id,card,order,source_field,source_code,Document status
44cc7649-6db9-50d1-a4eb-f5673cab8ed1,tg:lhhs:12970,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
e17ad8dc-b129-585d-9150-3ee98656fc63,tg:lhhs:20801,DocumentStatus,1,kenmerken.lhorighs,op,printouts
6d97b1f3-e7b4-5d37-8a38-373a3c888c55,tg:lhhs:18887,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
6e14d3be-a1ee-5320-879b-3ad23373be13,tg:lhhs:2130,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
99699b6b-a319-5fa6-9d55-3bf41ed54def,tg:lhhs:17621,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
ab70cbd0-9491-58ed-a055-4ba93921b57b,tg:lhhs:8497,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
f37ef15b-f7e5-5972-b71a-1a6229227e87,tg:lhhs:18184,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
7062e09d-0b08-5db1-adda-e69a21fe4eb2,tg:lhhs:7277,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
6fb59e4a-111b-5b2e-8e2c-a734b70eaad7,tg:lhhs:8478,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
2e2217ed-3f95-531d-b0e0-7f6b48d89761,tg:lhhs:14148,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
2856a0a0-cfc6-59ec-a579-c00cefafca1c,tg:lhhs:6466,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
a3dd1b7a-ccf0-52b3-8a46-e6d32cb02a80,tg:lhhs:13727,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
9f4cf17b-9cd1-5aa1-86ba-f8d2d63a4d16,tg:lhhs:4772,DocumentStatus,1,kenmerken.lhorighs,ph,photographs
2fb42f70-7386-5884-9343-041e9f6cf5e0,tg:lhhs:9140,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
15042a39-fd82-5afa-9c6c-f7800e95648f,tg:lhhs:11576,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
694513d8-cb6f-5ec8-be28-14530e5b7d41,tg:lhhs:3058,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
2c915436-1fe7-57e3-b28e-69f8a49a163f,tg:lhhs:5708,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
0fe025c6-1cff-5e90-832d-1ede609f18cd,tg:lhhs:10019,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
caba7bdd-5733-551c-8008-3378221ba2c4,tg:lhhs:8090,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
dd0cf022-443a-59bd-9a4a-1953c6ffc035,tg:lhhs:5358,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
c6b9e830-735d-5dd6-88c8-7aa0eddba50c,tg:lhhs:20856,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
a5468414-f743-5084-a62a-aa14d387f24f,tg:lhhs:11608,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
969212bd-907b-520d-94c6-3639b2dd6475,tg:lhhs:16572,DocumentStatus,1,kenmerken.lhorighs,op,printouts
50b7c7af-aa66-5ce6-ace4-2f2d238a99dd,tg:lhhs:2921,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
5b98b356-4037-50e2-a9b4-e723a6f18c59,tg:lhhs:20440,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
28f98ef2-342d-5e55-ad8d-e77d55f242b3,tg:lhhs:14236,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
03a62185-a25f-5bb7-b581-3a93568149db,tg:lhhs:19054,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
f2485591-10e1-5952-9a56-1096c7e442b9,tg:lhhs:18215,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
836b3fad-591b-5ebf-8b6f-8e1978a7efc7,tg:lhhs:8356,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
05d868bf-7f81-56b7-8665-da6ee8a219ba,tg:lhhs:10760,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
a8ff524a-28ab-52f1-8081-b6eb14cd40d1,tg:lhhs:8643,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
8ab0f055-6198-5626-871a-fe637a56c699,tg:lhhs:15132,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
5d39daea-6ce1-5fb5-8efd-a4152c4badd8,tg:lhhs:10330,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
075ecdd3-cc34-54ea-9a1d-78b9141d3857,tg:lhhs:14689,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
7309cbbc-21ba-5e73-ad20-a0f4ae5a1d63,tg:lhhs:16421,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
be6c812e-1f66-5a46-bdad-c0bd4c4b8221,tg:lhhs:7373,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
bb17f004-524b-58a7-853e-b9e86213233c,tg:lhhs:20513,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
ace59885-749b-53b7-9afa-a5345969eae2,tg:lhhs:8086,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
28f56069-573a-55f2-a24e-a4b67dbc81c0,tg:lhhs:17375,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
c8e6e64a-c440-5932-9e95-940ede4b4d6b,tg:lhhs:14109,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
c0693e73-d6a2-5314-acd6-f99204872cb8,tg:lhhs:18829,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
fac8d509-4532-5801-94cd-84b7273672f4,tg:lhhs:3625,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
893b21d5-427e-5c9a-adcb-c7b86ed1e445,tg:lhhs:18983,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
dfc44e20-3000-5c64-9cfe-4c2e341bb5bb,tg:lhhs:16564,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
adbbb083-b9b2-5377-80e6-e527c9da117a,tg:lhhs:5122,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
aa6bbac7-c2f0-51db-9320-b96740836cbf,tg:lhhs:14670,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
63bd82d4-01dc-515c-8eb2-92177bc6315f,tg:lhhs:4363,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
6330d151-ed40-5913-9432-cd8641caa46c,tg:lhhs:4699,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
4296c72b-19e0-5c0f-ae0a-c823e9046d5e,tg:lhhs:4676,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
feb4e30c-8060-5d1b-aa54-b0c4dbdfd5b6,tg:lhhs:13859,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
1f76e364-bba8-56ba-9d2a-e83482aad932,tg:lhhs:17549,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
5ab19ea7-cb4e-507f-b540-ae78998e2fbb,tg:lhhs:8481,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
0bff5ef8-564c-5a0d-a116-ae424ecb89d4,tg:lhhs:20114,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
4aee95f6-131b-5c4d-8247-6f6711aa654c,tg:lhhs:10058,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
5b190e90-c768-5398-a27b-8dccea3b96ff,tg:lhhs:2126,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
8bdff66f-4c20-527a-8d64-7fda47291fa0,tg:lhhs:18891,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
91fa0649-44ef-5677-a9bd-63c2ca3d8aa7,tg:lhhs:12966,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
5ccc3368-9d80-5ab4-8429-e8fd82341755,tg:lhhs:19296,DocumentStatus,1,kenmerken.lhorighs,fc,photocopies
669614af-760a-5e58-a5a0-f464ce1abe33,tg:lhhs:9785,DocumentStatus,1,kenmerken.lhorighs,cc,carbon copies
