ResourceID,brocade.id,card,order,ire.isaar.uuid,Artistic ISAAR Brocade ID,Artistic Actor Role,Artistic Actor Note,Artistic Actor Widget,Artistic Actor Identifier
c5db2aef-7be7-5a21-9146-0c4b9cde508c,tg:lhdc:3721,ArtisticContent,1,c2a6af60-f503-5bf4-84f6-2a4d7e4f6667,au::7410,authors,,"dlod={""name"":""Frans Gevels"",""ark"":""ark:/83110/x0/c2a6af60-f503-5bf4-84f6-2a4d7e4f6667"",""uri"":""/agents/people/52991"",""id"":""au::7410"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c2a6af60-f503-5bf4-84f6-2a4d7e4f6667
294454d0-be4b-54ae-92e9-6da58a5fdd5f,tg:lhdc:2833,ArtisticContent,1,9c8ff330-ef1e-5dce-925e-78e8cc1487c3,au::11983,authors,,"dlod={""name"":""Gust vanden Maeldere"",""ark"":""ark:/83110/x0/9c8ff330-ef1e-5dce-925e-78e8cc1487c3"",""uri"":""/agents/people/93125"",""id"":""au::11983"",""nameWithContext"":[""August Müller"",""Guus"",""Güstav"",""Tante Loes"",""G.M Wiedaer""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/9c8ff330-ef1e-5dce-925e-78e8cc1487c3
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,ArtisticContent,1,2442b457-9a32-5832-8f7e-cc7b278e0d15,au::5453,authors,,"dlod={""name"":""Marie van Dessel-Poot"",""ark"":""ark:/83110/x0/2442b457-9a32-5832-8f7e-cc7b278e0d15"",""uri"":""/agents/people/63610"",""id"":""au::5453"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2442b457-9a32-5832-8f7e-cc7b278e0d15
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,tg:lhdc:3371,ArtisticContent,1,41387823-8fed-5372-bd91-b1bc8594eb8b,au::14954,authors,,"dlod={""name"":""Marcel Polfliet"",""ark"":""ark:/83110/x0/41387823-8fed-5372-bd91-b1bc8594eb8b"",""uri"":""/agents/people/93775"",""id"":""au::14954"",""nameWithContext"":[""R. Cort"",""Rob Corthals""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/41387823-8fed-5372-bd91-b1bc8594eb8b
f90aee64-fa2e-5c5e-beca-16af546e9bdf,tg:lhdc:683,ArtisticContent,1,7eb119d2-78b2-5a78-83cd-7020d1db1fbd,au::2366,authors,,"dlod={""name"":""Louis-Paul Boon"",""ark"":""ark:/83110/x0/7eb119d2-78b2-5a78-83cd-7020d1db1fbd"",""uri"":""/agents/people/66559"",""id"":""au::2366"",""nameWithContext"":[""Boontje"",""Lew Waitmans""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7eb119d2-78b2-5a78-83cd-7020d1db1fbd
456fc8e4-524f-59bb-a7be-d14de36f2633,tg:lhdc:379,ArtisticContent,1,e51b65e6-410f-59a8-ae56-a809273690f9,au::28273,dedicatees,,"dlod={""name"":""Frans M. Peeraerts"",""ark"":""ark:/83110/x0/e51b65e6-410f-59a8-ae56-a809273690f9"",""uri"":""/agents/people/79367"",""id"":""au::28273"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e51b65e6-410f-59a8-ae56-a809273690f9
fc51f64c-6faa-5946-b18e-64976edf9643,tg:lhdc:2999,ArtisticContent,1,21e6e950-3106-5920-afcc-44ff2029e07c,au::4773,authors,,"dlod={""name"":""Karel Cuypers"",""ark"":""ark:/83110/x0/21e6e950-3106-5920-afcc-44ff2029e07c"",""uri"":""/agents/people/78912"",""id"":""au::4773"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/21e6e950-3106-5920-afcc-44ff2029e07c
b6e13194-eff2-58b9-a59e-60cfe66a3091,tg:lhdc:2075,ArtisticContent,1,92d0007e-7393-5965-9aff-11b61b47665e,au::15077,authors,,"dlod={""name"":""Willy van Poucke"",""ark"":""ark:/83110/x0/92d0007e-7393-5965-9aff-11b61b47665e"",""uri"":""/agents/people/66828"",""id"":""au::15077"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/92d0007e-7393-5965-9aff-11b61b47665e
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,tg:lhdc:3664,ArtisticContent,1,c2a6af60-f503-5bf4-84f6-2a4d7e4f6667,au::7410,authors,,"dlod={""name"":""Frans Gevels"",""ark"":""ark:/83110/x0/c2a6af60-f503-5bf4-84f6-2a4d7e4f6667"",""uri"":""/agents/people/52991"",""id"":""au::7410"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c2a6af60-f503-5bf4-84f6-2a4d7e4f6667
b0927ea5-92c6-5720-af4d-1332e48ba275,tg:lhdc:1659,ArtisticContent,1,1e75dfc3-9a60-5a56-b316-b455ce22d042,au::10177,translators,,"dlod={""name"":""Valeer van Kerkhove"",""ark"":""ark:/83110/x0/1e75dfc3-9a60-5a56-b316-b455ce22d042"",""uri"":""/agents/people/64008"",""id"":""au::10177"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/1e75dfc3-9a60-5a56-b316-b455ce22d042
