ResourceID,brocade.id,card,order,source_field,source_code,Object Type
c5db2aef-7be7-5a21-9146-0c4b9cde508c,tg:lhdc:3721,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
294454d0-be4b-54ae-92e9-6da58a5fdd5f,tg:lhdc:2833,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
a043845f-7554-5ff0-9205-b645bb32caed,tg:lhdc:729,ObjectTypes,1,kenmerken.lhtypedc,dcsw,programs (documents)
17f2318d-1e2a-5593-8b6f-17e0cdf17fd3,tg:lhdc:3371,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
f90aee64-fa2e-5c5e-beca-16af546e9bdf,tg:lhdc:683,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
456fc8e4-524f-59bb-a7be-d14de36f2633,tg:lhdc:379,ObjectTypes,1,kenmerken.lhtypedc,dcge,testimonials
fc51f64c-6faa-5946-b18e-64976edf9643,tg:lhdc:2999,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
adac8886-4115-53ba-a5e9-e97f1cbeecb6,tg:lhdc:2130,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
8e73840d-ac58-587b-b2db-ae1081b28992,tg:lhdc:2560,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
b6e13194-eff2-58b9-a59e-60cfe66a3091,tg:lhdc:2075,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
181ceed4-eaff-5bd2-b8e4-36ec55a0c248,tg:lhdc:2425,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
1c32b364-f7f8-5d9c-924e-ed3e8a2ec4c9,tg:lhdc:3664,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
b0927ea5-92c6-5720-af4d-1332e48ba275,tg:lhdc:1659,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
06bdc7b2-8cfb-5a0e-8e63-bc517d7574b9,tg:lhdc:2976,ObjectTypes,1,kenmerken.lhtypedc,dcbr,scripts (documents)
b7413771-a7fa-596e-a06c-03d3ae9a0146,tg:lhdc:396,ObjectTypes,1,kenmerken.lhtypedc,dckn,clippings (information artifacts)
