ResourceID,brocade.id,card,order,Mark Text,Mark Type,Mark Language
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,Marks,1,"(1)Links midden in de prent: _HW_;

links onder de prent met inkt: __Hugo Verriest__,

rechts onder de prent met potlood: __Henri Wils_ SC._; (2) Rechts boven de
prent met potlood: _30-7-1913 Siems / 2,-_,

links midden in de prent: _HW_,

Links onder in de prent: _DRUKKERIJ J.FR. WILS, ANTWERPEN._,

rechts onder in de prent: _HENRI WILS. SC._,

links onder de prent met inkt: _[1913] / _Hugo Verriest__; (3) Links midden in
de prent: _HW_,

links onder de prent met inkt: __Hugo Verriest__,

rechts onder de prent met potlood: __Henri Wils_ SC._",signatures (names),Nederlands
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,Marks,1,"(1)Links midden in de prent: _HW_;

links onder de prent met inkt: __Hugo Verriest__,

rechts onder de prent met potlood: __Henri Wils_ SC._; (2) Rechts boven de
prent met potlood: _30-7-1913 Siems / 2,-_,

links midden in de prent: _HW_,

Links onder in de prent: _DRUKKERIJ J.FR. WILS, ANTWERPEN._,

rechts onder in de prent: _HENRI WILS. SC._,

links onder de prent met inkt: _[1913] / _Hugo Verriest__; (3) Links midden in
de prent: _HW_,

links onder de prent met inkt: __Hugo Verriest__,

rechts onder de prent met potlood: __Henri Wils_ SC._",signatures (names),Nederlands
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,Marks,1,"(1)Links midden in de prent: _HW_;

links onder de prent met inkt: __Hugo Verriest__,

rechts onder de prent met potlood: __Henri Wils_ SC._; (2) Rechts boven de
prent met potlood: _30-7-1913 Siems / 2,-_,

links midden in de prent: _HW_,

Links onder in de prent: _DRUKKERIJ J.FR. WILS, ANTWERPEN._,

rechts onder in de prent: _HENRI WILS. SC._,

links onder de prent met inkt: _[1913] / _Hugo Verriest__; (3) Links midden in
de prent: _HW_,

links onder de prent met inkt: __Hugo Verriest__,

rechts onder de prent met potlood: __Henri Wils_ SC._",signatures (names),Nederlands
098e0389-d02a-5317-a967-53ad10f8410b,tg:lhpr:2521_#1,Marks,1,l.o.: _L. Peeters. sc._><br>m.o.: <i> Handtekening van N.J.Cupérus<i_>,signatures (names),Nederlands
e1378e13-e78a-5041-9755-66738a5eb44c,tg:lhpr:2521_#2,Marks,1,l.o.: _L. Peeters. sc._><br>m.o.: <i> Handtekening van N.J.Cupérus<i_>,signatures (names),Nederlands
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,tg:lhpr:2464_#1,Marks,1,"Midden: _FVL (ineen)_

-opdr.: _Aan Vrouwe Courtmans-Berchmans, hare Vereerders, 14 Mei 1883_

-handtek: _Vrouwe Courtmans, geboren Berchmans_

_-naar een lichttekening van E. Sacré_

_-Steendruk van Flarimond van Loo, Gent_",signatures (names),Nederlands
09e5b330-eedc-5c41-8ff1-164cae8984ae,tg:lhpr:2464_#2,Marks,1,"Midden: _FVL (ineen)_

-opdr.: _Aan Vrouwe Courtmans-Berchmans, hare Vereerders, 14 Mei 1883_

-handtek: _Vrouwe Courtmans, geboren Berchmans_

_-naar een lichttekening van E. Sacré_

_-Steendruk van Flarimond van Loo, Gent_",signatures (names),Nederlands
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,Marks,1,"(1)r.o.: _G. de Bruyne_

l.o.: _Opr. d'art._ ;(2) _XL/IXL._",signatures (names),Nederlands
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,Marks,1,"(1)r.o.: _G. de Bruyne_

l.o.: _Opr. d'art._ ;(2) _XL/IXL._",signatures (names),Nederlands
b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4,tg:lhpr:1589_#1,Marks,1,"r.o.: _Jef Lambeaux 1891_

2) achterzijde: _Portret van J. Brans door Jef Lambeaux nagetekend door A.
Daenens_

3) l.o.: _Naar ene teekening van J. Lambeaux / A. Daenens 7/13_

m.o.: _Voor mijn trouwen Vriend C. Rousseau / 22 april 1939 / JM Brans_",signatures (names),Nederlands
