ResourceID,brocade.id,card,order,source_field,source_code,Material
147e3521-89f3-5d61-8292-a218f30f00c7,tg:lhpr:2880_#1,Materials,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
bc3776de-a848-5723-b8cc-f76e3ac3dc91,tg:lhpr:2880_#2,Materials,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
d448ab7b-4034-5046-90cb-80e2f670787f,tg:lhpr:1558_#1,Materials,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
195e4e89-3adb-5d16-ad7e-0f0323ece1b0,tg:lhpr:1558_#2,Materials,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
91f87400-183c-5c4c-aab9-7dc668a60e3c,tg:lhpr:2446_#1,Materials,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
91f87400-183c-5c4c-aab9-7dc668a60e3c,tg:lhpr:2446_#1,Materials,2,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
dfe72e47-3891-5468-b795-7930cfb19a05,tg:lhpr:2446_#2,Materials,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
dfe72e47-3891-5468-b795-7930cfb19a05,tg:lhpr:2446_#2,Materials,2,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
a4252db0-98b2-586d-adef-c3be7d2c297d,tg:lhpr:2597_#1,Materials,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
577ef2bd-bdb6-5a90-981d-c6acb493fcc3,tg:lhpr:2597_#2,Materials,1,kenmerken/lhtechaanvtk.lhtechtaddtk,tin,ink
