ResourceID,brocade.id,card,order,source_field,Annotation,Annotation Language,Annotation Type
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,Annotations,1,adm.note,(2) Prent is gedrukt op Japans papier.,Nederlands,remarks
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,Annotations,1,adm.note,(2) Prent is gedrukt op Japans papier.,Nederlands,remarks
b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4,tg:lhpr:1589_#1,Annotations,1,adm.note,Litho is gemaakt naar een tekening van Jef Lambeaux,Nederlands,remarks
926d6315-88a2-5e6d-b26e-4e613a95c902,tg:lhpr:1589_#2,Annotations,1,adm.note,Litho is gemaakt naar een tekening van Jef Lambeaux,Nederlands,remarks
721be338-50e4-5c57-b80e-52adbff73a9c,tg:lhpr:1589_#3,Annotations,1,adm.note,Litho is gemaakt naar een tekening van Jef Lambeaux,Nederlands,remarks
c31cf0fb-25b4-5b6e-a326-8e70c930458b,tg:lhpr:9300_#1,Annotations,1,adm.note,(1) ets ; (2) mechanische reproductie,Nederlands,remarks
07bd27a2-13fd-5ff2-be67-61e6a05502f7,tg:lhpr:9300_#2,Annotations,1,adm.note,(1) ets ; (2) mechanische reproductie,Nederlands,remarks
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,Annotations,1,adm.note,Met blindstempel Stadsbibliotheek Antwerpen,Nederlands,remarks
0f51fda1-a77d-5260-bec7-5c32a96cb2b4,tg:lhpr:9300_#4,Annotations,1,adm.note,"Grote reproductie 42 x 32 (64 x 49), met opschrift: 'herinnering aan mijn privaat-Conscience tentoonstelling in 't Syndikaat van 11 juli tot 4 augustus 1912. J. Baetes"""".",Nederlands,remarks
154abd28-c444-5579-a84d-67704ed595e9,tg:lhpr:9300_#5,Annotations,1,adm.note,Met opdracht aan Pol de Mont van Piet Verhaert,Nederlands,remarks
3e77f9ae-ddaa-583a-b85b-2a7d587b1df0,tg:lhpr:9642_#1,Annotations,1,note.lhalg,"Voorzijde :  
Van boven naar onder:      
19346/1   

1834-Peter Benoit - 1934    

De oorlog  
Charlotte Corday  
Rubenscantate Dan zal den beiaard spelen  
De Schelde  
Lucifer
    
Edward Keurvels
    
Hij leerde zijn volk zingen
    
Hendrik Fontaine
    
Kunstdr. E. Lombaerts Deurne Antw
    
Aantekening in inkt handgeschreven *Benoit is het zinnebeeld van onze muzikale herleving*
  
Handtekening M. Sabbe
  
cijfer 6
    
Stempel Peter Benoitfonds 1902  ",Nederlands,remarks
c372bcdd-116b-5c6d-a4a6-4dc553865b05,tg:lhpr:9642_#2,Annotations,1,note.lhalg,"Voorzijde :  
Van boven naar onder:      
19346/1   

1834-Peter Benoit - 1934    

De oorlog  
Charlotte Corday  
Rubenscantate Dan zal den beiaard spelen  
De Schelde  
Lucifer
    
Edward Keurvels
    
Hij leerde zijn volk zingen
    
Hendrik Fontaine
    
Kunstdr. E. Lombaerts Deurne Antw
    
Aantekening in inkt handgeschreven *Benoit is het zinnebeeld van onze muzikale herleving*
  
Handtekening M. Sabbe
  
cijfer 6
    
Stempel Peter Benoitfonds 1902  ",Nederlands,remarks
6c82c52c-9543-57ff-aa71-cd758f5c701c,tg:lhpr:10296_#1,Annotations,1,note.lhalg,Gedrukt op 50 exemplaren,Nederlands,remarks
dcf1e405-a74d-53b2-87ec-516a5a5c04a1,tg:lhpr:10296_#2,Annotations,1,note.lhalg,Gedrukt op 50 exemplaren,Nederlands,remarks
a1421c55-9a0a-5b74-ab8a-a0b52838414b,tg:lhpr:2741_#1,Annotations,1,adm.note,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,Nederlands,remarks
4c65af97-b69f-5c2d-844e-f9091fdca802,tg:lhpr:2741_#2,Annotations,1,adm.note,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,Nederlands,remarks
a1da1a60-05db-5f56-970c-885098ee7c6c,tg:lhpr:2741_#3,Annotations,1,adm.note,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,Nederlands,remarks
031be3f0-227c-5452-861a-3e6d68367945,tg:lhpr:2741_#4,Annotations,1,adm.note,(3)De houtsnede: twee exemplaren met hetzelfde inschrijvingsnummer.,Nederlands,remarks
1d42d45b-d645-50b0-becc-143a7a2e3d33,tg:lhpr:2741_#5,Annotations,1,adm.note,Nr. 200123 originele houten lijst. Afdruk zonder handtekening,Nederlands,remarks
72241463-76c6-5e83-9424-97107c09c365,tg:lhpr:4292_#1,Annotations,1,adm.note,"**Publicatie** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine roman met één personage en zeven instrumenten zijnde een volledige slagwerk batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 35. Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op Hollands papier.",Nederlands,remarks
e5cbee76-9e8d-562f-ab28-f08b4ab43a95,tg:lhpr:4292_#2,Annotations,1,adm.note,"**Publikatie:** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine
roman met één personage en zeven instrumenten zijnde een volledige slagwerk
batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 35.

Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op
Hollands papier.",Nederlands,remarks
468de07b-4720-5b6e-8b1d-a4d2982f4ecf,tg:lhpr:1585_#1,Annotations,1,adm.note,"1) Bijvoegsel van ONS LEVEN, nr. 7; 1925",Nederlands,remarks
4aef9fcc-4ec3-50db-a661-8795c391bbc1,tg:lhpr:1585_#2,Annotations,1,adm.note,"1) Bijvoegsel van ONS LEVEN, nr. 7; 1925",Nederlands,remarks
cc4f22db-177b-514e-8ddf-6d69a1390852,tg:lhpr:5694_#1,Annotations,1,adm.note,"**Publicatie** _De Ploeg_. 3de jaargang, nr. 8, 24-02-1921, p. 1.",Nederlands,remarks
9226a92d-838b-53d2-b2ed-c88f893bc274,tg:lhpr:2296_#1,Annotations,1,adm.note,(1) 27381/820 : (r.b.)_Veiling Apers 26.6.17_,Nederlands,remarks
aa3bb6c1-6a39-5d81-87f1-080ab597011b,tg:lhpr:2296_#2,Annotations,1,adm.note,(1) 27381/820 : (r.b.)_Veiling Apers 26.6.17_,Nederlands,remarks
0fef2305-a0f1-5352-910a-4254bb3e28f0,tg:lhpr:2982_#1,Annotations,1,note.lhalg,"l.o.: _E. Pellens_

l.o.: _Aan den Heer Jan Verbeeck, in dankbare herinnering aan onze uitvoering
der""""Rubenscantate"""" welke hij zoo geestdriftig heeft weten te waarderen.../ Lod
de Vocht / 16 en 17 nov. 1940._",Nederlands,remarks
0fef2305-a0f1-5352-910a-4254bb3e28f0,tg:lhpr:2982_#1,Annotations,2,note.lhalg,"Met een opdracht van Lode de Vocht:
""""Den dierbaren Heer en Vriend
Jan Verbeeck
uit hoogachting
en met oprechten dank voor
zijne gewaardeerde medewerking aan het
Beethoven Festival
Lod.de Vocht
Antwerpen, maart - mei 1921""""
",Nederlands,remarks
0c4d2680-a523-5345-9c50-c276675fe9e7,tg:lhpr:2982_#2,Annotations,1,note.lhalg,"l.o.: _E. Pellens_

l.o.: _Aan den Heer Jan Verbeeck, in dankbare herinnering aan onze uitvoering
der""""Rubenscantate"""" welke hij zoo geestdriftig heeft weten te waarderen.../ Lod
de Vocht / 16 en 17 nov. 1940._",Nederlands,remarks
0c4d2680-a523-5345-9c50-c276675fe9e7,tg:lhpr:2982_#2,Annotations,2,note.lhalg,"Met een opdracht van Lode de Vocht:
""""Den dierbaren Heer en Vriend
Jan Verbeeck
uit hoogachting
en met oprechten dank voor
zijne gewaardeerde medewerking aan het
Beethoven Festival
Lod.de Vocht
Antwerpen, maart - mei 1921""""
",Nederlands,remarks
4526f0e6-46a3-5ddf-9d52-873db14b7070,tg:lhpr:4293_#1,Annotations,1,adm.note,"**Publicatie** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine roman met één personage en zeven instrumenten zijnde een volledige slagwerk batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 53 en op de omslag. Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op Hollands papier.",Nederlands,remarks
5d014347-396b-5384-95fc-7c490c2a35ba,tg:lhpr:4293_#2,Annotations,1,adm.note,"**Publikatie:** Roelants, Maurice - Ramah [ill.], _De jazz-speler: kleine
roman met één personage en zeven instrumenten zijnde een volledige slagwerk
batterij_. Brussel: A.A.M. Stols, 1928, 64 p. T.o. p. 53 en op de omslag.

Proefdruk, deel van de suite bij één van de 6 of 35 genummerde exemplaren op
Hollands papier.",Nederlands,remarks
bdfcb82a-65bb-5566-b1bd-6d802b06a871,tg:lhpr:3782_#1,Annotations,1,adm.note,"(2) is gedrukt op Japans papier

Afmetingen: 20,7 x 21,5 met rand: 45,5 x 30,4",Nederlands,remarks
a83c0ef1-86c7-56f5-8288-f5c6119b36f6,tg:lhpr:3782_#2,Annotations,1,adm.note,"(2) is gedrukt op Japans papier

Afmetingen: 20,7 x 21,5 met rand: 45,5 x 30,4",Nederlands,remarks
9721e2b9-5c50-5fbb-86e6-26161b9a73c7,tg:lhpr:3281_#1,Annotations,1,adm.note,Vier exemplaren,Nederlands,remarks
c2f7434f-cea6-57e7-b10f-64df8ef20887,tg:lhpr:3281_#2,Annotations,1,adm.note,Vier exemplaren,Nederlands,remarks
9b1e8106-659e-5ec5-bfd0-d87231d4949f,tg:lhpr:3281_#3,Annotations,1,adm.note,Vier exemplaren,Nederlands,remarks
ff8ef8f3-f4a7-5b37-b309-5f4318bc7ed1,tg:lhpr:3281_#4,Annotations,1,adm.note,Vier exemplaren,Nederlands,remarks
0399ac82-a092-51a7-80e0-1f27ec89e4fe,tg:lhpr:4401_#1,Annotations,1,adm.note,"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002, p.
159",Nederlands,remarks
64e4e16e-9a3a-5973-977e-e1ea5b71d923,tg:lhpr:4401_#2,Annotations,1,adm.note,"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002, p.
159",Nederlands,remarks
6688c62d-d34f-5e32-921c-f9d4766f1b89,tg:lhpr:10297_#1,Annotations,1,adm.note,nr 2/50,Nederlands,remarks
e7b10824-ce44-58c7-ab0b-a8e1a3a012a5,tg:lhpr:10297_#2,Annotations,1,adm.note,Ongenummerde print.,Nederlands,remarks
b8e6446a-1aa1-507b-927f-5c80b20e93ee,tg:lhpr:10297_#3,Annotations,1,adm.note,Lichtjes afwijkende proefdruk,Nederlands,remarks
e370ea46-fecf-5f4b-b724-b77755a78c0c,tg:lhpr:10297_#5,Annotations,1,adm.note,"nog 12 exemplaren: nrs 18, 37, 39, 40, 43, 44, 45, 46, 47, 48, 49, 50 / 50",Nederlands,remarks
e69511ae-29ed-572c-a2c1-3ae3d0684219,tg:lhpr:4456_#1,Annotations,1,adm.note,"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002,
p.187",Nederlands,remarks
8ca564f1-9891-581c-8438-a95a151e3d9a,tg:lhpr:4456_#2,Annotations,1,adm.note,"Lode Raskin, _Henri van Straten 1892-1944. Oeuvrecatalogus_, Pandora, 2002,
p.187",Nederlands,remarks
bec814e6-4452-555a-8060-37d6d7474d09,tg:lhpr:2326_#1,Annotations,1,adm.note,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",Nederlands,remarks
39dd4dd4-f2e9-54de-a419-d69448d31270,tg:lhpr:2326_#2,Annotations,1,adm.note,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",Nederlands,remarks
c5d47004-827c-5950-91a2-53364633f16f,tg:lhpr:2326_#3,Annotations,1,adm.note,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",Nederlands,remarks
0cc3999a-0c35-5eea-bdf1-1662bddabd31,tg:lhpr:2326_#4,Annotations,1,adm.note,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",Nederlands,remarks
f30e41d9-6df5-5ae3-abdb-a823c195fce9,tg:lhpr:2326_#5,Annotations,1,adm.note,"(5) _Aan Edward Keurvels, van harten / Pol de Mont_;(6) _aan den Heer Max
Rooses / aug: 1904 / Ph.Zilcken_",Nederlands,remarks
