ResourceID,brocade.id,card,Start Date,Start Date Type,End Date,End Date Type
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,ProductionTimeSpans,1913-07-30,nan,nan,nan
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,ProductionTimeSpans,1913-07-30,nan,nan,nan
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,ProductionTimeSpans,1913-07-30,nan,nan,nan
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,tg:lhpr:2464_#1,ProductionTimeSpans,1883-05-14,nan,nan,nan
09e5b330-eedc-5c41-8ff1-164cae8984ae,tg:lhpr:2464_#2,ProductionTimeSpans,1883-05-14,nan,nan,nan
b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4,tg:lhpr:1589_#1,ProductionTimeSpans,1891,nan,nan,nan
926d6315-88a2-5e6d-b26e-4e613a95c902,tg:lhpr:1589_#2,ProductionTimeSpans,1891,nan,nan,nan
721be338-50e4-5c57-b80e-52adbff73a9c,tg:lhpr:1589_#3,ProductionTimeSpans,1891,nan,nan,nan
eb6ab5ec-09b2-59b0-852d-82a1eb573488,tg:lhpr:2761_#1,ProductionTimeSpans,1910,circa,1912,circa
25ca313f-55ee-5a4e-b029-bb3a6f02b4ac,tg:lhpr:2761_#2,ProductionTimeSpans,1910,circa,1912,circa
59f615f3-b1a3-5be8-886f-f455e26f156e,tg:lhpr:2761_#3,ProductionTimeSpans,1910,circa,1912,circa
c31cf0fb-25b4-5b6e-a326-8e70c930458b,tg:lhpr:9300_#1,ProductionTimeSpans,1883,nan,nan,nan
07bd27a2-13fd-5ff2-be67-61e6a05502f7,tg:lhpr:9300_#2,ProductionTimeSpans,1883,nan,nan,nan
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,ProductionTimeSpans,1883,nan,nan,nan
0f51fda1-a77d-5260-bec7-5c32a96cb2b4,tg:lhpr:9300_#4,ProductionTimeSpans,1883,nan,nan,nan
154abd28-c444-5579-a84d-67704ed595e9,tg:lhpr:9300_#5,ProductionTimeSpans,1883,nan,nan,nan
3e77f9ae-ddaa-583a-b85b-2a7d587b1df0,tg:lhpr:9642_#1,ProductionTimeSpans,1934,nan,nan,nan
c372bcdd-116b-5c6d-a4a6-4dc553865b05,tg:lhpr:9642_#2,ProductionTimeSpans,1934,nan,nan,nan
6c82c52c-9543-57ff-aa71-cd758f5c701c,tg:lhpr:10296_#1,ProductionTimeSpans,1918,nan,nan,nan
dcf1e405-a74d-53b2-87ec-516a5a5c04a1,tg:lhpr:10296_#2,ProductionTimeSpans,1918,nan,nan,nan
036ea36b-a741-5327-810d-d6b75d6d7b23,tg:lhpr:8136_#1,ProductionTimeSpans,1900,circa,nan,nan
b25ad62e-19f4-572b-8194-6e3b37b0b699,tg:lhpr:8136_#2,ProductionTimeSpans,1900,circa,nan,nan
a1421c55-9a0a-5b74-ab8a-a0b52838414b,tg:lhpr:2741_#1,ProductionTimeSpans,1928,reconstructie,nan,nan
4c65af97-b69f-5c2d-844e-f9091fdca802,tg:lhpr:2741_#2,ProductionTimeSpans,1928,reconstructie,nan,nan
a1da1a60-05db-5f56-970c-885098ee7c6c,tg:lhpr:2741_#3,ProductionTimeSpans,1928,reconstructie,nan,nan
031be3f0-227c-5452-861a-3e6d68367945,tg:lhpr:2741_#4,ProductionTimeSpans,1928,reconstructie,nan,nan
1d42d45b-d645-50b0-becc-143a7a2e3d33,tg:lhpr:2741_#5,ProductionTimeSpans,1928,reconstructie,nan,nan
