ResourceID,brocade.id,card,order,source_field,Description,Description Type,Description Language
a1421c55-9a0a-5b74-ab8a-a0b52838414b,tg:lhpr:2741_#1,Descriptions,1,note.lhdetail,De prent is gedrukt in twee stappen: goud en dan zwart.,detailbeschrijving,Nederlands
4c65af97-b69f-5c2d-844e-f9091fdca802,tg:lhpr:2741_#2,Descriptions,1,note.lhdetail,De prent is gedrukt in twee stappen: goud en dan zwart.,detailbeschrijving,Nederlands
a1da1a60-05db-5f56-970c-885098ee7c6c,tg:lhpr:2741_#3,Descriptions,1,note.lhdetail,De prent is gedrukt in twee stappen: goud en dan zwart.,detailbeschrijving,Nederlands
031be3f0-227c-5452-861a-3e6d68367945,tg:lhpr:2741_#4,Descriptions,1,note.lhdetail,De prent is gedrukt in twee stappen: goud en dan zwart.,detailbeschrijving,Nederlands
1d42d45b-d645-50b0-becc-143a7a2e3d33,tg:lhpr:2741_#5,Descriptions,1,note.lhdetail,De prent is gedrukt in twee stappen: goud en dan zwart.,detailbeschrijving,Nederlands
3dff42c0-1d46-5087-a286-6c199d783932,tg:lhpr:4344_#1,Descriptions,1,note.lhdetail,Gesigneerde proefdruk van het omslag,detailbeschrijving,Nederlands
52eb76f6-7c8c-5e3a-ad78-144fd1bd8064,tg:lhpr:4344_#2,Descriptions,1,note.lhdetail,Gesigneerde proefdruk van het omslag,detailbeschrijving,Nederlands
b6e731ec-b77a-5d75-9e08-a66604c68074,tg:lhpr:4344_#3,Descriptions,1,note.lhdetail,Gesigneerde proefdruk van het omslag,detailbeschrijving,Nederlands
61dbcd30-1866-52e9-bcd4-48c18fdcbc86,tg:lhpr:9133_#1,Descriptions,1,note.lhdetail,De spotprent is de titelpagina van het maandblad L' Estrille (nr 9 van het jaar 1868).,detailbeschrijving,Nederlands
5aa12087-4124-57da-8e20-a2de7c5763ef,tg:lhpr:9133_#2,Descriptions,1,note.lhdetail,De spotprent is de titelpagina van het maandblad L' Estrille (nr 9 van het jaar 1868).,detailbeschrijving,Nederlands
d448ab7b-4034-5046-90cb-80e2f670787f,tg:lhpr:1558_#1,Descriptions,1,note.lhdetail,Ex-libris,detailbeschrijving,Nederlands
195e4e89-3adb-5d16-ad7e-0f0323ece1b0,tg:lhpr:1558_#2,Descriptions,1,note.lhdetail,Ex-libris,detailbeschrijving,Nederlands
18d4696a-9d86-5a99-b15f-cc584f40782e,tg:lhpr:3179_#1,Descriptions,1,note.lhdetail,219363: 14/50.,detailbeschrijving,Nederlands
de24bf1f-0f7e-5047-8111-1b1194a213f1,tg:lhpr:3179_#2,Descriptions,1,note.lhdetail,219363: 14/50.,detailbeschrijving,Nederlands
3cb38917-7369-5df1-acfe-17b71d69f41d,tg:lhpr:5233_#1,Descriptions,1,note.lhdetail,"Bij inschrijvingsnummer 201679/1-7  Zeven van de acht illustraties .  
Bij inschrijvingsnummer 89056/37 : acht illustraties.",detailbeschrijving,Nederlands
f3d7a172-3270-59e6-993d-fc247af5093b,tg:lhpr:5233_#2,Descriptions,1,note.lhdetail,"Bij inschrijvingsnummer 201679/1-7  Zeven van de acht illustraties .  
Bij inschrijvingsnummer 89056/37 : acht illustraties.",detailbeschrijving,Nederlands
481ead55-7f8b-52f3-b832-e39013532ed3,tg:lhpr:10345_#1,Descriptions,1,id.desc,25/25,descriptive note,Nederlands
2da9d22d-e2ff-58f9-b7d1-18cb0095b460,tg:lhpr:10345_#2,Descriptions,1,id.desc,25/25,descriptive note,Nederlands
8f4cdcfe-941f-5dc8-893f-b56621577544,tg:lhpr:5696_#1,Descriptions,1,id.title/subTitle,2 exemplaren,descriptive note,Nederlands
6199f72a-6a63-5f2b-9962-61dd982c6da0,tg:lhpr:5696_#2,Descriptions,1,id.title/subTitle,2 exemplaren,descriptive note,Nederlands
12e6c8a4-a3a4-574e-a198-80e09bc5b2a4,tg:lhpr:10344_#1,Descriptions,1,id.desc,21/25,descriptive note,Nederlands
49992c5e-9cb6-587d-8547-f8697e017af8,tg:lhpr:10344_#2,Descriptions,1,id.desc,21/25,descriptive note,Nederlands
