ResourceID,brocade.id,card,order,source_field,Immaterial Record
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""28b0692d-496b-503e-a61b-b936655cf5dc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d8d90bd2-a9ed-4583-9ba3-f520bb52c46c"", ""inverseOntologyProperty"": """"}]"
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""28b0692d-496b-503e-a61b-b936655cf5dc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fd3ca07f-aea7-46ed-a022-b3a664a2b654"", ""inverseOntologyProperty"": """"}]"
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""28b0692d-496b-503e-a61b-b936655cf5dc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""93ecdcd5-80ab-444d-949c-8ac35abfb57a"", ""inverseOntologyProperty"": """"}]"
098e0389-d02a-5317-a967-53ad10f8410b,tg:lhpr:2521_#1,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""8d2a6941-a82d-550b-8de7-933024a6d956"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fd5b6263-fb07-43c5-a485-b1dc2e27261c"", ""inverseOntologyProperty"": """"}]"
e1378e13-e78a-5041-9755-66738a5eb44c,tg:lhpr:2521_#2,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""8d2a6941-a82d-550b-8de7-933024a6d956"", ""ontologyProperty"": """", ""resourceXresourceId"": ""49d5a613-2f23-4072-bfad-7b2e2d6e09f0"", ""inverseOntologyProperty"": """"}]"
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,tg:lhpr:2464_#1,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""7108dc2a-c2ce-54a7-9dfe-62eb50184757"", ""ontologyProperty"": """", ""resourceXresourceId"": ""40402a90-51e4-4ccb-a19c-a9eeb145749c"", ""inverseOntologyProperty"": """"}]"
09e5b330-eedc-5c41-8ff1-164cae8984ae,tg:lhpr:2464_#2,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""7108dc2a-c2ce-54a7-9dfe-62eb50184757"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5cad06a8-4a6c-4042-a8a3-5cb382622698"", ""inverseOntologyProperty"": """"}]"
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""ab25ed1c-ca5e-5e67-b5cd-b7d09d858440"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f5a615f8-4080-4607-afe2-7f47d3c04c5d"", ""inverseOntologyProperty"": """"}]"
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""ab25ed1c-ca5e-5e67-b5cd-b7d09d858440"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9f7ec831-d4ed-4dfc-946d-df901ba62e3f"", ""inverseOntologyProperty"": """"}]"
b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4,tg:lhpr:1589_#1,ImmaterialRecord,1,brocade.immaterial_uuid,"[{""resourceId"": ""08b675a7-f189-57a9-9ae7-e44fdc429f9b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""39ba1310-0503-400f-b270-1304ee9ec63e"", ""inverseOntologyProperty"": """"}]"
