ResourceID,brocade.id,card,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,Dimensions,kenmerken/lhformatic.lhformatwerkic,307,hoogte,millimeter
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,Dimensions,kenmerken/lhformatic.lhformatwerkic,215,breedte,millimeter
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,Dimensions,kenmerken/lhformatic.lhformatrandic,370,hoogte met rand,millimeter
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,Dimensions,kenmerken/lhformatic.lhformatrandic,252,breedte met rand,millimeter
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,Dimensions,kenmerken/lhformatic.lhformatwerkic,307,hoogte,millimeter
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,Dimensions,kenmerken/lhformatic.lhformatwerkic,215,breedte,millimeter
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,Dimensions,kenmerken/lhformatic.lhformatrandic,370,hoogte met rand,millimeter
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,Dimensions,kenmerken/lhformatic.lhformatrandic,252,breedte met rand,millimeter
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,Dimensions,kenmerken/lhformatic.lhformatwerkic,307,hoogte,millimeter
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,Dimensions,kenmerken/lhformatic.lhformatwerkic,215,breedte,millimeter
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,Dimensions,kenmerken/lhformatic.lhformatrandic,370,hoogte met rand,millimeter
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,Dimensions,kenmerken/lhformatic.lhformatrandic,252,breedte met rand,millimeter
098e0389-d02a-5317-a967-53ad10f8410b,tg:lhpr:2521_#1,Dimensions,kenmerken/lhformatic.lhformatwerkic,740,hoogte,millimeter
098e0389-d02a-5317-a967-53ad10f8410b,tg:lhpr:2521_#1,Dimensions,kenmerken/lhformatic.lhformatwerkic,590,breedte,millimeter
e1378e13-e78a-5041-9755-66738a5eb44c,tg:lhpr:2521_#2,Dimensions,kenmerken/lhformatic.lhformatwerkic,740,hoogte,millimeter
e1378e13-e78a-5041-9755-66738a5eb44c,tg:lhpr:2521_#2,Dimensions,kenmerken/lhformatic.lhformatwerkic,590,breedte,millimeter
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,Dimensions,kenmerken/lhformatic.lhformatwerkic,320,hoogte,millimeter
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,Dimensions,kenmerken/lhformatic.lhformatwerkic,215,breedte,millimeter
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,Dimensions,kenmerken/lhformatic.lhformatrandic,380,hoogte met rand,millimeter
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,Dimensions,kenmerken/lhformatic.lhformatrandic,280,breedte met rand,millimeter
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,Dimensions,kenmerken/lhformatic.lhformatwerkic,320,hoogte,millimeter
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,Dimensions,kenmerken/lhformatic.lhformatwerkic,215,breedte,millimeter
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,Dimensions,kenmerken/lhformatic.lhformatrandic,380,hoogte met rand,millimeter
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,Dimensions,kenmerken/lhformatic.lhformatrandic,280,breedte met rand,millimeter
b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4,tg:lhpr:1589_#1,Dimensions,kenmerken/lhformatic.lhformatwerkic,290,hoogte,millimeter
b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4,tg:lhpr:1589_#1,Dimensions,kenmerken/lhformatic.lhformatwerkic,237,breedte,millimeter
926d6315-88a2-5e6d-b26e-4e613a95c902,tg:lhpr:1589_#2,Dimensions,kenmerken/lhformatic.lhformatwerkic,290,hoogte,millimeter
926d6315-88a2-5e6d-b26e-4e613a95c902,tg:lhpr:1589_#2,Dimensions,kenmerken/lhformatic.lhformatwerkic,237,breedte,millimeter
721be338-50e4-5c57-b80e-52adbff73a9c,tg:lhpr:1589_#3,Dimensions,kenmerken/lhformatic.lhformatwerkic,290,hoogte,millimeter
