ResourceID,brocade.id,card,order,source_field,source_code,Colour
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,Colours,1,kenmerken/lhdragerico.lhkleur,kkg,ocher (color)
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,Colours,1,kenmerken/lhdragerico.lhkleur,kkg,ocher (color)
3e77f9ae-ddaa-583a-b85b-2a7d587b1df0,tg:lhpr:9642_#1,Colours,1,kenmerken/lhdragerico.lhkleur,kiw,ivory (color)
3e77f9ae-ddaa-583a-b85b-2a7d587b1df0,tg:lhpr:9642_#1,Colours,1,kenmerken/lhtechaanvtk.lhkleur,kbs,bronze (color)
3e77f9ae-ddaa-583a-b85b-2a7d587b1df0,tg:lhpr:9642_#1,Colours,2,kenmerken/lhtechaanvtk.lhkleur,kjs,gray (color)
3e77f9ae-ddaa-583a-b85b-2a7d587b1df0,tg:lhpr:9642_#1,Colours,1,kenmerken/lhtechbasispr.lhkleur,kzw,black (color)
c372bcdd-116b-5c6d-a4a6-4dc553865b05,tg:lhpr:9642_#2,Colours,1,kenmerken/lhdragerico.lhkleur,kiw,ivory (color)
c372bcdd-116b-5c6d-a4a6-4dc553865b05,tg:lhpr:9642_#2,Colours,1,kenmerken/lhtechaanvtk.lhkleur,kbs,bronze (color)
c372bcdd-116b-5c6d-a4a6-4dc553865b05,tg:lhpr:9642_#2,Colours,2,kenmerken/lhtechaanvtk.lhkleur,kjs,gray (color)
c372bcdd-116b-5c6d-a4a6-4dc553865b05,tg:lhpr:9642_#2,Colours,1,kenmerken/lhtechbasispr.lhkleur,kzw,black (color)
d2fc457d-bdb3-5d1d-868b-77635d7d98a6,tg:lhpr:2262_#1,Colours,1,kenmerken/lhtechbasispr.lhkleur,kzw,black (color)
4a7cb1fe-3c00-51e8-9278-33901a279f3e,tg:lhpr:2262_#2,Colours,1,kenmerken/lhtechbasispr.lhkleur,kzw,black (color)
a1421c55-9a0a-5b74-ab8a-a0b52838414b,tg:lhpr:2741_#1,Colours,1,kenmerken/lhtechaanvtk.lhkleur,kor,gold (color)
