ResourceID,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
bba5d809-c528-5f5a-bfe9-6daa869d8f56,LegacyInformation,3,note.lhherkomst,"(1-2) SB, 16-01-1941

(3) OB, 02-02-1959",herkomst,False
bba5d809-c528-5f5a-bfe9-6daa869d8f56,LegacyInformation,1,id.objectNumber,BE-ANN07/pr/000000410,referentienummer,False
bba5d809-c528-5f5a-bfe9-6daa869d8f56,LegacyInformation,1,brocade.id,tg:lhpr:2921_#1,brocade id,False
bba5d809-c528-5f5a-bfe9-6daa869d8f56,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhpr:2921/N,brocade url,False
6945d25c-11f2-528d-b638-67a3fdfe07de,LegacyInformation,3,note.lhherkomst,"(1-2) SB, 16-01-1941

(3) OB, 02-02-1959",herkomst,False
6945d25c-11f2-528d-b638-67a3fdfe07de,LegacyInformation,1,id.objectNumber,BE-ANN07/pr/000000410,referentienummer,False
6945d25c-11f2-528d-b638-67a3fdfe07de,LegacyInformation,1,brocade.id,tg:lhpr:2921_#2,brocade id,False
6945d25c-11f2-528d-b638-67a3fdfe07de,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhpr:2921/N,brocade url,False
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,LegacyInformation,3,note.lhherkomst,"(1-2) SB, 16-01-1941

(3) OB, 02-02-1959",herkomst,False
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,LegacyInformation,1,id.objectNumber,BE-ANN07/pr/000000410,referentienummer,False
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,LegacyInformation,1,brocade.id,tg:lhpr:2921_#3,brocade id,False
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhpr:2921/N,brocade url,False
098e0389-d02a-5317-a967-53ad10f8410b,LegacyInformation,1,if.rawcontent,HIRES026/Cuperus/2521i.tif,commentaar gebruiker,False
098e0389-d02a-5317-a967-53ad10f8410b,LegacyInformation,1,id.objectNumber,BE-ANN07/pr/000000283,referentienummer,False
098e0389-d02a-5317-a967-53ad10f8410b,LegacyInformation,1,brocade.id,tg:lhpr:2521_#1,brocade id,False
098e0389-d02a-5317-a967-53ad10f8410b,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhpr:2521/N,brocade url,False
e1378e13-e78a-5041-9755-66738a5eb44c,LegacyInformation,1,if.rawcontent,HIRES026/Cuperus/2521i.tif,commentaar gebruiker,False
e1378e13-e78a-5041-9755-66738a5eb44c,LegacyInformation,1,id.objectNumber,BE-ANN07/pr/000000283,referentienummer,False
e1378e13-e78a-5041-9755-66738a5eb44c,LegacyInformation,1,brocade.id,tg:lhpr:2521_#2,brocade id,False
e1378e13-e78a-5041-9755-66738a5eb44c,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhpr:2521/N,brocade url,False
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,LegacyInformation,1,if.rawcontent,"HIRES026/Courtmans/2464i.tif
",commentaar gebruiker,False
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,LegacyInformation,3,note.lhherkomst,Oningeschreven gevonden.,herkomst,False
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,LegacyInformation,1,id.objectNumber,BE-ANN07/pr/000000249,referentienummer,False
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,LegacyInformation,1,brocade.id,tg:lhpr:2464_#1,brocade id,False
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,LegacyInformation,1,brocade.url,https://anet.be/record/opaclhobj/tg:lhpr:2464/N,brocade url,False
