ResourceID,brocade.id,card,order,Acquisition Note,Registration Number value,Location Number,Archive Note,adm.note,Warehouse Location (begin),Serial Number
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,Items,1,tr:lh:1202,20510/1,Planex GP / V 4835,,,,
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,Items,1,tr:lh:3026,60421/2,Planex GP / V 4835,,,,
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,Items,1,tr:lh:139964,,,isad:lh:144190,,,
098e0389-d02a-5317-a967-53ad10f8410b,tg:lhpr:2521_#1,Items,1,tr:lh:2212,43540/3,Planex GP / C 4856,,,,
e1378e13-e78a-5041-9755-66738a5eb44c,tg:lhpr:2521_#2,Items,1,,75223/1,Planex GP / C 4856,,,,
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,tg:lhpr:2464_#1,Items,1,tr:lh:1202,20504,"(2) planex GP / IX,3",,,,
09e5b330-eedc-5c41-8ff1-164cae8984ae,tg:lhpr:2464_#2,Items,1,tr:lh:2212,43536/5,(1)SC 53 A 1,,,,
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,Items,1,,53693,"Planex GP / IX, 1",,(2) Prent is gedrukt op Japans papier.,,
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,Items,1,,55950,"Planex GP / IX, 1",,(2) Prent is gedrukt op Japans papier.,,
b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4,tg:lhpr:1589_#1,Items,1,tr:lh:1166,20233,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,
926d6315-88a2-5e6d-b26e-4e613a95c902,tg:lhpr:1589_#2,Items,1,,42467,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,
721be338-50e4-5c57-b80e-52adbff73a9c,tg:lhpr:1589_#3,Items,1,,47442/221,"Planex GP / IX, 2",,Litho is gemaakt naar een tekening van Jef Lambeaux,,
eb6ab5ec-09b2-59b0-852d-82a1eb573488,tg:lhpr:2761_#1,Items,1,,52944,"Planex GP / IX, 3",,,,
25ca313f-55ee-5a4e-b029-bb3a6f02b4ac,tg:lhpr:2761_#2,Items,1,,215081,"Planex GP / IX, 3",,,,
59f615f3-b1a3-5be8-886f-f455e26f156e,tg:lhpr:2761_#3,Items,1,,53576,"Planex GT / VI,5",,,,
c31cf0fb-25b4-5b6e-a326-8e70c930458b,tg:lhpr:9300_#1,Items,1,tr:lh:1173,20277,Planex GP / C 34,isad:lh:96267,(1) ets ; (2) mechanische reproductie,V2 E,
07bd27a2-13fd-5ff2-be67-61e6a05502f7,tg:lhpr:9300_#2,Items,1,,141988,Planex GP / C 34,,(1) ets ; (2) mechanische reproductie,,
b8816ae6-9c3a-56e4-85ab-d42bd73e51f6,tg:lhpr:9300_#3,Items,1,tr:lh:5009,99307/1,Planex GP / C 34,,Met blindstempel Stadsbibliotheek Antwerpen,,
0f51fda1-a77d-5260-bec7-5c32a96cb2b4,tg:lhpr:9300_#4,Items,1,tr:lh:2212,43537/5,Planex GP / C 34,,"Grote reproductie 42 x 32 (64 x 49), met opschrift: 'herinnering aan mijn privaat-Conscience tentoonstelling in 't Syndikaat van 11 juli tot 4 augustus 1912. J. Baetes"""".",,
154abd28-c444-5579-a84d-67704ed595e9,tg:lhpr:9300_#5,Items,1,tr:lh:323,6934,Planex GP / C 34,,Met opdracht aan Pol de Mont van Piet Verhaert,,
3e77f9ae-ddaa-583a-b85b-2a7d587b1df0,tg:lhpr:9642_#1,Items,1,,64051,"Planex GP / IX, 2",,,,
c372bcdd-116b-5c6d-a4a6-4dc553865b05,tg:lhpr:9642_#2,Items,1,tr:lh:1078,19346/1,"Planex GP / IX, 2",,,,
d2fc457d-bdb3-5d1d-868b-77635d7d98a6,tg:lhpr:2262_#1,Items,1,tr:lh:2212,43548/4,"Planex GP / X, 2",,,,
4a7cb1fe-3c00-51e8-9278-33901a279f3e,tg:lhpr:2262_#2,Items,1,,87524/1,"Planex GP / X, 2",,,,
8918edba-1cfd-5a0a-9d0f-e4fbf7e15308,tg:lhpr:3541_#1,Items,1,,178866/3,EE 49 / I,,,,
1a7e55cd-2be3-5005-8650-241517ea14de,tg:lhpr:3541_#2,Items,1,,178867,EE 49 / I,,,,
6c82c52c-9543-57ff-aa71-cd758f5c701c,tg:lhpr:10296_#1,Items,1,tr:lh:2432,47441/160,D 1175 / I (Doos 3),isad:lh:127006,,,
dcf1e405-a74d-53b2-87ec-516a5a5c04a1,tg:lhpr:10296_#2,Items,1,tr:lh:2432,47442/226,D 1175 / I (Doos 3),isad:lh:127006,,,
036ea36b-a741-5327-810d-d6b75d6d7b23,tg:lhpr:8136_#1,Items,1,,52609/1,Planex KP / BB 599,,,,
b25ad62e-19f4-572b-8194-6e3b37b0b699,tg:lhpr:8136_#2,Items,1,,219723,Planex KP / BB 599,,,,
7d89982d-0ea8-5dab-bd8f-3702e599f028,tg:lhpr:2184_#1,Items,1,,40302,Planex KP / S 535,,,,
