ResourceID,brocade.id,card,order,ire.isaar.uuid,Textual ISAAR Brocade ID,Textual Actor Role,Textual Actor Widget,Textual Actor Identifier
bba5d809-c528-5f5a-bfe9-6daa869d8f56,tg:lhpr:2921_#1,TextualContent,1,0eff90f1-ba2f-5ca6-ba52-37a9295622f0,au::21507,artists (visual artists),"dlod={""name"":""Henri Wils"",""ark"":""ark:/83110/x0/0eff90f1-ba2f-5ca6-ba52-37a9295622f0"",""uri"":""/agents/people/57382"",""id"":""au::21507"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0eff90f1-ba2f-5ca6-ba52-37a9295622f0
6945d25c-11f2-528d-b638-67a3fdfe07de,tg:lhpr:2921_#2,TextualContent,1,0eff90f1-ba2f-5ca6-ba52-37a9295622f0,au::21507,artists (visual artists),"dlod={""name"":""Henri Wils"",""ark"":""ark:/83110/x0/0eff90f1-ba2f-5ca6-ba52-37a9295622f0"",""uri"":""/agents/people/57382"",""id"":""au::21507"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0eff90f1-ba2f-5ca6-ba52-37a9295622f0
5aeba114-b3e6-5ab5-808e-f7d0346b5dd9,tg:lhpr:2921_#3,TextualContent,1,0eff90f1-ba2f-5ca6-ba52-37a9295622f0,au::21507,artists (visual artists),"dlod={""name"":""Henri Wils"",""ark"":""ark:/83110/x0/0eff90f1-ba2f-5ca6-ba52-37a9295622f0"",""uri"":""/agents/people/57382"",""id"":""au::21507"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/0eff90f1-ba2f-5ca6-ba52-37a9295622f0
098e0389-d02a-5317-a967-53ad10f8410b,tg:lhpr:2521_#1,TextualContent,1,8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76,au::14556,artists (visual artists),"dlod={""name"":""Louis Joannes Peeters"",""ark"":""ark:/83110/x0/8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76"",""uri"":""/agents/people/87707"",""id"":""au::14556"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76
e1378e13-e78a-5041-9755-66738a5eb44c,tg:lhpr:2521_#2,TextualContent,1,8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76,au::14556,artists (visual artists),"dlod={""name"":""Louis Joannes Peeters"",""ark"":""ark:/83110/x0/8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76"",""uri"":""/agents/people/87707"",""id"":""au::14556"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/8f1181e8-d4fb-5b2f-a2ca-5c8b27c1cb76
d7add5cf-43d6-5c90-b4fe-d760aa8ce0b4,tg:lhpr:2464_#1,TextualContent,1,d65a9eee-ccdf-548b-9b04-3e545d6618fe,au::11741,artists (visual artists),"dlod={""name"":""Florimond van Loo"",""ark"":""ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe"",""uri"":""/agents/people/82780"",""id"":""au::11741"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe
09e5b330-eedc-5c41-8ff1-164cae8984ae,tg:lhpr:2464_#2,TextualContent,1,d65a9eee-ccdf-548b-9b04-3e545d6618fe,au::11741,artists (visual artists),"dlod={""name"":""Florimond van Loo"",""ark"":""ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe"",""uri"":""/agents/people/82780"",""id"":""au::11741"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d65a9eee-ccdf-548b-9b04-3e545d6618fe
fe421aa4-166c-5f2d-b788-5a98524567d6,tg:lhpr:2433_#1,TextualContent,1,49a9b656-6563-571f-8508-1b4191af6cb9,au::3139,artists (visual artists),"dlod={""name"":""Gustaaf Christian de Bruyne"",""ark"":""ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9"",""uri"":""/agents/people/58065"",""id"":""au::3139"",""nameWithContext"":[""Cris""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9
635c1293-aea8-5191-a41e-0b4a4fab15f4,tg:lhpr:2433_#2,TextualContent,1,49a9b656-6563-571f-8508-1b4191af6cb9,au::3139,artists (visual artists),"dlod={""name"":""Gustaaf Christian de Bruyne"",""ark"":""ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9"",""uri"":""/agents/people/58065"",""id"":""au::3139"",""nameWithContext"":[""Cris""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/49a9b656-6563-571f-8508-1b4191af6cb9
b6fba949-6f69-5fd1-9bbc-913c2c6e5fd4,tg:lhpr:1589_#1,TextualContent,1,18797840-5c11-53e1-b30a-823ba91d8eb0,au::4826,artists (visual artists),"dlod={""name"":""Albert Daenens"",""ark"":""ark:/83110/x0/18797840-5c11-53e1-b30a-823ba91d8eb0"",""uri"":""/agents/people/49136"",""id"":""au::4826"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/18797840-5c11-53e1-b30a-823ba91d8eb0
