ResourceID,brocade.id,card,source_date,Copyright Revision Date,Copyright Note,Copyright Note Type,Copyright Note Language,Copyright Type
151729a4-7ab4-5daa-95d6-9eb31512a9f3,tg:lhph:14757,e73_Copyrights,1947-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
fb0ff7a0-0010-5045-ae83-dce5e1486364,tg:lhph:20300,e73_Copyrights,1969-08-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
cb3cc2bd-4117-57f3-a591-b5a58fd77530,tg:lhph:30898,e73_Copyrights,1905-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,No Known Copyright
c990ed42-d090-52d1-a6ef-c9b2926f4daf,tg:lhph:10399,e73_Copyrights,1905-11-11,2022-03-15,Set at migration from Brocade,remarks,Nederlands,No Known Copyright
97d96c27-5a2f-54ec-ada7-29652cc89670,tg:lhph:1130,e73_Copyrights,1929-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
af403367-1b59-5ead-b91b-f42580b3ea7f,tg:lhph:37147,e73_Copyrights,1963-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
ba975792-b9a4-5550-b516-834d7d966f6e,tg:lhph:25526,e73_Copyrights,1966-01-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
2ce1adfa-9311-5afc-886e-52b42a0e1a3f,tg:lhph:9285,e73_Copyrights,1925-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
e9c7f2d0-1c62-578b-867e-ecbf8d7775d5,tg:lhph:27346,e73_Copyrights,1925-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
a49b1da0-b46f-5690-9b04-43f1e3b18b52,tg:lhph:40267,e73_Copyrights,1914-03-17,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
140b25be-7cdc-5a83-a342-696652ab7a02,tg:lhph:53970,e73_Copyrights,1950-04-29,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
85a67807-35a7-50d1-9ec5-f5c078abca45,tg:lhph:30101,e73_Copyrights,1916-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,e73_Copyrights,1911-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
996ec998-31be-5a9f-9f5c-04b54772b647,tg:lhph:48237,e73_Copyrights,1975-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
ba87fa28-7f39-597f-a1b3-62dac584e8c1,tg:lhph:34851,e73_Copyrights,1912-11-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
c856483e-97c0-5297-8992-9bf6ca241ca4,tg:lhph:51414,e73_Copyrights,1923-05-06,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
fae9f3e6-4799-58c6-b9b0-d3cde0c4743a,tg:lhph:10503,e73_Copyrights,1969-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
1516a53b-d7ab-5a19-8213-5609e696b148,tg:lhph:29722,e73_Copyrights,1923-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
13a74e1b-ca68-5abe-8fec-242cdf915110,tg:lhph:20278,e73_Copyrights,1969-08-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
4a73589b-ef30-5a84-92d3-6a0f3f8b10ef,tg:lhph:47925,e73_Copyrights,1940-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
624ffe81-d6ab-509b-8f93-3afd8955ac1d,tg:lhph:36535,e73_Copyrights,1964-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
3c032895-27d7-5819-ab5a-6f2862992911,tg:lhph:24154,e73_Copyrights,1934-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
5abf5e24-f32c-590b-8a52-b3d4f99da09d,tg:lhph:15325,e73_Copyrights,1966-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
eba7a595-c6ab-5e4f-ab11-7969d931476d,tg:lhph:1048,e73_Copyrights,1939-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
fca1ac81-ca7a-5aa6-8aa0-96fb0aa27d76,tg:lhph:11009,e73_Copyrights,1939-02-26,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
05951f32-29b0-544c-8507-87d202607579,tg:lhph:28854,e73_Copyrights,1910-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
4c029a3b-d61c-50f3-8c09-77aed6e73ec1,tg:lhph:53191,e73_Copyrights,1913-09-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
be18c2b2-61f8-50c1-8d95-aaf2c738a236,tg:lhph:5364,e73_Copyrights,1969-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
446f75a5-e923-56a9-a418-cca2126fa01f,tg:lhph:6997,e73_Copyrights,1961-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
1443144b-433d-5ed5-9130-5f0d75371724,tg:lhph:33313,e73_Copyrights,1959-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
e5278d41-eb29-5c02-87ca-71efc35d4276,tg:lhph:43390,e73_Copyrights,1965-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
a8dcbac3-ccc9-58e5-a194-c09100f36b85,tg:lhph:40963,e73_Copyrights,1955-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
74fd9750-5410-58e2-a48c-afa5f37cc120,tg:lhph:23112,e73_Copyrights,1932-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
c22d95cc-d760-5630-8816-5835de6625a8,tg:lhph:31573,e73_Copyrights,1962-11-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
c18bf3f6-f694-5561-bc65-6c2f4868645f,tg:lhph:7504,e73_Copyrights,1955-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
8917ba23-eca9-5f7b-9430-3581ab67e853,tg:lhph:34355,e73_Copyrights,1962-07-16,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
e942b3c5-68ad-54d4-8606-5c892c2bb693,tg:lhph:26734,e73_Copyrights,1925-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
31075b5c-19df-56cc-b2e5-abf9154b2654,tg:lhph:2322,e73_Copyrights,1962-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
308f9ceb-9f50-5bc3-92d8-71ae4338aa4c,tg:lhph:53808,e73_Copyrights,1901-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,No Known Copyright
4d64c5d5-084e-5484-b37d-5f8cae2f1377,tg:lhph:12363,e73_Copyrights,1966-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
148adca8-6209-5849-99fa-fc57663ff09b,tg:lhph:11990,e73_Copyrights,1875-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,No Copyright - Public Domain Mark 1.0
c4940639-2952-5184-8578-8342077c2a34,tg:lhph:22418,e73_Copyrights,1950-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,In Copyright
c3e02d54-9bee-57d2-8163-4f8fbe2f09af,tg:lhph:13701,e73_Copyrights,1898-uu-uu,2022-03-15,Set at migration from Brocade,remarks,Nederlands,No Known Copyright
