ResourceID,brocade.id,card,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type
151729a4-7ab4-5daa-95d6-9eb31512a9f3,tg:lhph:14757,e73_CreationTimeSpans,1947-uu-uu,nan,nan,nan,nan,nan,nan
fb0ff7a0-0010-5045-ae83-dce5e1486364,tg:lhph:20300,e73_CreationTimeSpans,1969-08-uu,nan,nan,nan,nan,nan,nan
cb3cc2bd-4117-57f3-a591-b5a58fd77530,tg:lhph:30898,e73_CreationTimeSpans,1905-uu-uu,circa,nan,nan,nan,nan,nan
c990ed42-d090-52d1-a6ef-c9b2926f4daf,tg:lhph:10399,e73_CreationTimeSpans,1905-11-11,nan,nan,nan,nan,nan,nan
97d96c27-5a2f-54ec-ada7-29652cc89670,tg:lhph:1130,e73_CreationTimeSpans,1929-uu-uu,circa,nan,nan,nan,nan,nan
af403367-1b59-5ead-b91b-f42580b3ea7f,tg:lhph:37147,e73_CreationTimeSpans,1963-uu-uu,nan,nan,nan,nan,nan,nan
ba975792-b9a4-5550-b516-834d7d966f6e,tg:lhph:25526,e73_CreationTimeSpans,1966-01-uu,circa,nan,nan,nan,nan,nan
2ce1adfa-9311-5afc-886e-52b42a0e1a3f,tg:lhph:9285,e73_CreationTimeSpans,1925-uu-uu,circa,nan,nan,nan,nan,nan
e9c7f2d0-1c62-578b-867e-ecbf8d7775d5,tg:lhph:27346,e73_CreationTimeSpans,1925-uu-uu,nan,nan,nan,nan,nan,nan
a49b1da0-b46f-5690-9b04-43f1e3b18b52,tg:lhph:40267,e73_CreationTimeSpans,1914-03-17,nan,nan,nan,nan,nan,nan
140b25be-7cdc-5a83-a342-696652ab7a02,tg:lhph:53970,e73_CreationTimeSpans,1950-04-29,nan,nan,nan,nan,nan,nan
85a67807-35a7-50d1-9ec5-f5c078abca45,tg:lhph:30101,e73_CreationTimeSpans,1916-uu-uu,circa,1917-uu-uu,nan,nan,nan,nan
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,e73_CreationTimeSpans,1911-uu-uu,circa,nan,nan,nan,nan,nan
