card,order,adm.id_mat,adm.inv,Plaatsingsnummer,adm.uuid_mat,ResourceID,brocade.id,adm.acquiredVia,adm.isadPartOf,Volgnummer,Source Note,Warehouse Location (begin),Warehouse Location (end)
e22_Items,1,tg:lhph:14757_#1,141337/1,D 356 / P,ddd7f9ca-ce0d-5ac3-9c61-56c4ed78fb49,ddd7f9ca-ce0d-5ac3-9c61-56c4ed78fb49,tg:lhph:14757_#1,,,,,,
e22_Items,1,tg:lhph:40182_#1,20691/494,B 6832 / P,b6aa3a9f-b6c9-5b8d-b851-cd136b94c849,b6aa3a9f-b6c9-5b8d-b851-cd136b94c849,tg:lhph:40182_#1,,,,,,
e22_Items,1,tg:lhph:4716_#1,27571/564,M 704 / P,e28d348d-01fe-5007-87d4-dbfdc30dba55,e28d348d-01fe-5007-87d4-dbfdc30dba55,tg:lhph:4716_#1,tr:lh:1492,,,,,
e22_Items,1,tg:lhph:20300_#1,203626/1362,M 224 / P (NEG0048/5/29),964cb231-4473-53bd-8ad5-9c89d5473a65,964cb231-4473-53bd-8ad5-9c89d5473a65,tg:lhph:20300_#1,tr:lh:7859,isad:lh:94873,,,,
e22_Items,1,tg:lhph:41488_#1,234716/14,B 745 / P,06f81b62-11ff-5be1-aa0b-6500135463d6,06f81b62-11ff-5be1-aa0b-6500135463d6,tg:lhph:41488_#1,tr:lh:6342,,,,,
e22_Items,1,tg:lhph:30898_#1,233084/28,G 415 / P,32b022ad-f8f1-53e4-a8f7-44dc20908f95,32b022ad-f8f1-53e4-a8f7-44dc20908f95,tg:lhph:30898_#1,,,,,,
e22_Items,3,tg:lhph:10399_#3,27493/446,B 118 / P,81b1b56b-98bb-57e7-8c86-b173a611cb88,81b1b56b-98bb-57e7-8c86-b173a611cb88,tg:lhph:10399_#3,tr:lh:1492,,,,,
e22_Items,1,tg:lhph:1130_#1,91468/27,B 708 / P,95172794-6ea6-5f7e-a577-f0b51449548c,95172794-6ea6-5f7e-a577-f0b51449548c,tg:lhph:1130_#1,tr:lh:4743,isad:lh:184291,,,,
e22_Items,1,tg:lhph:37147_#1,218458/2053,B 1183 / P (NEG00225/4/17),d1be0b09-38ab-5f25-a48a-10a89c7db963,d1be0b09-38ab-5f25-a48a-10a89c7db963,tg:lhph:37147_#1,tr:lh:9510,isad:lh:95309,,,,
e22_Items,1,tg:lhph:25526_#1,73801/5,O 345 / P,44614938-0c74-5e95-ad95-83c129d2bd02,44614938-0c74-5e95-ad95-83c129d2bd02,tg:lhph:25526_#1,tr:lh:3839,,,,,
e22_Items,1,tg:lhph:9285_#1,132307,B 212 / P,d133ae57-430f-55d0-9048-e735f4ebc7a4,d133ae57-430f-55d0-9048-e735f4ebc7a4,tg:lhph:9285_#1,tr:lh:9945,isad:lh:94057,,,,
e22_Items,1,tg:lhph:35727_#1,72158,L 3275 / P,52bae1dd-a4bf-5460-aa52-11f256069341,52bae1dd-a4bf-5460-aa52-11f256069341,tg:lhph:35727_#1,tr:lh:3750,isad:lh:93041,,,,
e22_Items,1,tg:lhph:27346_#1,56070/9,P 4535 / P,fbd24ed5-5057-53c6-bf01-ac80eae4ca2a,fbd24ed5-5057-53c6-bf01-ac80eae4ca2a,tg:lhph:27346_#1,tr:lh:2793,isad:lh:93183,,,,
e22_Items,1,tg:lhph:3750_#1,69041,A 1835 / P,a8e74ca5-e938-5130-b147-38bafa776de3,a8e74ca5-e938-5130-b147-38bafa776de3,tg:lhph:3750_#1,tr:lh:3480,,,,,
e22_Items,1,tg:lhph:51689_#1,,M 8235 / P,a2e95c8d-acba-5aa4-ab38-4d28f7115d75,a2e95c8d-acba-5aa4-ab38-4d28f7115d75,tg:lhph:51689_#1,,,,,,
e22_Items,2,tg:lhph:40267_#2,54908/4,M 4384 / P,4ba3e849-d816-55e0-b2a5-dede8e5220f2,4ba3e849-d816-55e0-b2a5-dede8e5220f2,tg:lhph:40267_#2,tr:lh:2778,,,,,
