ResourceID,brocade.id,card,order,Keeper,Object Number,Object Identifier,Record Type
151729a4-7ab4-5daa-95d6-9eb31512a9f3,tg:lhph:14757,AA,0,Letterenhuis,tg:lhph:14757,https://data.letterenhuis.be/ark:/24970/151729a4-7ab4-5daa-95d6-9eb31512a9f3,Foto's
6045ff33-9c30-5077-afe1-3ee2c6d511e6,tg:lhph:40182,AA,0,Letterenhuis,tg:lhph:40182,https://data.letterenhuis.be/ark:/24970/6045ff33-9c30-5077-afe1-3ee2c6d511e6,Foto's
e2e08d65-98fb-52ce-9828-14a7576718a6,tg:lhph:4716,AA,0,Letterenhuis,tg:lhph:4716,https://data.letterenhuis.be/ark:/24970/e2e08d65-98fb-52ce-9828-14a7576718a6,Foto's
fb0ff7a0-0010-5045-ae83-dce5e1486364,tg:lhph:20300,AA,0,Letterenhuis,tg:lhph:20300,https://data.letterenhuis.be/ark:/24970/fb0ff7a0-0010-5045-ae83-dce5e1486364,Foto's
a3256451-d91d-570b-ae87-83791035d308,tg:lhph:41488,AA,0,Letterenhuis,tg:lhph:41488,https://data.letterenhuis.be/ark:/24970/a3256451-d91d-570b-ae87-83791035d308,Foto's
cb3cc2bd-4117-57f3-a591-b5a58fd77530,tg:lhph:30898,AA,0,Letterenhuis,tg:lhph:30898,https://data.letterenhuis.be/ark:/24970/cb3cc2bd-4117-57f3-a591-b5a58fd77530,Foto's
97d96c27-5a2f-54ec-ada7-29652cc89670,tg:lhph:1130,AA,0,Letterenhuis,tg:lhph:1130,https://data.letterenhuis.be/ark:/24970/97d96c27-5a2f-54ec-ada7-29652cc89670,Foto's
af403367-1b59-5ead-b91b-f42580b3ea7f,tg:lhph:37147,AA,0,Letterenhuis,tg:lhph:37147,https://data.letterenhuis.be/ark:/24970/af403367-1b59-5ead-b91b-f42580b3ea7f,Foto's
ba975792-b9a4-5550-b516-834d7d966f6e,tg:lhph:25526,AA,0,Letterenhuis,tg:lhph:25526,https://data.letterenhuis.be/ark:/24970/ba975792-b9a4-5550-b516-834d7d966f6e,Foto's
2ce1adfa-9311-5afc-886e-52b42a0e1a3f,tg:lhph:9285,AA,0,Letterenhuis,tg:lhph:9285,https://data.letterenhuis.be/ark:/24970/2ce1adfa-9311-5afc-886e-52b42a0e1a3f,Foto's
d7eab265-9baa-5ed3-b16d-2cec01125cf8,tg:lhph:35727,AA,0,Letterenhuis,tg:lhph:35727,https://data.letterenhuis.be/ark:/24970/d7eab265-9baa-5ed3-b16d-2cec01125cf8,Foto's
e9c7f2d0-1c62-578b-867e-ecbf8d7775d5,tg:lhph:27346,AA,0,Letterenhuis,tg:lhph:27346,https://data.letterenhuis.be/ark:/24970/e9c7f2d0-1c62-578b-867e-ecbf8d7775d5,Foto's
862785c9-4723-53e9-a6dc-25d0ce954380,tg:lhph:3750,AA,0,Letterenhuis,tg:lhph:3750,https://data.letterenhuis.be/ark:/24970/862785c9-4723-53e9-a6dc-25d0ce954380,Foto's
e518f9d0-53a6-53f8-8450-57e03afe28d4,tg:lhph:51689,AA,0,Letterenhuis,tg:lhph:51689,https://data.letterenhuis.be/ark:/24970/e518f9d0-53a6-53f8-8450-57e03afe28d4,Foto's
bb003e28-c569-59ca-ab38-a14729fa8c67,tg:lhph:13711,AA,0,Letterenhuis,tg:lhph:13711,https://data.letterenhuis.be/ark:/24970/bb003e28-c569-59ca-ab38-a14729fa8c67,Foto's
9fc8d142-4413-58de-b108-1bfeab76a8f0,tg:lhph:50383,AA,0,Letterenhuis,tg:lhph:50383,https://data.letterenhuis.be/ark:/24970/9fc8d142-4413-58de-b108-1bfeab76a8f0,Foto's
140b25be-7cdc-5a83-a342-696652ab7a02,tg:lhph:53970,AA,0,Letterenhuis,tg:lhph:53970,https://data.letterenhuis.be/ark:/24970/140b25be-7cdc-5a83-a342-696652ab7a02,Foto's
4858203f-256a-5fb7-9b55-b2191e80f6bc,tg:lhph:22560,AA,0,Letterenhuis,tg:lhph:22560,https://data.letterenhuis.be/ark:/24970/4858203f-256a-5fb7-9b55-b2191e80f6bc,Foto's
85a67807-35a7-50d1-9ec5-f5c078abca45,tg:lhph:30101,AA,0,Letterenhuis,tg:lhph:30101,https://data.letterenhuis.be/ark:/24970/85a67807-35a7-50d1-9ec5-f5c078abca45,Foto's
028ab337-41b5-5ec3-a03a-93dd35449b12,tg:lhph:6176,AA,0,Letterenhuis,tg:lhph:6176,https://data.letterenhuis.be/ark:/24970/028ab337-41b5-5ec3-a03a-93dd35449b12,Foto's
996ec998-31be-5a9f-9f5c-04b54772b647,tg:lhph:48237,AA,0,Letterenhuis,tg:lhph:48237,https://data.letterenhuis.be/ark:/24970/996ec998-31be-5a9f-9f5c-04b54772b647,Foto's
7cf9777f-ddbc-54d0-afb6-b8166e19bf6d,tg:lhph:16137,AA,0,Letterenhuis,tg:lhph:16137,https://data.letterenhuis.be/ark:/24970/7cf9777f-ddbc-54d0-afb6-b8166e19bf6d,Foto's
fae9f3e6-4799-58c6-b9b0-d3cde0c4743a,tg:lhph:10503,AA,0,Letterenhuis,tg:lhph:10503,https://data.letterenhuis.be/ark:/24970/fae9f3e6-4799-58c6-b9b0-d3cde0c4743a,Foto's
d6fa78bb-2369-54c0-99ae-5ce8cca38e9a,tg:lhph:32619,AA,0,Letterenhuis,tg:lhph:32619,https://data.letterenhuis.be/ark:/24970/d6fa78bb-2369-54c0-99ae-5ce8cca38e9a,Foto's
13a74e1b-ca68-5abe-8fec-242cdf915110,tg:lhph:20278,AA,0,Letterenhuis,tg:lhph:20278,https://data.letterenhuis.be/ark:/24970/13a74e1b-ca68-5abe-8fec-242cdf915110,Foto's
4a73589b-ef30-5a84-92d3-6a0f3f8b10ef,tg:lhph:47925,AA,0,Letterenhuis,tg:lhph:47925,https://data.letterenhuis.be/ark:/24970/4a73589b-ef30-5a84-92d3-6a0f3f8b10ef,Foto's
624ffe81-d6ab-509b-8f93-3afd8955ac1d,tg:lhph:36535,AA,0,Letterenhuis,tg:lhph:36535,https://data.letterenhuis.be/ark:/24970/624ffe81-d6ab-509b-8f93-3afd8955ac1d,Foto's
