ResourceID,brocade.id,card,order,volgnummer,note
6a7bed98-ed68-5807-91d7-b17521587445,tg:lhph:48237_#1,e22_OtherIdentifiers,1,V 7576 / 161,
49be5079-1a07-5941-91f2-054968ce893e,tg:lhph:51414_#2,e22_OtherIdentifiers,2,S 935 / 484,
49be5079-1a07-5941-91f2-054968ce893e,tg:lhph:51414_#2,e22_OtherIdentifiers,2,,Bruikleen Vlaamse Gemeenschap - STR10513
92372403-3f5f-5bd1-9751-5785ee6ee450,tg:lhph:53808_#1,e22_OtherIdentifiers,1,S 935 / 494,
92372403-3f5f-5bd1-9751-5785ee6ee450,tg:lhph:53808_#1,e22_OtherIdentifiers,1,,Bruikleen Vlaamse Gemeenschap - STR12936
2a33b60d-56b3-51a8-85ec-64c9cf568d7f,tg:lhph:51699_#1,e22_OtherIdentifiers,1,B 708 / P,
043fc462-663e-58f2-865d-7acd1e6c16c2,tg:lhph:53960_#1,e22_OtherIdentifiers,1,MM 72 / 3,
82152a41-5308-5e84-9dff-21049d96cbdd,tg:lhph:48227_#1,e22_OtherIdentifiers,1,V 7576 / 150,
08524317-57a2-5461-9a79-4e0b757c6962,tg:lhph:49655_#1,e22_OtherIdentifiers,1,W 909 / 9,
e7017e10-d1b5-5092-98a9-1caedf134030,tg:lhph:53181_#1,e22_OtherIdentifiers,1,S 935 / 480,
e7017e10-d1b5-5092-98a9-1caedf134030,tg:lhph:53181_#1,e22_OtherIdentifiers,1,,Bruikleen Vlaamse Gemeenschap - STR108
cebd4b9b-d2e9-546e-b42e-0efae59f169e,tg:lhph:22949_#2,e22_OtherIdentifiers,2,S 935 / 484,
cebd4b9b-d2e9-546e-b42e-0efae59f169e,tg:lhph:22949_#2,e22_OtherIdentifiers,2,,Bruikleen Vlaamse Gemeenschap - STR10691
af0b5163-aa1c-5b1d-83a8-2fc7a1cf619c,tg:lhph:49000_#1,e22_OtherIdentifiers,1,LL 169 / 10,
08674d7c-2faf-5f99-8966-6167ef7cf96a,tg:lhph:52949_#1,e22_OtherIdentifiers,1,S 935 / 490,
08674d7c-2faf-5f99-8966-6167ef7cf96a,tg:lhph:52949_#1,e22_OtherIdentifiers,1,,Bruikleen Vlaamse Gemeenschap - STR12084
b1786ef6-cb40-5971-83a3-fe6bb08c8bfb,tg:lhph:52831_#1,e22_OtherIdentifiers,1,,Bruikleen Vlaamse Gemeenschap - FOT100037
7d97167d-cf3a-501d-82a1-673e735736b2,tg:lhph:49376_#1,e22_OtherIdentifiers,1,,digitale acquisitie
47c1f0c1-aea6-5df9-a374-d54b99ac463b,tg:lhph:52959_#1,e22_OtherIdentifiers,1,S 935 / 491,
47c1f0c1-aea6-5df9-a374-d54b99ac463b,tg:lhph:52959_#1,e22_OtherIdentifiers,1,,Bruikleen Vlaamse Gemeenschap - STR12101
d9cc2c6b-1a05-5827-b251-ebf9d2f7a528,tg:lhph:52821_#1,e22_OtherIdentifiers,1,PH-GF-018,
d9cc2c6b-1a05-5827-b251-ebf9d2f7a528,tg:lhph:52821_#1,e22_OtherIdentifiers,1,,Bruikleen Vlaamse Gemeenschap - STR12620
4ea318f4-a359-59bb-afad-357d20fad629,tg:lhph:49366_#1,e22_OtherIdentifiers,1,w 909 / 4,
a7042d19-6cbb-56bc-ae62-d395ff4b2b76,tg:lhph:48151_#1,e22_OtherIdentifiers,1,V 7576 / 94,
