ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type
308f9ceb-9f50-5bc3-92d8-71ae4338aa4c,tg:lhph:53808,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR12936,Bruikleen Vlaamse Gemeenschap - STR12936,Nederlands,remarks
9d374371-20e4-5f06-9b45-a320d3941e22,tg:lhph:53181,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR108,Bruikleen Vlaamse Gemeenschap - STR108,Nederlands,remarks
559cda61-b06a-5700-8166-ba485598652e,tg:lhph:52949,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR12084,Bruikleen Vlaamse Gemeenschap - STR12084,Nederlands,remarks
d6f6f207-3529-5dbd-840d-ed3bc0d00015,tg:lhph:52831,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - FOT100037,Bruikleen Vlaamse Gemeenschap - FOT100037,Nederlands,remarks
e9773583-d6d1-5fd5-b3e6-66f37787436a,tg:lhph:49376,e73_AnnotationsImmaterial,1,adm.note,digitale acquisitie,digitale acquisitie,Nederlands,remarks
e016cb94-ec82-5e99-80f7-f8261c98beec,tg:lhph:52959,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR12101,Bruikleen Vlaamse Gemeenschap - STR12101,Nederlands,remarks
4847d6eb-4df8-51f6-8bc2-a69ad5e78239,tg:lhph:52821,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR12620,Bruikleen Vlaamse Gemeenschap - STR12620,Nederlands,remarks
0778b502-0ce0-5f86-b000-ba361207f577,tg:lhph:52685,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR11482,Bruikleen Vlaamse Gemeenschap - STR11482,Nederlands,remarks
822e29d7-1c3c-58dd-b6c2-0352a925b27a,tg:lhph:51497,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000576,Bruikleen Vlaamse Gemeenschap - GLN000576,Nederlands,remarks
2545f914-dadb-5524-ae05-7565b7ca3ba2,tg:lhph:50804,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000016,Bruikleen Vlaamse Gemeenschap - GLN000016,Nederlands,remarks
1f7f4273-777d-57fb-a7ee-8f72de6c3136,tg:lhph:52695,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR11495,Bruikleen Vlaamse Gemeenschap - STR11495,Nederlands,remarks
4222e8ef-dd93-5e9a-9c0f-7183969727ee,tg:lhph:22616,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR12412,Bruikleen Vlaamse Gemeenschap - STR12412,Nederlands,remarks
89118389-7d6f-5cf4-ba02-6b0b1a0bb1fb,tg:lhph:50814,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000025,Bruikleen Vlaamse Gemeenschap - GLN000025,Nederlands,remarks
b66676fd-3759-5e30-be16-356c82c15f4f,tg:lhph:51487,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000564,Bruikleen Vlaamse Gemeenschap - GLN000564,Nederlands,remarks
ddb5f1bb-e51b-5138-a96e-12e73e4f3207,tg:lhph:53563,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap,Bruikleen Vlaamse Gemeenschap,Nederlands,remarks
9b06d535-b306-50da-84ab-780079d4e52c,tg:lhph:22973,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000247,Bruikleen Vlaamse Gemeenschap - GLN000247,Nederlands,remarks
51ea4add-9842-5e9e-a266-89b9d9662816,tg:lhph:51303,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000391,Bruikleen Vlaamse Gemeenschap - GLN000391,Nederlands,remarks
1ec7ec83-5662-5ac1-8211-03f7eceaedb0,tg:lhph:52888,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR11956,Bruikleen Vlaamse Gemeenschap - STR11956,Nederlands,remarks
4a50d058-44d7-5e2f-b40d-4aa4471efdf5,tg:lhph:22192,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000282,Bruikleen Vlaamse Gemeenschap - GLN000282,Nederlands,remarks
e8ad7c1a-d381-5323-8424-0b44485d6e9a,tg:lhph:51313,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000400,Bruikleen Vlaamse Gemeenschap - GLN000400,Nederlands,remarks
9b0afb33-ad15-5087-854c-93618825631a,tg:lhph:52898,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR11973,Bruikleen Vlaamse Gemeenschap - STR11973,Nederlands,remarks
6e851af4-6bc9-55ce-af05-d601a9068a12,tg:lhph:53336,e73_AnnotationsImmaterial,1,adm.note,Gevonden in R 704 / D,Gevonden in R 704 / D,Nederlands,remarks
f686e949-d4ac-5942-9959-8b01ee3a65fe,tg:lhph:52744,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR11698,Bruikleen Vlaamse Gemeenschap - STR11698,Nederlands,remarks
e43e0c7f-9de7-5757-aa1d-5668de3b9e18,tg:lhph:53326,e73_AnnotationsImmaterial,1,adm.note,Gevonden in R 704 / D,Gevonden in R 704 / D,Nederlands,remarks
342a0ed1-8e1f-5884-b8df-0e802608c81b,tg:lhph:52754,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR11710,Bruikleen Vlaamse Gemeenschap - STR11710,Nederlands,remarks
166adb64-1450-5676-903d-830d914f0931,tg:lhph:48919,e73_AnnotationsImmaterial,1,adm.note,"Uit album met titel: ""Eerste jaar huwelijk","Uit album met titel: ""Eerste jaar huwelijk",Nederlands,remarks
d9ca142c-f8c8-5e28-845d-a894f50e9efa,tg:lhph:53128,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR12423,Bruikleen Vlaamse Gemeenschap - STR12423,Nederlands,remarks
1df2588a-c44a-5075-be12-71f4b1b96519,tg:lhph:52422,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR10911,Bruikleen Vlaamse Gemeenschap - STR10911,Nederlands,remarks
504d412f-511e-5e65-b234-35e446c53b35,tg:lhph:53138,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR12446,Bruikleen Vlaamse Gemeenschap - STR12446,Nederlands,remarks
edbfbcb3-4f53-5921-8f44-5b49987b4b0d,tg:lhph:52432,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR10939,Bruikleen Vlaamse Gemeenschap - STR10939,Nederlands,remarks
60302182-c947-5af9-8369-95c042505e20,tg:lhph:21807,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR12268,Bruikleen Vlaamse Gemeenschap - STR12268,Nederlands,remarks
6a19f598-15b9-59ca-9ca6-3297dfd36621,tg:lhph:52277,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR10133,Bruikleen Vlaamse Gemeenschap - STR10133,Nederlands,remarks
b17be460-2f58-5e7d-bdb8-68bd722cdaae,tg:lhph:53615,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap,Bruikleen Vlaamse Gemeenschap,Nederlands,remarks
68069faa-1c86-5e3c-9d7a-32a8b4ff5a7b,tg:lhph:52267,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR10097,Bruikleen Vlaamse Gemeenschap - STR10097,Nederlands,remarks
9767107c-6439-58cb-a663-81a5a04c205e,tg:lhph:53667,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap,Bruikleen Vlaamse Gemeenschap,Nederlands,remarks
456cccaa-6947-565b-b8da-08973f9811b8,tg:lhph:51007,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN1000190,Bruikleen Vlaamse Gemeenschap - GLN1000190,Nederlands,remarks
83d094b3-7174-58d4-8a85-48485a7cf69a,tg:lhph:52215,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - STR222,Bruikleen Vlaamse Gemeenschap - STR222,Nederlands,remarks
4385bc3f-52c0-5222-8991-db39032bae5c,tg:lhph:51017,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap - GLN000200,Bruikleen Vlaamse Gemeenschap - GLN000200,Nederlands,remarks
a3decfdd-5947-5a8f-ac73-bfd8016a1ff3,tg:lhph:53677,e73_AnnotationsImmaterial,1,adm.note,Bruikleen Vlaamse Gemeenschap,Bruikleen Vlaamse Gemeenschap,Nederlands,remarks
