ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier
f054665f-e89b-5527-b4be-e1d47a4263cb,tg:lhph:30552,Archives,1,isad:lh:95309,"dlod={""name"":""Negatieven van foto's door Marcel de Backer"",""ark"":""ark:/24970/x0/dfe27638-51b8-53e6-a620-eddd5e4f243c"",""uri"":""/repositories/11/archival_objects/176549"",""id"":""isad:lh:95309"",""nameWithContext"":[""Werkstukken"",""Foto's""],""resourceName"":""Archief van Marcel de Backer"",""resourceArk"":""ark:/24970/x0/0a3ae1ff-5eda-5bf2-a857-65be1d758ff6"",""resourceURI"":""/repositories/11/resources/2284"",""resourceID"":""isad:lh:95306"",""capacity"":""Negatieven van foto's door Marcel de Backer"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/dfe27638-51b8-53e6-a620-eddd5e4f243c
87f8effb-7485-5d82-846f-99bff333cfc0,tg:lhph:37297,Archives,1,isad:lh:95309,"dlod={""name"":""Negatieven van foto's door Marcel de Backer"",""ark"":""ark:/24970/x0/dfe27638-51b8-53e6-a620-eddd5e4f243c"",""uri"":""/repositories/11/archival_objects/176549"",""id"":""isad:lh:95309"",""nameWithContext"":[""Werkstukken"",""Foto's""],""resourceName"":""Archief van Marcel de Backer"",""resourceArk"":""ark:/24970/x0/0a3ae1ff-5eda-5bf2-a857-65be1d758ff6"",""resourceURI"":""/repositories/11/resources/2284"",""resourceID"":""isad:lh:95306"",""capacity"":""Negatieven van foto's door Marcel de Backer"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/dfe27638-51b8-53e6-a620-eddd5e4f243c
a8cb1dec-0bf6-5695-b15b-645ff687a102,tg:lhph:51041,Archives,1,isad:lh:95064,"dlod={""name"":""Foto's i.v.m. Jan van Nijlen"",""ark"":""ark:/24970/x0/ab8b4898-e3a9-5f8c-8325-80d895ed6748"",""uri"":""/repositories/11/archival_objects/194940"",""id"":""isad:lh:95064"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Jan van Nijlen"",""resourceArk"":""ark:/24970/x0/8d53a8ff-03f4-5787-9521-7a18ff41fa02"",""resourceURI"":""/repositories/11/resources/2484"",""resourceID"":""isad:lh:4847"",""capacity"":""Foto's i.v.m. Jan van Nijlen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/ab8b4898-e3a9-5f8c-8325-80d895ed6748
ff50b330-23a5-5a54-be81-c61883a518b0,tg:lhph:2833,Archives,1,isad:lh:93324,"dlod={""name"":""Foto's i.v.m. Maurice Gilliams"",""ark"":""ark:/24970/x0/67f72aaa-f291-521e-b651-f18b058591d0"",""uri"":""/repositories/11/archival_objects/311492"",""id"":""isad:lh:93324"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Maurice Gilliams"",""resourceArk"":""ark:/24970/x0/3294cf10-f1e4-5574-9cb0-0c22b1767235"",""resourceURI"":""/repositories/11/resources/3898"",""resourceID"":""isad:lh:23017"",""capacity"":""Foto's i.v.m. Maurice Gilliams"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/67f72aaa-f291-521e-b651-f18b058591d0
94fe2532-900e-5ed6-ba1f-becb3618e2da,tg:lhph:23684,Archives,1,isad:lh:93322,"dlod={""name"":""Foto's"",""ark"":""ark:/24970/x0/31baa803-b881-5a31-b110-14a40b800a8a"",""uri"":""/repositories/11/archival_objects/199831"",""id"":""isad:lh:93322"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Frans Dille"",""resourceArk"":""ark:/24970/x0/6cb3eea6-0eda-5f17-8dcd-83dc8e20f60d"",""resourceURI"":""/repositories/11/resources/2550"",""resourceID"":""isad:lh:3318"",""capacity"":""Foto's"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/31baa803-b881-5a31-b110-14a40b800a8a
05d64298-749d-55d1-aac7-937d9ecf5d20,tg:lhph:42397,Archives,1,isad:lh:95681,"dlod={""name"":""Foto's i.v.m. Robert van Passen"",""ark"":""ark:/24970/x0/f440c1e3-a7ec-55c4-82ca-98f3e2558826"",""uri"":""/repositories/11/archival_objects/168298"",""id"":""isad:lh:95681"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Robert van Passen"",""resourceArk"":""ark:/24970/x0/39dd98dc-4c13-5d75-9c3b-a2e827d7766e"",""resourceURI"":""/repositories/11/resources/2106"",""resourceID"":""isad:lh:8901"",""capacity"":""Foto's i.v.m. Robert van Passen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/f440c1e3-a7ec-55c4-82ca-98f3e2558826
c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,tg:lhph:45452,Archives,2,isad:lh:93655,"dlod={""name"":""Foto's i.v.m. Arthur Henry Cornette"",""ark"":""ark:/24970/x0/79971abf-712b-5301-bc77-db578538994b"",""uri"":""/repositories/11/archival_objects/246891"",""id"":""isad:lh:93655"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Arthur Henry Cornette"",""resourceArk"":""ark:/24970/x0/92de013b-b4d5-5230-a8b5-8a579bdd102c"",""resourceURI"":""/repositories/11/resources/3218"",""resourceID"":""isad:lh:853"",""capacity"":""Foto's i.v.m. Arthur Henry Cornette"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/79971abf-712b-5301-bc77-db578538994b
525cb592-4469-5472-a28b-915d0df4c87b,tg:lhph:729,Archives,1,isad:lh:93008,"dlod={""name"":""Foto's (verzameling)"",""ark"":""ark:/24970/x0/956a4eb6-004d-5ffb-a503-4ca0c0c8851b"",""uri"":""/repositories/11/archival_objects/310612"",""id"":""isad:lh:93008"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Joris Vriamont"",""resourceArk"":""ark:/24970/x0/7dcda460-aa03-5aa2-90ae-c2bc6fedde9d"",""resourceURI"":""/repositories/11/resources/3896"",""resourceID"":""isad:lh:6950"",""capacity"":""Foto's (verzameling)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/956a4eb6-004d-5ffb-a503-4ca0c0c8851b
4a6baaba-17fa-558f-965c-e7b475dac7c6,tg:lhph:40650,Archives,1,isad:lh:94873,"dlod={""name"":""Negatievenarchief"",""ark"":""ark:/24970/x0/721b4d59-dd7f-5831-9f2d-9d59b0bc11d4"",""uri"":""/repositories/11/archival_objects/227180"",""id"":""isad:lh:94873"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Manteau"",""resourceArk"":""ark:/24970/x0/c37b41aa-d004-5682-8c4c-75adeca22368"",""resourceURI"":""/repositories/11/resources/2923"",""resourceID"":""isad:lh:940"",""capacity"":""Negatievenarchief"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/721b4d59-dd7f-5831-9f2d-9d59b0bc11d4
37e8668f-2309-5ed4-806b-b10a19c582e7,tg:lhph:26486,Archives,1,isad:lh:94373,"dlod={""name"":""Foto's i.v.m. Clément Pardon"",""ark"":""ark:/24970/x0/b6042715-1206-545d-a664-9f6b4bfb5b84"",""uri"":""/repositories/11/archival_objects/199861"",""id"":""isad:lh:94373"",""nameWithContext"":[""Verzamelingen"",""Foto's""],""resourceName"":""Archief van Clément Pardon"",""resourceArk"":""ark:/24970/x0/ae6b3c55-3057-5869-ae5a-d575e2ec059c"",""resourceURI"":""/repositories/11/resources/2554"",""resourceID"":""isad:lh:94370"",""capacity"":""Foto's i.v.m. Clément Pardon"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b6042715-1206-545d-a664-9f6b4bfb5b84
