ResourceID,brocade.id,card,order,source_field,Legacy Information Value,Legacy Information Type,Legacy Information Published
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:1100,image low resolution,False
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:44,image low resolution,False
8386be2c-d073-50f9-b5c8-923ae1460715,tg:mpmtk:39,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:1102,image low resolution,False
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:578,image low resolution,False
b7844246-831e-5339-bb8e-494ce76fca52,tg:mpmtk:33,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:1090,image low resolution,False
7179bdd9-690d-53ab-a1bf-99848c8138b2,tg:mpmtk:36,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:1098,image low resolution,False
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:42,image low resolution,False
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:43,image low resolution,False
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,tg:mpmtk:37,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:1099,image low resolution,False
f9f1deb6-85f5-53d9-b775-253f66648d52,tg:mpmtk:35,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:1094,image low resolution,False
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_LegacyImages,1,ill.lowres,https://anet.be/docstore/d:mpmdoc:1091,image low resolution,False
