brocade.id,ResourceID,card,order,Acquisition Note,Registration Number value,Archive Note,Location Number,adm.note,Serial Number,Warehouse Location (begin),Warehouse Location (ende),adm.note.language,adm.note.type
tg:lhph:30552,f054665f-e89b-5527-b4be-e1d47a4263cb,Items,1,tr:lh:9510,218458/312,isad:lh:95309,B 1183 / P (NEG0029/4/10),,,,,Nederlands,remarks
tg:lhph:37297,87f8effb-7485-5d82-846f-99bff333cfc0,Items,1,tr:lh:9510,218458/2113,isad:lh:95309,B 1183 / P (NEG00231/3/2),,,,,Nederlands,remarks
tg:lhph:3721,8552fda5-f4c2-5a7e-8227-3626a972e7c1,Items,1,tr:lh:2563,50590/7,,Z 317 / P,,,,,Nederlands,remarks
tg:lhph:51041,a8cb1dec-0bf6-5695-b15b-645ff687a102,Items,1,tr:lh:139982,221465/11,isad:lh:95064,N 4935 / P,,,,,Nederlands,remarks
tg:lhph:2833,ff50b330-23a5-5a54-be81-c61883a518b0,Items,1,tr:lh:6603,163141/830,isad:lh:93324,G 395 / P,,,,,Nederlands,remarks
tg:lhph:29289,bfc0ee81-10b3-54bd-8ca4-61147179c437,Items,1,tr:lh:4066,77910/3,,R 22 / P,,,,,Nederlands,remarks
tg:lhph:23684,94fe2532-900e-5ed6-ba1f-becb3618e2da,Items,1,tr:lh:7009,176412/9,isad:lh:93322,I 5578815 / P,,,,,Nederlands,remarks
tg:lhph:24141,f90accfd-a381-51aa-a1d4-83618b68b83f,Items,1,tr:lh:467,9197,,V 15531 / P,,,,,Nederlands,remarks
tg:lhph:42397,05d64298-749d-55d1-aac7-937d9ecf5d20,Items,1,tr:lh:210,3556/1,isad:lh:95681,P 205 / P,,,,,Nederlands,remarks
tg:lhph:13232,4c4c99a5-d95e-5ec7-92c2-8931ced9578a,Items,1,,33583/71,,B 9746 / P,,,,,Nederlands,remarks
tg:lhph:45452,c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,Items,1,,27381/124,,D 3155 / P,,,,,Nederlands,remarks
tg:lhph:45452,c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,Items,2,tr:lh:1892,33651/3,isad:lh:93655,D 3155 / P,,,,,Nederlands,remarks
tg:lhph:22996,f38c9cdd-2aff-5406-a5fb-831ee705ab9b,Items,1,tr:lh:5113,101045/129,,N 135 / P,,,,,Nederlands,remarks
tg:lhph:38162,2a644055-3257-5800-85cb-54a393c05a4f,Items,1,tr:lh:6376,148920/19d,,M 198 / P (A),,,,,Nederlands,remarks
tg:lhph:47195,65e19c5f-74bd-564c-a680-7a88e1099b2d,Items,1,,221360,,M 284 / P (GF),,,,,Nederlands,remarks
tg:lhph:729,525cb592-4469-5472-a28b-915d0df4c87b,Items,1,tr:lh:6016,133000/10,isad:lh:93008,B 917 / P,,,,,Nederlands,remarks
tg:lhph:16030,2797e9e0-bec9-5b57-a6f8-e2b7a91c5d61,Items,1,tr:lh:7176,179027,,R 767 / P,,,,,Nederlands,remarks
tg:lhph:40650,4a6baaba-17fa-558f-965c-e7b475dac7c6,Items,1,tr:lh:7859,203626/2541,isad:lh:94873,M 224 / P (NEG0084/4/27),,,,,Nederlands,remarks
tg:lhph:38498,e8d3e385-f479-5b92-bf4a-b97898fa3ff1,Items,1,tr:lh:1497,27320/18,,B 4982 / P,,,,,Nederlands,remarks
tg:lhph:41942,97d26865-82f1-5053-8403-0e505e73c673,Items,1,tr:lh:3899,74480/1,,W 7035 / P,,,,,Nederlands,remarks
tg:lhph:26486,37e8668f-2309-5ed4-806b-b10a19c582e7,Items,1,tr:lh:7775,201344/5,isad:lh:94373,P 1835 / P,,,,,Nederlands,remarks
tg:lhph:21343,8978b3d2-be52-55ac-ac4c-9d80011fefc1,Items,1,tr:lh:7314,203647/48,isad:lh:92943,FVCA / P (Derden),,,,,Nederlands,remarks
tg:lhph:29773,6e266dd2-fa2a-52eb-9ac8-0529eb50a2ed,Items,1,tr:lh:7142,178458/8,isad:lh:93773,G 9435 / P (iv-v),,,,,Nederlands,remarks
tg:lhph:53586,fb79167a-c5de-5918-9e71-25755e3a8b08,Items,1,tr:lh:139964,,isad:lh:175416,,Bruikleen Vlaamse Gemeenschap,,,,Nederlands,remarks
