Object Number,Record Type,URL,ResourceID,Reference Number,Keeper,Object Identifier,Record ID Type,Object Number Type,URL Type,Object Identifier Type,Reference Number Type,order,card
tg:lhph:30552,Foto's,https://anet.be/record/opaclhobj/tg:lhph:30552/N,f054665f-e89b-5527-b4be-e1d47a4263cb,BE-ANN07/ph/000029468,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f054665f-e89b-5527-b4be-e1d47a4263cb,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:37297,Foto's,https://anet.be/record/opaclhobj/tg:lhph:37297/N,87f8effb-7485-5d82-846f-99bff333cfc0,BE-ANN07/ph/000036079,Letterenhuis,https://data.letterenhuis.be/ark:/24970/87f8effb-7485-5d82-846f-99bff333cfc0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:3721,Foto's,https://anet.be/record/opaclhobj/tg:lhph:3721/N,8552fda5-f4c2-5a7e-8227-3626a972e7c1,BE-ANN07/ph/000003468,Letterenhuis,https://data.letterenhuis.be/ark:/24970/8552fda5-f4c2-5a7e-8227-3626a972e7c1,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:51041,Foto's,https://anet.be/record/opaclhobj/tg:lhph:51041/N,a8cb1dec-0bf6-5695-b15b-645ff687a102,BE-ANN07/ph/000049210,Letterenhuis,https://data.letterenhuis.be/ark:/24970/a8cb1dec-0bf6-5695-b15b-645ff687a102,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:2833,Foto's,https://anet.be/record/opaclhobj/tg:lhph:2833/N,ff50b330-23a5-5a54-be81-c61883a518b0,BE-ANN07/ph/000002622,Letterenhuis,https://data.letterenhuis.be/ark:/24970/ff50b330-23a5-5a54-be81-c61883a518b0,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:29289,Foto's,https://anet.be/record/opaclhobj/tg:lhph:29289/N,bfc0ee81-10b3-54bd-8ca4-61147179c437,BE-ANN07/ph/000028215,Letterenhuis,https://data.letterenhuis.be/ark:/24970/bfc0ee81-10b3-54bd-8ca4-61147179c437,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:23684,Foto's,https://anet.be/record/opaclhobj/tg:lhph:23684/N,94fe2532-900e-5ed6-ba1f-becb3618e2da,BE-ANN07/ph/000022652,Letterenhuis,https://data.letterenhuis.be/ark:/24970/94fe2532-900e-5ed6-ba1f-becb3618e2da,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:24141,Foto's,https://anet.be/record/opaclhobj/tg:lhph:24141/N,f90accfd-a381-51aa-a1d4-83618b68b83f,BE-ANN07/ph/000023106,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f90accfd-a381-51aa-a1d4-83618b68b83f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:42397,Foto's,https://anet.be/record/opaclhobj/tg:lhph:42397/N,05d64298-749d-55d1-aac7-937d9ecf5d20,BE-ANN07/ph/000041111,Letterenhuis,https://data.letterenhuis.be/ark:/24970/05d64298-749d-55d1-aac7-937d9ecf5d20,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:13232,Foto's,https://anet.be/record/opaclhobj/tg:lhph:13232/N,4c4c99a5-d95e-5ec7-92c2-8931ced9578a,BE-ANN07/ph/000012521,Letterenhuis,https://data.letterenhuis.be/ark:/24970/4c4c99a5-d95e-5ec7-92c2-8931ced9578a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:45452,Foto's,https://anet.be/record/opaclhobj/tg:lhph:45452/N,c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,BE-ANN07/ph/000043904,Letterenhuis,https://data.letterenhuis.be/ark:/24970/c9f0c3b6-c6d2-523c-ad8e-eed3a791e11a,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:22996,Foto's,https://anet.be/record/opaclhobj/tg:lhph:22996/N,f38c9cdd-2aff-5406-a5fb-831ee705ab9b,BE-ANN07/ph/000022004,Letterenhuis,https://data.letterenhuis.be/ark:/24970/f38c9cdd-2aff-5406-a5fb-831ee705ab9b,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
tg:lhph:38162,Foto's,https://anet.be/record/opaclhobj/tg:lhph:38162/N,2a644055-3257-5800-85cb-54a393c05a4f,BE-ANN07/ph/000036937,Letterenhuis,https://data.letterenhuis.be/ark:/24970/2a644055-3257-5800-85cb-54a393c05a4f,record identifiers,repository numbers,uniform resource locators,object identifier,referentienummer,0,AA
