ResourceID,brocade.id,card,order,External Relation,External Relation URL,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type
7179bdd9-690d-53ab-a1bf-99848c8138b2,tg:mpmtk:36,ExternalRelations,1,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:517673,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,tg:mpmtk:37,ExternalRelations,1,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:517673,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:3150577,zie verder bibliotheekcatalogus Museum Plantin Moretus,p. 266-268,Nederlands,remarks
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:239025,zie verder bibliotheekcatalogus Museum Plantin Moretus,"nr. 73a, p. 303-305",Nederlands,remarks
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,ExternalRelations,2,gerelateerde publicatie,tg:mpmkp:48,Verwijzing naar MPM objectbeschrijvingen,,,
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:389068,zie verder bibliotheekcatalogus Museum Plantin Moretus,titelpagina vol. 2-4,Nederlands,remarks
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:239025,zie verder bibliotheekcatalogus Museum Plantin Moretus,"nr. 73a, p. 270-271",Nederlands,remarks
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,ExternalRelations,2,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:494695,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:6157678,zie verder bibliotheekcatalogus Museum Plantin Moretus,TEK 591 / Cat. 151,Nederlands,remarks
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,ExternalRelations,2,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:1276,zie verder bibliotheekcatalogus Museum Plantin Moretus,GVd 25,Nederlands,remarks
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,ExternalRelations,3,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:1096796,zie verder bibliotheekcatalogus Museum Plantin Moretus,nr. 95,Nederlands,remarks
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,ExternalRelations,4,online catalogs,207765,Link naar record in search.museumplantinmoretus.be,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,ExternalRelations,1,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:495262,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:839899,zie verder bibliotheekcatalogus Museum Plantin Moretus,p. 346,Nederlands,remarks
b7844246-831e-5339-bb8e-494ce76fca52,tg:mpmtk:33,ExternalRelations,1,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:371295,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,ExternalRelations,1,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:632549,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,tg:mpmtk:22,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:839899,zie verder bibliotheekcatalogus Museum Plantin Moretus,p. 170,Nederlands,remarks
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,tg:mpmtk:15,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:6157678,zie verder bibliotheekcatalogus Museum Plantin Moretus,TEK 596/6 - Cat. 179/6,Nederlands,remarks
8386be2c-d073-50f9-b5c8-923ae1460715,tg:mpmtk:39,ExternalRelations,1,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:268004,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:13136549,Publicaties in de Anet catalogus,,,
b352a12a-d714-52f2-894d-3f3bd5481d42,tg:mpmtk:23,ExternalRelations,1,gerelateerde publicatie,https://anet.be/record/mpm/opacmpm/c:lvd:839899,zie verder bibliotheekcatalogus Museum Plantin Moretus,p. 24,Nederlands,remarks
f9f1deb6-85f5-53d9-b775-253f66648d52,tg:mpmtk:35,ExternalRelations,1,ontwerp voor,https://anet.be/record/mpm/opacmpm/c:lvd:641973,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,
