ResourceID,brocade.id,card,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit
7179bdd9-690d-53ab-a1bf-99848c8138b2,tg:mpmtk:36,Dimensions,kenmerken.mpmformattk,290,hoogte,millimeter
7179bdd9-690d-53ab-a1bf-99848c8138b2,tg:mpmtk:36,Dimensions,kenmerken.mpmformattk,180,breedte,millimeter
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,tg:mpmtk:37,Dimensions,kenmerken.mpmformattk,265,hoogte,millimeter
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,tg:mpmtk:37,Dimensions,kenmerken.mpmformattk,205,breedte,millimeter
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,Dimensions,kenmerken.mpmformattk,257,hoogte,millimeter
e675c9d2-e8d6-52ab-b8d6-3fa65626c2ee,tg:mpmtk:21,Dimensions,kenmerken.mpmformattk,167,breedte,millimeter
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,Dimensions,kenmerken.mpmformattk,309,hoogte,millimeter
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,Dimensions,kenmerken.mpmformattk,201,breedte,millimeter
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,Dimensions,kenmerken.mpmformattk,200,hoogte,millimeter
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,Dimensions,kenmerken.mpmformattk,280,breedte,millimeter
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,Dimensions,kenmerken.mpmformattk,120,hoogte,millimeter
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,Dimensions,kenmerken.mpmformattk,170,breedte,millimeter
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,Dimensions,kenmerken.mpmformattk,195,hoogte,millimeter
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,Dimensions,kenmerken.mpmformattk,290,breedte,millimeter
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,Dimensions,kenmerken.mpmformattk,213,hoogte,millimeter
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,Dimensions,kenmerken.mpmformattk,153,breedte,millimeter
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,Dimensions,kenmerken.mpmformattk,180,hoogte,millimeter
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,Dimensions,kenmerken.mpmformattk,130,breedte,millimeter
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,Dimensions,kenmerken.mpmformattk,127,hoogte,millimeter
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,Dimensions,kenmerken.mpmformattk,77,breedte,millimeter
b7844246-831e-5339-bb8e-494ce76fca52,tg:mpmtk:33,Dimensions,kenmerken.mpmformattk,110,hoogte,millimeter
b7844246-831e-5339-bb8e-494ce76fca52,tg:mpmtk:33,Dimensions,kenmerken.mpmformattk,65,breedte,millimeter
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,Dimensions,kenmerken.mpmformattk,224,hoogte,millimeter
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,Dimensions,kenmerken.mpmformattk,156,breedte,millimeter
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,Dimensions,kenmerken.mpmformattk,110,hoogte,millimeter
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,Dimensions,kenmerken.mpmformattk,65,breedte,millimeter
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,tg:mpmtk:22,Dimensions,kenmerken.mpmformattk,127,hoogte,millimeter
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,tg:mpmtk:22,Dimensions,kenmerken.mpmformattk,77,breedte,millimeter
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,tg:mpmtk:15,Dimensions,kenmerken.mpmformattk,213,hoogte,millimeter
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,tg:mpmtk:15,Dimensions,kenmerken.mpmformattk,341,breedte,millimeter
8386be2c-d073-50f9-b5c8-923ae1460715,tg:mpmtk:39,Dimensions,kenmerken.mpmformattk,180,hoogte,millimeter
8386be2c-d073-50f9-b5c8-923ae1460715,tg:mpmtk:39,Dimensions,kenmerken.mpmformattk,140,breedte,millimeter
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,Dimensions,kenmerken.mpmformattk,175,hoogte,millimeter
f2a88090-8fa8-59c3-a946-6065c95ecdcb,tg:mpmtk:19,Dimensions,kenmerken.mpmformattk,229,breedte,millimeter
b352a12a-d714-52f2-894d-3f3bd5481d42,tg:mpmtk:23,Dimensions,kenmerken.mpmformattk,127,hoogte,millimeter
b352a12a-d714-52f2-894d-3f3bd5481d42,tg:mpmtk:23,Dimensions,kenmerken.mpmformattk,70,breedte,millimeter
f9f1deb6-85f5-53d9-b775-253f66648d52,tg:mpmtk:35,Dimensions,kenmerken.mpmformattk,290,hoogte,millimeter
f9f1deb6-85f5-53d9-b775-253f66648d52,tg:mpmtk:35,Dimensions,kenmerken.mpmformattk,185,breedte,millimeter
