ResourceID,brocade.id,card,order,Colour
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,tg:mpmtk:26,Colours,1,brown (color)
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,Colours,1,brown (color)
92b6bc82-97d3-511b-b41e-09c0ea48083e,tg:mpmtk:31,Colours,1,brown (color)
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,tg:mpmtk:27,Colours,1,brown (color)
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,Colours,1,brown (color)
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,Colours,1,brown (color)
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,Colours,1,sepia (color)
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,Colours,1,brown (color)
ac9d2a5c-033f-511c-a651-d32fc8b9cb89,tg:mpmtk:22,Colours,1,sepia (color)
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,tg:mpmtk:15,Colours,1,brown (color)
8386be2c-d073-50f9-b5c8-923ae1460715,tg:mpmtk:39,Colours,1,brown (color)
b352a12a-d714-52f2-894d-3f3bd5481d42,tg:mpmtk:23,Colours,1,sepia (color)
