ResourceID,brocade.id,card,order,note,Annotation,Annotation Type,Annotation Language
44e552c6-c31f-5bd1-99c9-0b205cec829e,tg:lhob:656,Annotations,2,note.lhalg,ED. GRIELENS.,Algemeen,
ec713338-1901-5c95-a827-fe2fdffe9b37,tg:lhob:705,Annotations,1,note.lhalg,"Scène met enkele figuren in een buitengalerij. Glasplaat gemonteerd in een houten frame. 
Het houten frame met voet heeft de afmetingen 21,5 x 13,6 cm.


",Algemeen,Nederlands
049e8351-8b2c-5cca-903f-ea20425ad2aa,tg:lhob:508,Annotations,1,note.lhalg,Houtblok voor afdruk van exlibris van au::5711.,Algemeen,Nederlands
6b25a3a8-b8c0-5231-b439-de5ca1494eba,tg:lhob:704,Annotations,1,note.lhalg,"Scène met man in nachtkleed en kat. Schuifplaat gemonteerd in een houten frame. 
Het houten frame met voet heeft de afmetingen 25 x 11,5 cm.

",Algemeen,Nederlands
6331e3ce-4997-552b-8d9a-bd41b6fdf8a3,tg:lhob:712,Annotations,1,note.lhalg,Schrijfmachine in koffer,Algemeen,Nederlands
0f9ab033-daa7-5a85-9e4f-5810c8c3756c,tg:lhob:513,Annotations,2,note.lhalg,Ex libris voor Frans Dille.,Algemeen,
2357f3bd-b04c-56e2-9590-1601a2d0c2cf,tg:lhob:282,Annotations,1,note.lhalg,In drie losse delen. Eén verbinding werd reeds verstevigd met plakband maar komt opnieuw los.,Algemeen,Nederlands
261373ab-9582-5215-8c8f-5ddc774996bc,tg:lhob:514,Annotations,1,note.lhalg,"*Wortel* uit verzameling 'Wortels', 2e reeks, 5 zwart-wit etsen met originele penseeltekeningen.

- geproduceerd onder andere op prospectus tentoonstelling van Frans Dille in Patati, Vlassenbroek (Dendermonde, 1967).",Algemeen,Nederlands
ce038521-d455-5879-b25d-78618c348e39,tg:lhob:703,Annotations,1,note.lhalg,"Kerkhofscène met glasramen, klok en skeletten. Enkelvoudige geschilderde schuifplaat gemonteerd in een houten frame. Op het frame werd in potlood ‘Cimetière N° 2’ geschreven. 
Afmetingen glasplaat: 7,2 x 7  cm
Het houten frame met voet heeft de afmetingen 22,8 x 13 cm.

",Algemeen,Nederlands
36e94dc1-bef1-545b-81e5-8d4f46947634,tg:lhob:702,Annotations,1,note.lhalg,"Kerkhofscène. Enkelvoudige geschilderde hefboomplaat. De hefboom ontbreekt. Op het frame werd in potlood ‘Cimetière’ geschreven. Een van de glasplaten is gebarsten
Diameter glasplaat: 9 cm
Het houten frame met voet heeft de afmetingen 22,3 x 13 cm.
",Algemeen,Nederlands
86d860c1-a438-58fe-9372-451f72f450ff,tg:lhob:688,Annotations,2,note.lhalg,"Heremans, J.",Algemeen,
0847d133-0ada-5261-bee0-1f179bc0f263,tg:lhob:516,Annotations,3,note.lhalg,"De derde Koninklijke Beker Landjuweel kwam in 1929 in het bezit van de vereniging 'De Kunstvrienden' dankzij twee opeenvolgende overwinningen. Gustaaf Tits, acteur in verschillende toneelverenigingen en zoon van Guillaume Tits die jarenlang betrokken was bij de Borgerhoutse vereniging, ontving de beker toen 'De Kunstvrienden' ophield te bestaan.",Algemeen,
b07fea49-9c66-5452-82d8-fa8ae8753072,tg:lhob:687,Annotations,2,note.lhalg,"Pomonis, G.",Algemeen,
1c70cb59-17bd-520b-ab0e-5aee93e5e48a,tg:lhob:603,Annotations,2,note.lhalg,CARL DE COCK & FISCH,Algemeen,
5ed045c7-9197-587a-8b83-a9fc7c64bf51,tg:lhob:414,Annotations,2,note.lhalg,Antwerpen (Wereldoorlog I),Algemeen,
307f6465-e953-5eaf-9fa3-ba9ee9e2d5c6,tg:lhob:511,Annotations,1,note.lhalg,Ex libris voor Vogelina Lobe (1931).,Algemeen,Nederlands
cf8d332e-0a5d-549f-b5b1-0cc78da2487d,tg:lhob:507,Annotations,1,note.lhalg,"Houtblok voor druk van exlibris van au::5711.

",Algemeen,Nederlands
39db8cd6-f2b9-56b7-9799-37bb42b8cd9e,tg:lhob:655,Annotations,2,note.lhalg,ED. GRIELENS.,Algemeen,
1906ee6d-eb81-5292-bc07-6bc13cd7780d,tg:lhsc:9402,Annotations,2,note.lhherkomst,Oningeschreven gevonden,Herkomst,
30d5beb5-d97e-5113-9ef4-c93ee48fe2a4,tg:lhsc:1618,Annotations,3,note.lhherkomst,Schenking van museum Sterckshof 9/09/2003.,Herkomst,Nederlands
9ec48475-dc2c-5560-91cd-a805973fb943,tg:lhsc:787,Annotations,3,note.lhherkomst,Samen met tien andere beelden in 1935 aangekocht van Lode Severeyns,Herkomst,Nederlands
b7f2caf3-61ca-5ff6-aeb6-ba624f2d1f9a,tg:lhsc:441,Annotations,4,note.lhherkomst,"Geschenk Blanca De Ceulaer-Apers, Kessel, 24.11.1999",Herkomst,Nederlands
3d901fed-7929-52c6-946f-3713c156d696,tg:lhsc:912,Annotations,2,note.lhherkomst,Geschonken door A.H. Cornette op 17 maart 1936,Herkomst,Nederlands
