ResourceID,card,order,Signature Note,Signature Note Type,Signature Note  Language
ab69a3bf-86ff-5650-895c-5337902b75cd,Inscriptions,2,"Mazy, M. / Mauquoy.",Signatuur,Nederlands
d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,Inscriptions,2,I.,Signatuur,Nederlands
6568f72d-9329-5ca8-affd-da8775f9b2ca,Inscriptions,2,J. STIENON.,Signatuur,Nederlands
7d7fefa8-3307-51de-a7ac-da11e4248928,Inscriptions,2,E VD LINDEN VR.,Signatuur,Nederlands
049e8351-8b2c-5cca-903f-ea20425ad2aa,Inscriptions,2,*Ex Libris / trouw / doort / leven / Vogelina Dille-Lobe*,Signatuur,Nederlands
a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,Inscriptions,1,"Opschrift in potlood deels onleesbaar: """"Geschenk / van Tokkie / ... / ... / uitvoering / Rubenscantate / Dierentuin."""" 
  
",Signatuur,Nederlands
2eae7de6-e530-56a3-acf9-d6e9b56384d3,Inscriptions,2,"Willekens, I.",Signatuur,Nederlands
f23cbd96-2b7d-5902-8a8e-1491530ffb68,Inscriptions,2,"Le Roy, H.",Signatuur,Nederlands
686aaaeb-90ba-5ddb-88fe-f13ac964755c,Inscriptions,2,M. VERMEIREN.,Signatuur,Nederlands
52ee1d6d-2804-50d3-bfd3-61042162ed3c,Inscriptions,3,Getekend Felix Timmermans in rode inkt + monogram F.T.,Signatuur,Nederlands
c7135e38-584c-5a54-8836-5433378b28ad,Inscriptions,2,M. VERMEIREN,Signatuur,Nederlands
6b25ae3c-1a1a-59a4-a776-a24cd0f9e1e6,Inscriptions,2,CANALE,Signatuur,Nederlands
d6ddc6e0-bdbd-5df8-92e4-9f59bd1f9bb1,Inscriptions,2,JOUVENEL,Signatuur,Nederlands
6168c962-3e49-5cc3-bc28-25b3366a6315,Inscriptions,2,Lemaire,Signatuur,Nederlands
ae4ddc15-90b6-5216-9c39-47a4d69fee0d,Inscriptions,2,PANHUYZEN.,Signatuur,Nederlands
0a65641d-3a81-502e-9c8b-d93c471274ed,Inscriptions,2,Heremans J.,Signatuur,Nederlands
6ff7a84d-0bc7-58a3-bd6c-db8914a0b969,Inscriptions,2,L. DUPUIS FECIT.,Signatuur,Nederlands
