brocade.id,ResourceID,card,order,Comment,UserID,Legacy Comment Type
tg:lhsc:683,76d1d594-7daa-5788-b714-b5e906c49376,Users,1,"Ria Beckers noteerde in 1979 dat de datum 1937 op het beeld staat, maar het is onduidelijk waar.",usystem,Commentaar gebruiker
tg:lhsc:6935,4581f726-f3be-55e0-9df3-a7421168cf88,Users,1,ICONOGRAFIE/6935i.tif,usystem,Commentaar gebruiker
tg:lhsc:791,544acddc-3fe4-5e0d-b9d3-5229b7329e99,Users,1,"In bruikleen voor de tentoonstelling: """"Made in Belgium"""" in het Dexia Center of Art, Schildknaapstraat 50 te 1000 Brussel. Van 7 maart tot 15 september 2005. Afgehaald op 09/02/2005. Het bruikleen werd verlengd tot maart 2006. Terug op 15/03/2006.",usystem,Commentaar gebruiker
tg:lhsc:1198,67c5f24b-ffab-5b5d-82d4-1c9e129a3fa8,Users,1,Gefotografeerd voor beeldbank musea.,usystem,Commentaar gebruiker
tg:lhsc:457,1609b2cf-5d7d-50bc-ab15-5385e12df4b2,Users,1,"HIRES\Rodenbach-A\blauwvoet01.tif, blauwvoet02.tif<br>Gefotografeerd voor beeldbank musea.",jcornilly,Commentaar gebruiker
tg:lhsc:1618,30d5beb5-d97e-5113-9ef4-c93ee48fe2a4,Users,1,HIRES023\Plaketten\plak05.tif,usystem,Commentaar gebruiker
tg:lhsc:5749,0a58669d-1ba2-52ac-9f85-7ad38b554934,Users,1,Een bijkomende voorwaarde van de schenker is dat bij het tentoonstellen volgende tekst vermeld wordt: Afkomstig uit het patrimonium van de vroegere gemeente Berchem.,usystem,Commentaar gebruiker
tg:lhsc:660,c13afe10-7532-593f-95c4-cfc653be71ae,Users,1,"Gift Constant de Kinder, 28 augustus 1943",usystem,Commentaar gebruiker
tg:lhsc:949,316fc5d3-8a6d-5fd3-bf20-ba48dac12a8a,Users,1,"Vermoedelijk een enig exemplaar.
",jvhecke,Commentaar gebruiker
tg:lhsc:5745,da6a8a09-1549-53d6-aa43-1129a453d599,Users,1,Een bijkomende voorwaarde van de schenker is dat bij het tentoonstellen volgende tekst vermeld wordt: Afkomstig uit het patrimonium van de vroegere gemeente Berchem.,usystem,Commentaar gebruiker
tg:lhsc:1156,93b1ea5d-ae08-5399-91da-d5bcbdc38854,Users,1,Een foto van dit beeld:<br><b>Inschrijvingsnummer: </b>53886/16 <br><b>Magazijnplaats:</b> D206/P,usystem,Commentaar gebruiker
tg:lhsc:972,97266e1b-adb6-5c69-8066-a61deb75a2ed,Users,1,"In bruikleen door het Volkskundemuseum voor de tentoonstelling """"Het interessante volk. Van Max Elskamp tot Museum aan de Stroom: 100 jaar het dagelijks leven verzameld"""" van 31 maart tot 19 augustus 2007. Afgehaald door TT BB op: 28/02/2007. Teruggebracht op 27/08/2007.",usystem,Commentaar gebruiker
tg:lhsc:1101,6ed0ae9c-393d-53c3-9656-eec673708808,Users,1,"In bruikleen bij v.z.w. Albert van Dijck n.a.v. de tentoonstelling """"Mane de Bom"""" in het gemeentehuis te Schilde, van 18/03/2004 t.e.m. 11 /04/2004. Terug op: 26/04/2004. ",usystem,Commentaar gebruiker
tg:lhsc:1052,f9a3c51d-4905-5af5-bd48-0bed3ab7def8,Users,1,"ICONOGRAFIE\1052i.tif
",usystem,Commentaar gebruiker
tg:lhsc:1140,56384416-34f9-5bf3-a1a2-5095ec2f8671,Users,1,"In bruikleen door het Volkskundemuseum voor de tentoonstelling """"Het interessante volk. Van Max Elskamp tot Museum aan de Stroom: 100 jaar het dagelijks leven verzameld"""" van 31 maart tot 19 augustus 2007. Afgehaald door TT BB op: 28/02/2007. Teruggebracht op 27/08/2007.",usystem,Commentaar gebruiker
tg:lhsc:765,e4917e05-f18e-55a3-b5e8-232938a7cbf5,Users,1,In bruikleen vanaf 23/03/2004 n.a.v. de tentoonstelling: 500 jaar Vleeshuis in het Vleeshuis van 2 april tot 24 oktober 2004. teruggebracht op 26/10/2004.,usystem,Commentaar gebruiker
tg:lhsc:1204,79d07b57-4d21-571b-9d86-9721756d96ce,Users,1,In bruikleen vanaf 23/03/2004 n.a.v. de tentoonstelling: 500 jaar Vleeshuis in het Vleeshuis van 2 april tot 24 oktober 2004. Teruggebracht op 27/10/2004.,jvhecke,Commentaar gebruiker
tg:lhsc:1984,b1660be2-fee1-58a4-9d08-a350791feba7,Users,1,Verzekeringswaarde: 3000 <br>HIRES023\Straten-Hvan\pop4.tif,usystem,Commentaar gebruiker
tg:lhsc:1623,29ed7968-5a51-5914-9dfd-87c1a64f5449,Users,1,HIRES023\Plaketten\plak01.tif,usystem,Commentaar gebruiker
