ResourceID,card,order,Title,Title Type,Title Language
bd7ce636-cc81-583e-a78c-3b8f0752a379,Titles,1,Commandeur in de Orde van Isabella de Katholieke (Orden de Isabel la Católica),Titel,Nederlands
5a61ea94-31bc-52dd-a755-d066d29d47b9,Titles,1,Medaillon met een haarlok van Jan van Ryswyck,Titel,Nederlands
bd6a24a7-aded-52a3-b50c-56afca72e232,Titles,1,Haarlok van Karel Lodewijk Ledeganck,Titel,Nederlands
ab42045f-6e40-5c85-9079-435c3680d52a,Titles,1,Potje van Roger Avermaete,Titel,Nederlands
cd2daffa-e245-5210-a2df-5e8d206c2148,Titles,1,Onderscheiding van de 'NOBELE ORDE van de PAPEGAY',Titel,Nederlands
10ca59b0-91e3-567e-998d-80535d66fd46,Titles,1,Oorbellen van Charel Janssens,Titel,Nederlands
d0040669-e75c-5a8b-871b-f280d696ae37,Titles,1,Pijp van Willem Benoy,Titel,Nederlands
10478800-d203-5ea2-95a8-f28860cc5b30,Titles,1,Stempels van Basiel De Craene,Titel,Nederlands
bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,Titles,1,Pijp,Titel,Nederlands
5ebb0f3c-cace-5b57-9dc3-cf73efb31735,Titles,1,Bril van Piet en Charel Janssens,Titel,Nederlands
8e3b6e00-2a8c-5128-8fb0-f42e519e1290,Titles,1,"Gelegenheidspenning Groote Zangwedstrijd Amsterdam, 1876",Titel,Nederlands
06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,Titles,1,Stempel Lyrisch Tooneel Zangcomiteit Antwerpen,Titel,Nederlands
2c34ea20-351b-5681-8156-6799501d4711,Titles,1,Bril van Charel Janssens,Titel,Nederlands
b5714f50-9ce1-55a7-a857-8d0d261f8701,Titles,1,"Gelegenheidspenning Openingsschieting De Edele Schuttersgilde 'Den Gulden Rinck', 1968",Titel,Nederlands
0e3c664a-3014-5589-93a4-614dc7ed5327,Titles,1,Schrapper van Emanuel Hiel,Titel,Nederlands
5cf6fb19-8a38-5706-90ee-85f1a946e015,Titles,1,"Gedenkpenning Inhuldiging Scheldetunnels, 1933",Titel,Nederlands
ab69a3bf-86ff-5650-895c-5337902b75cd,Titles,1,"Herdenkingspenning 150 jaar Stedelijk Onderwijs Antwerpen, 1969",Titel,Nederlands
