ResourceID,brocade.id,card,order,Production Actor Identifier,Production Actor ID,Production Actor Name,Production Actor Role,Production Actor Capacity
5cf6fb19-8a38-5706-90ee-85f1a946e015,tg:lhob:416,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/77f06544-2bcb-5f05-b567-b13f47b08d2c'},au::15700,Philo van Riel,Ontwerper,
ab69a3bf-86ff-5650-895c-5337902b75cd,tg:lhob:601,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/54f5ea24-3581-5ca8-8b46-ef06cfab4c4c'},au::12400,Marcel Mazy,Ontwerper,
049e8351-8b2c-5cca-903f-ea20425ad2aa,tg:lhob:508,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/9df7caac-2ec5-579b-bac0-ab9d9061402c'},au::5708,Frans Dille,Kunstenaar,
a008a896-b7c3-5d2f-ad98-597ad3ab33b1,tg:lhob:436,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/c407f65b-4bfd-57cb-95bb-4c25a663a5d4'},au::38208,Onbekend(en),Ontwerper,
777e9212-d7a9-5501-8978-fd54e7f26c95,tg:lhob:420,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/c407f65b-4bfd-57cb-95bb-4c25a663a5d4'},au::38208,Onbekend(en),Ontwerper,
c7135e38-584c-5a54-8836-5433378b28ad,tg:lhob:532,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/f99c977c-df97-5fa8-aaf9-47756abb9390'},au::112021:1,A 37.90.89,Ontwerper,au::112021:1
a65025e9-9d49-5cc7-8251-2302516bbdaa,tg:lhob:421,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/c407f65b-4bfd-57cb-95bb-4c25a663a5d4'},au::38208,Onbekend(en),Ontwerper,
039e2f17-f200-5204-b703-688251042d88,tg:lhob:437,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/864776bf-f7a4-5d63-a300-b8c7a7bcc24a'},au::2330,Armand Bonnetain,Ontwerper,
d7bb3ac7-a800-5e75-966b-4303219d8fca,tg:lhob:591,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/e3e2c546-0f44-5681-b9e8-12a5c5f6edfc'},au::6036,Josuë Dupon,Ontwerper,
04771dcb-2029-567a-a786-c76208457897,tg:lhob:529,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/ddff899d-74a9-5317-b2b3-21c260366d86'},au::14923,Emile Poetou,Ontwerper,
2acbdd19-0ecf-5e7c-8ba8-98a18c399fe7,tg:lhob:417,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/c407f65b-4bfd-57cb-95bb-4c25a663a5d4'},au::38208,Onbekend(en),Ontwerper,
0f9ab033-daa7-5a85-9e4f-5810c8c3756c,tg:lhob:513,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/9df7caac-2ec5-579b-bac0-ab9d9061402c'},au::5708,Frans Dille,Kunstenaar,
50993c04-09db-5aab-91fe-138756c6a126,tg:lhob:631,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/a58239a2-b9fb-5b4f-aeb7-0677af892a92'},au::9735,Frans Jochems,Ontwerper,
6bebcd9a-a2ef-5ba1-b466-c0d1a046a5c1,tg:lhob:534,ProductionActors,2,{'url':'data.antwerpen.be/ark:/83110/892ea460-2931-586b-b3fb-76436ea5d49a'},au::49754:1,A 37.90.89,Ontwerper,au::49754:1
261373ab-9582-5215-8c8f-5ddc774996bc,tg:lhob:514,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/9df7caac-2ec5-579b-bac0-ab9d9061402c'},au::5708,Frans Dille,Kunstenaar,
5b74bf46-a5bd-570c-b293-ea25f2f17da1,tg:lhob:447,ProductionActors,2,{'url':'data.antwerpen.be/ark:/83110/b14227ae-7f37-5207-b978-9c45d419a8e0'},au::14914,Albert Poels,Ontwerper,
07771e20-2b34-58a3-97e8-8ba0aa3b5669,tg:lhob:26,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/d0a75f26-672e-57f5-ad13-5be655d34a02'},au::21346,Leopold Wiener,Kunstenaar,
f2b0a9b7-511d-52a9-bade-292ffd26a505,tg:lhob:579,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/4d68059c-879e-5987-98c2-4125bc777516'},au::6034,Arthur Dupon,Ontwerper,
ca513b40-9410-5598-9890-922187921ccd,tg:lhob:216,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/31472cf5-3b9f-5525-9c19-25e9f49e9f80'},au::10964,Hubert Lampo,Kunstenaar,
e25c8ed0-cf2e-5817-a9e2-d6f01a3bd362,tg:lhob:580,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/b14227ae-7f37-5207-b978-9c45d419a8e0'},au::14914,Albert Poels,Ontwerper,
92f6aefd-182e-5d98-8419-7bea3af8093d,tg:lhob:611,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/e3e2c546-0f44-5681-b9e8-12a5c5f6edfc'},au::6036,Josuë Dupon,Ontwerper,
093d97c0-73c8-5166-88f3-4a31f6ac5637,tg:lhob:538,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/4d68059c-879e-5987-98c2-4125bc777516'},au::6034,Arthur Dupon,Ontwerper,
c5fa3cc7-4330-5dd3-bc63-175c27d3679d,tg:lhob:610,ProductionActors,2,{'url':'data.antwerpen.be/ark:/83110/6e05055f-a58d-5a38-a8c6-660e2a44aff6'},au::19998,Thomas Vinçotte,Ontwerper,
1dbbe321-c649-56e3-8084-a3a9d901b255,tg:lhob:217,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/31472cf5-3b9f-5525-9c19-25e9f49e9f80'},au::10964,Hubert Lampo,Kunstenaar,
193b1a71-7bb1-5c4e-a662-76bd2f6a10e3,tg:lhob:27,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/57b51362-1ba4-53e0-ab5b-b6d206cecba9'},au::33932,Ed Hoppe,Kunstenaar,
662c5c57-f47c-5d4f-8129-bd13e718db6b,tg:lhob:446,ProductionActors,2,{'url':'data.antwerpen.be/ark:/83110/b14227ae-7f37-5207-b978-9c45d419a8e0'},au::14914,Albert Poels,Ontwerper,
4a09f746-ad73-5c9b-bace-e9d1b5c978cd,tg:lhob:515,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/9df7caac-2ec5-579b-bac0-ab9d9061402c'},au::5708,Frans Dille,Kunstenaar,
67dda1a6-bd99-55f8-8fc1-f162041f546a,tg:lhob:523,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/baecc7d9-6355-530f-8abd-ce1539329632'},au::9691,Oscar Jespers,Ontwerper,
1858843e-7b34-59ec-a956-73ed6c8b0d31,tg:lhob:218,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/31472cf5-3b9f-5525-9c19-25e9f49e9f80'},au::10964,Hubert Lampo,Kunstenaar,
cd54c091-7319-5f1b-be7b-7f125c03b86b,tg:lhob:598,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/b14227ae-7f37-5207-b978-9c45d419a8e0'},au::14914,Albert Poels,Ontwerper,
6001aad0-7445-51cf-b8b9-c4f37b450c5d,tg:lhob:28,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/57b51362-1ba4-53e0-ab5b-b6d206cecba9'},au::33932,Ed Hoppe,Kunstenaar,
fa1c69db-2ee0-5b8f-b6b8-cb3bc069ffbd,tg:lhob:625,ProductionActors,2,{'url':'data.antwerpen.be/ark:/83110/a7908bf1-46ff-56b6-a0e0-6929dd790be8'},au::21605,Jozef Witterwulghe,Ontwerper,
04894238-622e-5ed4-b8ff-25eccd38ec61,tg:lhob:594,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/ca1edb48-3ab9-525a-9d20-7158fad83837'},au::2482,René Boschmans,Ontwerper,
f4c829c8-d54e-511b-a9d6-9f8073b5073c,tg:lhob:24,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/e3e2c546-0f44-5681-b9e8-12a5c5f6edfc'},au::6036,Josuë Dupon,Kunstenaar,
957c67ac-675a-5bc8-9d10-e8e6a8fda771,tg:lhob:605,ProductionActors,2,{'url':'data.antwerpen.be/ark:/83110/20f7fa5c-2822-578d-9bdb-eb5f68483dbf'},au::12750,Constantin Meunier,Ontwerper,
0eacb309-0eea-575a-9882-69edee6dcb91,tg:lhob:541,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/d0a75f26-672e-57f5-ad13-5be655d34a02'},au::21346,Leopold Wiener,Ontwerper,
c1ec09b3-4403-5951-8a75-9ea33de742ae,tg:lhob:405,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/c9100840-f802-5909-b051-7ccef02d4533'},au::9614,Charel Janssens,Kunstenaar,
11685648-8e1e-5273-90da-80fce8a310e2,tg:lhob:370,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/97f5e855-9134-526a-91d3-71b8088d5c68'},au::16765,Lode Sebregts,Kunstenaar,
9e5b3831-26c7-51a3-8540-ef2de9857671,tg:lhob:632,ProductionActors,4,{'url':'data.antwerpen.be/ark:/83110/4d68059c-879e-5987-98c2-4125bc777516'},au::6034,Arthur Dupon,Ontwerper,
bbed8364-c078-57dd-bc7b-bec9ad3be94e,tg:lhob:448,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/e3e2c546-0f44-5681-b9e8-12a5c5f6edfc'},au::6036,Josuë Dupon,Ontwerper,
0abbb864-a72f-5827-bc94-3da0b5ff30af,tg:lhob:29,ProductionActors,1,{'url':'data.antwerpen.be/ark:/83110/5a5f3541-f723-58f7-b969-664da58ea71e'},au::4707,Floris de Cuijper,Kunstenaar,
0d0b68e6-bf4c-51bd-9c68-49c8d28ca7f8,tg:lhob:576,ProductionActors,3,{'url':'data.antwerpen.be/ark:/83110/ddff899d-74a9-5317-b2b3-21c260366d86'},au::14923,Emile Poetou,Ontwerper,
