Brocade ID,ResourceID,card,order,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type
tg:lhob:683,bd7ce636-cc81-583e-a78c-3b8f0752a379,ISAAR_Relations,1,au::15746,{'url': 'https://anet.be/record/isaarlh/au::15746'},kw,Persoon,Jan van Rijswijck,Trefwoord
tg:lhob:379,5a61ea94-31bc-52dd-a755-d066d29d47b9,ISAAR_Relations,1,au::15746,{'url': 'https://anet.be/record/isaarlh/au::15746'},kw,Persoon,Jan van Rijswijck,Trefwoord
tg:lhob:396,bd6a24a7-aded-52a3-b50c-56afca72e232,ISAAR_Relations,1,au::11170,{'url': 'https://anet.be/record/isaarlh/au::11170'},kw,Persoon,Karel Lodewijk Ledeganck,Trefwoord
tg:lhob:115,ab42045f-6e40-5c85-9079-435c3680d52a,ISAAR_Relations,1,au::850,{'url': 'https://anet.be/record/isaarlh/au::850'},kw,Persoon,Roger Avermaete,Trefwoord
tg:lhob:545,cd2daffa-e245-5210-a2df-5e8d206c2148,ISAAR_Relations,1,au::16765,{'url': 'https://anet.be/record/isaarlh/au::16765'},vb,Persoon,Lode Sebregts,In Verband Met
tg:lhob:400,10ca59b0-91e3-567e-998d-80535d66fd46,ISAAR_Relations,1,au::9614,{'url': 'https://anet.be/record/isaarlh/au::9614'},kw,Persoon,Charel Janssens,Trefwoord
tg:lhob:284,d0040669-e75c-5a8b-871b-f280d696ae37,ISAAR_Relations,1,au::16765,{'url': 'https://anet.be/record/isaarlh/au::16765'},kw,Persoon,Lode Sebregts,Trefwoord
tg:lhob:284,d0040669-e75c-5a8b-871b-f280d696ae37,ISAAR_Relations,2,au::1543,{'url': 'https://anet.be/record/isaarlh/au::1543'},vb,Persoon,Willem Benoy,In Verband Met
tg:lhob:142,10478800-d203-5ea2-95a8-f28860cc5b30,ISAAR_Relations,1,au::4603,{'url': 'https://anet.be/record/isaarlh/au::4603'},kw,Persoon,Basiel de Craene,Trefwoord
tg:lhob:292,bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,ISAAR_Relations,1,au::12828,{'url': 'https://anet.be/record/isaarlh/au::12828'},kw,Persoon,Ivo Michiels,Trefwoord
tg:lhob:338,5ebb0f3c-cace-5b57-9dc3-cf73efb31735,ISAAR_Relations,1,au::9614,{'url': 'https://anet.be/record/isaarlh/au::9614'},kw,Persoon,Charel Janssens,Trefwoord
tg:lhob:338,5ebb0f3c-cace-5b57-9dc3-cf73efb31735,ISAAR_Relations,2,au::9643,{'url': 'https://anet.be/record/isaarlh/au::9643'},kw,Persoon,Piet Janssens,Trefwoord
tg:lhob:441,8e3b6e00-2a8c-5128-8fb0-f42e519e1290,ISAAR_Relations,1,au::107863,{'url': 'https://anet.be/record/isaarlh/au::107863'},ma,Organisatie,Etablissement Fibru-Fisch,Maker
tg:lhob:695,06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,ISAAR_Relations,1,au::10236,{'url': 'https://anet.be/record/isaarlh/au::10236'},vb,Persoon,Edward Keurvels,In Verband Met
tg:lhob:380,2c34ea20-351b-5681-8156-6799501d4711,ISAAR_Relations,1,au::9614,{'url': 'https://anet.be/record/isaarlh/au::9614'},kw,Persoon,Charel Janssens,Trefwoord
tg:lhob:553,b5714f50-9ce1-55a7-a857-8d0d261f8701,ISAAR_Relations,1,au::16765,{'url': 'https://anet.be/record/isaarlh/au::16765'},vb,Persoon,Lode Sebregts,In Verband Met
tg:lhob:103,0e3c664a-3014-5589-93a4-614dc7ed5327,ISAAR_Relations,1,au::8849,{'url': 'https://anet.be/record/isaarlh/au::8849'},kw,Persoon,Emanuel Hiel,Trefwoord
tg:lhob:416,5cf6fb19-8a38-5706-90ee-85f1a946e015,ISAAR_Relations,1,au::15700,{'url': 'https://anet.be/record/isaarlh/au::15700'},ds,Persoon,Philo van Riel,Ontwerper
tg:lhob:416,5cf6fb19-8a38-5706-90ee-85f1a946e015,ISAAR_Relations,2,au::112020,{'url': 'https://anet.be/record/isaarlh/au::112020'},ma,Persoon,J. Fonson,Maker
tg:lhob:601,ab69a3bf-86ff-5650-895c-5337902b75cd,ISAAR_Relations,1,au::16589,{'url': 'https://anet.be/record/isaarlh/au::16589'},vb,Persoon,Ger Schmook,In Verband Met
tg:lhob:601,ab69a3bf-86ff-5650-895c-5337902b75cd,ISAAR_Relations,2,au::17519:1,{'url': 'https://anet.be/record/isaarlh/au::17519:1'},vb,,,In Verband Met
tg:lhob:601,ab69a3bf-86ff-5650-895c-5337902b75cd,ISAAR_Relations,3,au::12400,{'url': 'https://anet.be/record/isaarlh/au::12400'},ds,Persoon,Marcel Mazy,Ontwerper
tg:lhob:314,8d2ffbfc-9e25-5c51-be3e-38a01561baf4,ISAAR_Relations,1,au::10236,{'url': 'https://anet.be/record/isaarlh/au::10236'},kw,Persoon,Edward Keurvels,Trefwoord
tg:lhob:197,9b7353fd-82c9-510e-9e2f-56bb58d88ad9,ISAAR_Relations,1,au::9614,{'url': 'https://anet.be/record/isaarlh/au::9614'},kw,Persoon,Charel Janssens,Trefwoord
tg:lhob:197,9b7353fd-82c9-510e-9e2f-56bb58d88ad9,ISAAR_Relations,2,au::9643,{'url': 'https://anet.be/record/isaarlh/au::9643'},kw,Persoon,Piet Janssens,Trefwoord
tg:lhob:528,d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,ISAAR_Relations,1,au::2039,{'url': 'https://anet.be/record/isaarlh/au::2039'},kw,Persoon,Léon Bloy,Trefwoord
tg:lhob:528,d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,ISAAR_Relations,2,au::7555,{'url': 'https://anet.be/record/isaarlh/au::7555'},vb,Persoon,Maurice Gilliams,In Verband Met
tg:lhob:482,f9af0ba4-1e21-5c18-8ff9-f3f147c5be4f,ISAAR_Relations,1,au::9760,{'url': 'https://anet.be/record/isaarlh/au::9760'},vb,Persoon,Marinus de Jong,In Verband Met
tg:lhob:656,44e552c6-c31f-5bd1-99c9-0b205cec829e,ISAAR_Relations,1,au::21743,{'url': 'https://anet.be/record/isaarlh/au::21743'},vb,Organisatie,Yver en Broedermin,In Verband Met
tg:lhob:713,aace5079-d656-5063-aa96-7b87fd00e060,ISAAR_Relations,1,au::2931,{'url': 'https://anet.be/record/isaarlh/au::2931'},kw,Persoon,Diane Broeckhoven,Trefwoord
tg:lhob:343,76a01cb8-b151-59c3-b593-b02b67de188f,ISAAR_Relations,1,au::19775,{'url': 'https://anet.be/record/isaarlh/au::19775'},kw,Persoon,Hugo Verriest,Trefwoord
tg:lhob:590,ea048364-6101-5492-bef4-6573a816a250,ISAAR_Relations,1,au::11366,{'url': 'https://anet.be/record/isaarlh/au::11366'},kw,Persoon,Leopold II,Trefwoord
tg:lhob:590,ea048364-6101-5492-bef4-6573a816a250,ISAAR_Relations,2,au::16589,{'url': 'https://anet.be/record/isaarlh/au::16589'},vb,Persoon,Ger Schmook,In Verband Met
tg:lhob:98,a319e252-eb18-5a27-80bb-fa2132d48bf9,ISAAR_Relations,1,au::12051,{'url': 'https://anet.be/record/isaarlh/au::12051'},kw,Persoon,Maurice Maeterlinck,Trefwoord
tg:lhob:98,a319e252-eb18-5a27-80bb-fa2132d48bf9,ISAAR_Relations,2,au::1004,{'url': 'https://anet.be/record/isaarlh/au::1004'},vb,Persoon,Eugène Baie,In Verband Met
tg:lhob:77,89346987-6164-5d91-94a1-ab22af09b8e9,ISAAR_Relations,1,au::850,{'url': 'https://anet.be/record/isaarlh/au::850'},kw,Persoon,Roger Avermaete,Trefwoord
tg:lhob:77,89346987-6164-5d91-94a1-ab22af09b8e9,ISAAR_Relations,2,au::848,{'url': 'https://anet.be/record/isaarlh/au::848'},vb,Persoon,Alain Avermaete,In Verband Met
tg:lhob:210,4556877c-3dec-5bf7-a0ca-35af1a796385,ISAAR_Relations,1,au::3880,{'url': 'https://anet.be/record/isaarlh/au::3880'},kw,Persoon,Ernest Claes,Trefwoord
tg:lhob:640,0f54d3fa-a71c-5e14-ba61-7ea676a233b3,ISAAR_Relations,1,au::11366,{'url': 'https://anet.be/record/isaarlh/au::11366'},kw,Persoon,Leopold II,Trefwoord
tg:lhob:640,0f54d3fa-a71c-5e14-ba61-7ea676a233b3,ISAAR_Relations,2,au::21743,{'url': 'https://anet.be/record/isaarlh/au::21743'},vb,Organisatie,Yver en Broedermin,In Verband Met
tg:lhob:355,11aadd1a-1b7b-5af0-bd5c-a6e1fd3880ce,ISAAR_Relations,1,au::12828,{'url': 'https://anet.be/record/isaarlh/au::12828'},kw,Persoon,Ivo Michiels,Trefwoord
