ResourceID,brocade.id,card,order,note,Condition State Note,Condition State Notes Type,Condition State Notes Language
bdf60c03-0152-5b5a-ab82-b62df1f7898b,tg:lhob:725,Conditions,2,note.lhconditie,Gebruikssporen en ontbrekende stukken.,Materiële toestand,Nederlands
aa7620ed-b248-5012-801d-44af139e0277,tg:lhob:230,Conditions,1,note.lhconditie,Gebroken aan de steel,Materiële toestand,Nederlands
1bbe3e40-dd56-598f-a25d-262e4e247b86,tg:lhob:271,Conditions,1,note.lhconditie,In drie delen gebroken,Materiële toestand,Nederlands
3e19ea84-4ecb-5977-9421-9ffa7cf127b1,tg:lhob:318,Conditions,1,note.lhconditie,Deel van een veer afgebroken.,Materiële toestand,Nederlands
52ee1d6d-2804-50d3-bfd3-61042162ed3c,tg:lhob:709,Conditions,1,note.lhconditie,Er ontbreekt een schilfer aan de achterzijde.,Materiële toestand,Nederlands
d30cff16-d872-5c7e-a09f-b05ede5c5258,tg:lhob:335,Conditions,1,note.lhconditie,Corrosie,Materiële toestand,Nederlands
67ada668-af59-5fa5-b6b1-825fbac71ed9,tg:lhob:724,Conditions,2,note.lhconditie,Gebruikssporen.,Materiële toestand,Nederlands
f4f2a252-84d5-5a08-9bd2-056b52781658,tg:lhob:723,Conditions,2,note.lhconditie,Gebruikssporen.,Materiële toestand,Nederlands
10619e69-ff8e-5edd-98f3-0ac22ca386df,tg:lhob:332,Conditions,1,note.lhconditie,"Gecorrodeerd, gebroken waardoor de glazen los zitten.",Materiële toestand,Nederlands
55a3c15a-6c59-54e5-93ba-a2a4ce1453b0,tg:lhob:365,Conditions,1,note.lhconditie,"In meerdere delen gebroken  
",Materiële toestand,Nederlands
3f6babf2-cc05-501a-be7f-d9ef1934ed2f,tg:lhob:719,Conditions,2,note.lhconditie,Gebruikssporen.,Materiële toestand,Nederlands
c7609d4e-70de-55ef-bd48-bf2988c00bc3,tg:lhob:328,Conditions,1,note.lhconditie,Eén veer ontbreekt.,Materiële toestand,Nederlands
c22f879e-9ad3-5c38-a0d9-e566a793d403,tg:lhob:410,Conditions,1,note.lhconditie,Oog aan rechterkant ontbreekt.,Materiële toestand,Nederlands
6c3b7bf3-02a3-5fa3-a92e-4b8e98bf0e89,tg:lhob:411,Conditions,1,note.lhconditie,Roestvorming op belletjes,Materiële toestand,Nederlands
42ac0737-ca74-5339-9934-cdd7b8d6ad05,tg:lhob:295,Conditions,1,note.lhconditie,Reeds opnieuw verstevigd met plakband.,Materiële toestand,Nederlands
5ef54a65-13f2-5c36-a854-cdb5b5b59cc6,tg:lhob:329,Conditions,1,note.lhconditie,Eén gebarsten glas.,Materiële toestand,Nederlands
c644b3f1-3028-5120-b346-3acade491b77,tg:lhob:283,Conditions,1,note.lhconditie,Gebroken steel.,Materiële toestand,Nederlands
33a45644-c571-515d-a4cd-feeca33a7fe3,tg:lhob:718,Conditions,2,note.lhconditie,Gebruikssporen; krassen en barstjes in het tafelblad.,Materiële toestand,Nederlands
0d59cead-0e6a-5456-a01f-2fd1c1f91b63,tg:lhob:722,Conditions,2,note.lhconditie,De vering van de zitbank is in slechte staat. Gebruikssporen.,Materiële toestand,Nederlands
878376c8-056e-5d6d-b0de-1f65d45905c9,tg:lhob:263,Conditions,1,note.lhconditie,Afgebroken ontbrekend deel aan de rand.,Materiële toestand,Nederlands
f5fb8982-6320-5ad9-83b8-330917c18bd4,tg:lhob:721,Conditions,2,note.lhconditie,De vering van de fauteuils is in slechte staat. Beide fauteuils vertonen gebruikssporen.,Materiële toestand,Nederlands
0847d133-0ada-5261-bee0-1f179bc0f263,tg:lhob:516,Conditions,2,note.lhconditie,Oxidatie,Materiële toestand,Nederlands
e23288ee-aaa0-55b6-a9dc-96ef68bc2b6d,tg:lhob:700,Conditions,2,note.lhconditie,De rand van de kop heeft een kleine beschadiging.,Materiële toestand,Nederlands
9e467cf2-532f-5f14-a60c-b4c7970f5835,tg:lhob:720,Conditions,2,note.lhconditie,"De stoffering, onderstoffering en vering van de stoelen zijn in zeer slechte staat. Ook de poten en de armleuningen vertonen gebruikssporen.",Materiële toestand,Nederlands
3971c9bc-2e36-58a9-86f3-09084647bf74,tg:lhob:274,Conditions,1,note.lhconditie,Gebroken onder de ketel. In het verleden reeds verlijmd.,Materiële toestand,Nederlands
bf488e8e-0d36-5e38-8c12-df9cc968fa9f,tg:lhob:357,Conditions,1,note.lhconditie,Twee afgebroken veren,Materiële toestand,Nederlands
