ResourceID,brocade.id,card,order,Genre Type
c51130d7-eff4-5fc8-80d5-926020c83fe7,tg:lhsc:729,GenreTypes,1,Medaillon
76d1d594-7daa-5788-b714-b5e906c49376,tg:lhsc:683,GenreTypes,1,Buste
4581f726-f3be-55e0-9df3-a7421168cf88,tg:lhsc:6935,GenreTypes,1,Buste
964cc9f8-c6fb-5e05-be6f-a69ec8f45f88,tg:lhsc:816,GenreTypes,1,Buste
84c924d8-6955-52ca-b091-4cf48979272b,tg:lhsc:1989,GenreTypes,1,Buste
41b4a25e-fb9e-5f1c-898b-5cf330d4ad97,tg:lhsc:1120,GenreTypes,1,Kop
c57d3dff-ca95-5c7a-a70c-0715b04bad2c,tg:lhsc:1065,GenreTypes,1,Kop
edc8c733-dcfd-5003-b0f8-e0983ef6b059,tg:lhsc:953,GenreTypes,1,Hand
544acddc-3fe4-5e0d-b9d3-5229b7329e99,tg:lhsc:791,GenreTypes,1,Kop
c109e1c8-3c8c-5d08-ab95-85b87e1decba,tg:lhsc:1177,GenreTypes,1,Kop
9a3697a7-0eb4-5fc8-8218-9cadb7d1fd11,tg:lhsc:841,GenreTypes,1,Medaillon
45f7e0df-8b29-5eb8-9067-5079ce728265,tg:lhsc:904,GenreTypes,1,Medaillon
67c5f24b-ffab-5b5d-82d4-1c9e129a3fa8,tg:lhsc:1198,GenreTypes,1,Staande Figuur
1609b2cf-5d7d-50bc-ab15-5385e12df4b2,tg:lhsc:457,GenreTypes,1,Staande Figuur
1906ee6d-eb81-5292-bc07-6bc13cd7780d,tg:lhsc:9402,GenreTypes,1,Buste
0e60bd6c-c9d5-570a-a65a-f17bbf834784,tg:lhsc:1032,GenreTypes,1,Dodenmasker
ae836d71-5e59-5462-9c05-31c088dd28c5,tg:lhsc:768,GenreTypes,1,Medaillon
30d5beb5-d97e-5113-9ef4-c93ee48fe2a4,tg:lhsc:1618,GenreTypes,1,Plaquette
8952ee98-4a3b-5e5a-b709-53a2465da5a3,tg:lhsc:9382,GenreTypes,1,Kop
9ec48475-dc2c-5560-91cd-a805973fb943,tg:lhsc:787,GenreTypes,1,Buste
182ca4c1-d8d4-5c27-b488-5a278e6359b5,tg:lhsc:1248,GenreTypes,1,Staande Figuur
fe310f26-b418-5763-b976-fc04b8d38ea9,tg:lhsc:857,GenreTypes,1,Medaillon
9cd28d8b-e349-53a4-888a-51527624ee2c,tg:lhsc:1161,GenreTypes,1,Buste
07a46c3b-de09-57ad-8c5e-fd8103ee16f1,tg:lhsc:1024,GenreTypes,1,Dodenmasker
5e98834f-3e94-5421-8842-854d1dc7cd02,tg:lhsc:9414,GenreTypes,1,Hand
b7f2caf3-61ca-5ff6-aeb6-ba624f2d1f9a,tg:lhsc:441,GenreTypes,1,Kop
3d901fed-7929-52c6-946f-3713c156d696,tg:lhsc:912,GenreTypes,1,Medaillon
0a58669d-1ba2-52ac-9f85-7ad38b554934,tg:lhsc:5749,GenreTypes,1,Kop
6106ae53-85b6-574d-b2c2-fcdb66051e39,tg:lhsc:695,GenreTypes,1,Buste
f638ca16-0b48-5df0-a70f-55b77f5ac68f,tg:lhsc:1136,GenreTypes,1,Buste
70c446d3-7c58-5155-943f-1f5109682d87,tg:lhsc:800,GenreTypes,1,Buste
0132a4ce-d78f-5f35-b607-75a7bd6d5179,tg:lhsc:945,GenreTypes,1,Hand
a6e2381c-7847-51ec-af1b-da3f0c6ce595,tg:lhsc:416,GenreTypes,1,Buste
c712da57-0cfc-564d-838e-72529d031b00,tg:lhsc:1073,GenreTypes,1,Staande Figuur
808f6a8e-e8b3-5272-a4d3-07ea073480fc,tg:lhsc:744,GenreTypes,1,Medaillon
dca9d500-6d0e-5ff3-8769-474c40de7f88,tg:lhsc:894,GenreTypes,1,Plaquette
2b75ada6-e734-5be7-9f1d-ec90bed3d2ce,tg:lhsc:1008,GenreTypes,1,Dodenmasker
0d0abb06-6f3e-5ed8-addd-8e4396c56dd4,tg:lhsc:656,GenreTypes,1,Buste
14d909f9-f9e2-52ad-93a6-20afa4c66ccc,tg:lhsc:1663,GenreTypes,1,Buste
a9999e80-86bb-5659-b8e9-cf1a0a3ef478,tg:lhsc:1233,GenreTypes,1,Staande Figuur
a302d86b-aa95-5f6c-a6b8-813d7ce13758,tg:lhsc:9316,GenreTypes,1,Plaquette
f05d6c41-784e-5cf0-9039-09c87f3248fd,tg:lhsc:713,GenreTypes,1,Plaquette
6f3d524b-9878-5c0f-b962-981f9149835f,tg:lhsc:969,GenreTypes,1,Dodenmasker
f10ae43d-3c9f-57d0-972f-43c70008852a,tg:lhsc:986,GenreTypes,1,Dodenmasker
622b9854-6c6e-5282-b19d-0eb5b713714a,tg:lhsc:1225,GenreTypes,1,Kop
24236459-de9f-5836-9965-002498b3f1da,tg:lhsc:1360,GenreTypes,1,Kop
93e4684e-c057-59bc-bb5f-0fb0fdbd14dc,tg:lhsc:705,GenreTypes,1,Plaquette
bb80b3ad-5cad-57c7-8d5b-36c316548c15,tg:lhsc:1049,GenreTypes,1,Buste
55ca14d0-1dd4-5cc7-9593-b7985f630204,tg:lhsc:990,GenreTypes,1,Dodenmasker
e15c628e-1951-5349-883b-97281b4f0f0d,tg:lhsc:1272,GenreTypes,1,Staande Figuur
2960ca11-a297-5f0b-89d8-3fd2a096d7bb,tg:lhsc:752,GenreTypes,1,Medaillon
0e8cdc59-e3ab-5136-bd77-1ac8061a372e,tg:lhsc:928,GenreTypes,1,Medaillon
7542ff82-f437-53b0-acef-cf6d725c7c3a,tg:lhsc:882,GenreTypes,1,Plaquette
b60312ae-da6e-5831-8667-510ba90aeeac,tg:lhsc:4284,GenreTypes,1,Buste
ee85f6ac-1898-573e-b141-582d291718b0,tg:lhsc:1086,GenreTypes,1,Zitbeeld; Zittende Figuur
9d79a9d4-411d-5b27-aac4-0302636d8963,tg:lhsc:1069,GenreTypes,1,Buste
10743b6f-f549-53e1-a3c7-4a4986730133,tg:lhsc:725,GenreTypes,1,Plaquette
c9388868-c4ea-5856-b123-781750c66400,tg:lhsc:1205,GenreTypes,1,Staande Figuur
c13afe10-7532-593f-95c4-cfc653be71ae,tg:lhsc:660,GenreTypes,1,Buste
e37d4762-892d-513a-a790-92f2788323b5,tg:lhsc:1194,GenreTypes,1,Buste
a208fd6f-bd31-55c8-baf9-a9734508cc38,tg:lhsc:908,GenreTypes,1,Medaillon
0fc4f0fc-34ad-573a-bc01-95e09fc66aeb,tg:lhsc:772,GenreTypes,1,Plaquette
bca5796d-c9e2-5288-9c72-d44a8ae69b22,tg:lhsc:1317,GenreTypes,1,Kop
08bc524a-d0ec-53c9-9f32-34aaa7ba634c,tg:lhsc:9398,GenreTypes,1,Buste
