dataset, brocade_id, au_id
mpmbr,tg:mpmbr:210,au::109927:1
mpmbr,tg:mpmbr:877,au::112976:1
mpmbr,tg:mpmbr:933,au::113414:1
mpmbr,tg:mpmbr:934,au::113415:1
mpmbr,tg:mpmbr:938,au::113415:1
mpmbr,tg:mpmbr:939,au::113415:1
mpmbr,tg:mpmbr:942,au::113415:1
mpmbr,tg:mpmbr:935,au::113415:1
mpmbr,tg:mpmbr:936,au::113415:1
mpmbr,tg:mpmbr:941,au::113415:1
mpmbr,tg:mpmbr:940,au::113415:1
mpmbr,tg:mpmbr:937,au::113415:1
mpmbr,tg:mpmbr:1050,au::108564:1
mpmre,tg:mpmak:70,au::108665:1.1
mpmre,tg:mpmak:107,au::108978:1
mpmre,tg:mpmhs:16,au::16061:::BHV.1
mpmre,tg:mpmhs:16,au::16015:::CVV.1
mpmre,tg:mpmhs:17,au::16015:::CVV.1
mpmre,tg:mpmhs:22,au::16015:::CVV.1
mpmre,tg:mpmhs:18,au::16015:::CVV.1
mpmre,tg:mpmhs:15,au::16061:::BHV.1
mpmre,tg:mpmhs:15,au::16015:::CVV.1
mpmre,tg:mpmhs:19,au::16015:::CVV.1
mpmre,tg:mpmre:676,au::16015:::CVV.1
mpmre,tg:mpmre:676,au::113264:::MWV.1
mpmre,tg:mpmre:677,au::16061:::BHV.1
mpmre,tg:mpmre:682,au::16061:::BHV.1
mpmre,tg:mpmre:689,au::16015:::CVV.1
mpmre,tg:mpmre:689,au::113264:::MWV.1
mpmre,tg:mpmre:685,au::16015:::CVV.1
mpmre,tg:mpmre:685,au::113264:::MWV.1
mpmre,tg:mpmre:693,au::16061:::BHV.1
mpmre,tg:mpmre:684,au::16015:::CVV.1
mpmre,tg:mpmre:688,au::16015:::CVV.1
mpmre,tg:mpmre:688,au::113264:::MWV.1
mpmre,tg:mpmre:691,au::16015:::CVV.1
mpmre,tg:mpmre:687,au::16015:::CVV.1
mpmre,tg:mpmre:686,au::16061:::BHV.1
mpmre,tg:mpmre:690,au::16015:::CVV.1
mpmre,tg:mpmre:673,au::16015:::CVV.1
mpmre,tg:mpmre:673,au::113264:::MWV.1
mpmre,tg:mpmre:678,au::16061:::BHV.1
mpmre,tg:mpmre:678,au::113264:::MWV.1
mpmre,tg:mpmre:681,au::16061:::BHV.1
mpmre,tg:mpmre:674,au::16015:::CVV.1
mpmre,tg:mpmre:674,au::113264:::MWV.1
mpmre,tg:mpmre:675,au::16015:::CVV.1
mpmre,tg:mpmre:675,au::113264:::MWV.1
mpmre,tg:mpmre:680,au::16015:::CVV.1
mpmre,tg:mpmre:680,au::113264:::MWV.1
mpmre,tg:mpmre:679,au::113264:::MWV.1
mpmre,tg:mpmre:679,au::16061:::BHV.1
rubhs,tg:rubdoc:4330,au::15773:1
rubhs,tg:rubdoc:4330,au::45671:1
lhps,tg:lhps:12423,au::52342:2:N
lhps,tg:lhps:45901,au::20334:3:N
lhps,tg:lhps:49164,au::656:5:N
lhps,tg:lhps:50345,au::656:5:N
lhps,tg:lhps:40345,au::10460:2:N
lhps,tg:lhps:42378,au::17525:4:N
lhps,tg:lhps:115,au::20710:2:N
lhps,tg:lhps:47253,au::14116:3:N
