dataset, brocade_id, au_id
mpmbr,tg:mpmbr:13,au::100654:1
mpmbr,tg:mpmbr:158,au::100141:1
mpmbr,tg:mpmbr:184,au::100141:1
mpmbr,tg:mpmbr:194,au::101273:1
mpmbr,tg:mpmbr:203,au::100141:1
mpmbr,tg:mpmbr:731,au::100141:1
lhps,tg:lhps:30829,au::105203:2:N
lhps,tg:lhps:34378,au::103053:1:E
lhps,tg:lhps:35121,au::106230:1:E
lhps,tg:lhps:44079,au::105203:N
lhps,tg:lhps:48127,au::106763:2:N
lhph,tg:lhph:51784,au::100125:1
lhps,tg:lhps:30829,au::105203:2:N
lhps,tg:lhps:34378,au::103053:1:E
lhps,tg:lhps:35121,au::106230:1:E
lhps,tg:lhps:44079,au::105203:N
lhps,tg:lhps:48127,au::106763:2:N
lhph,tg:lhph:51784,au::100125:1
