Record ID,Record Type,Keeper Name,URL,ResourceID,Object Number value,Object Identifier,Record Identifier Type,URL Type,Object Identifier Type,Object Number Type,order,card,brocade.id,Archive Brocade ID,Archive Name,Archive Identifier,Description,Description Type,Description Language,Dimension Value,Dimension Type,Dimension Measurement Unit,Illustration Type,Illustration URL,Brocade ID,ISAAR Brocade ID,Entity Identifier,ire.type.value,Entity Type,Entity Name,Relation Type,id/place.place,Production Place ID,Production Place Identifier,Production Place Name,Object Type,Start Date
tg:mpmph:14,Foto,Museum Plantin-Moretus,https://anet.be/record/opacmpmobj/tg:mpmph:14/N,177dc347-eab9-5aa9-9bed-bcc55aa5c471,BE-ANN00/ph/000000006,{'url':'https://id.museumplantinmoretus.be/ark:/11975/177dc347-eab9-5aa9-9bed-bcc55aa5c471'},Record Identifier,URL,Object Identifier,Object Number,0,AA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,1,Archives,tg:mpmph:14,isad:mpm:661,Max Rooses herdacht 1939,{'url':'https://id.museumplantinmoretus.be/ark:/11975/177dc347-eab9-5aa9-9bed-bcc55aa5c471'},,,,,,,,,,,,,,,,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,1,Descriptions,,,,,"Academische zitting ter gelegenheid van de 25ste verjaring van Max Rooses' overlijden. Aan het woord: Jan Denucé. Naast hem v.l.n.r.: schepen Adolf Molter, Emmanuel De Bom en Herman F. Bouchery. 
",Beschrijving,Nederlands,,,,,,,,,,,,,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,1,Dimensions,,,,,,,,"175,0",Height of work,Centimetres,,,,,,,,,,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,1,Dimensions,,,,,,,,"233,0",Width of work,Centimetres,,,,,,,,,,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,1,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:14,au::4838,{'url': 'https://anet.be/record/isaarlh/au::4838'},fo,Tijdschrift,De Dag [Dagblad],Fotograaf,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,2,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:14,au::5346,{'url': 'https://anet.be/record/isaarlh/au::5346'},ow,Persoon,Jan Denucé,Onderwerp,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,3,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:14,au::13050,{'url': 'https://anet.be/record/isaarlh/au::13050'},ow,Persoon,Adolf Molter,Onderwerp,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,4,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:14,au::2268,{'url': 'https://anet.be/record/isaarlh/au::2268'},ow,Persoon,Emmanuel de Bom,Onderwerp,,,,,,
,,,,177dc347-eab9-5aa9-9bed-bcc55aa5c471,,,,,,,5,ISAAR_Relations,,,,,,,,,,,,,tg:mpmph:14,au::2561,{'url': 'https://anet.be/record/isaarlh/au::2561'},ow,Persoon,Herman F. Bouchery,Onderwerp,,,,,,
