ResourceID,brocade.id,card,order,source_code,ire.isaar.uuid,ISAAR Brocade ID,Original Entity Type,Original Entity Widget,Original Entity Identifier
7b9bb1a9-2b96-5fc8-8551-77f34c7b2474,tg:rubgr:31,e73_OriginalBrocade,1,kw,adc10a3d-d3e4-5f12-b76b-ddce078b7105,au::18500,keywords,,
3b48c57a-a39b-5f73-aab5-4eb6fa8008b7,tg:rubgr:21,e73_OriginalBrocade,1,kw,adc10a3d-d3e4-5f12-b76b-ddce078b7105,au::18500,keywords,,
23496b16-007d-56ce-9304-1446bf1047d4,tg:rubgr:2567,e73_OriginalBrocade,1,kw,73e8f6cc-3f86-5ad2-9b4d-0f7a2029707d,au::3028,keywords,,
23496b16-007d-56ce-9304-1446bf1047d4,tg:rubgr:2567,e73_OriginalBrocade,2,kw,51235f44-a7e4-5ca0-a78d-4890ed985df7,au::28177,keywords,,
23496b16-007d-56ce-9304-1446bf1047d4,tg:rubgr:2567,e73_OriginalBrocade,3,kw,6f5aef52-f1ad-5f58-a70d-2bd0c425eb74,au::12271,keywords,,
23496b16-007d-56ce-9304-1446bf1047d4,tg:rubgr:2567,e73_OriginalBrocade,4,kw,4fd76377-5c60-5949-a1f5-8d7453c6c945,au::28097,keywords,,
de517faf-df9f-5aa9-aba6-627c9d41f6f6,tg:rubgr:4225,e73_OriginalBrocade,1,kw,73d739f9-bb6f-5cd0-b787-ab9a7724b446,au::26569,keywords,,
b7ccf48e-e231-5424-96a4-74ec7c83ea41,tg:rubgr:2611,e73_OriginalBrocade,1,kw,adc10a3d-d3e4-5f12-b76b-ddce078b7105,au::18500,keywords,,
2b1ec1c7-fa70-51b3-a3c4-d9613c25f4ad,tg:rubgr:4235,e73_OriginalBrocade,1,kw,73d739f9-bb6f-5cd0-b787-ab9a7724b446,au::26569,keywords,,
47ab30ee-f536-5f9a-b307-06147fb3dc82,tg:rubgr:2044,e73_OriginalBrocade,1,kw,9c5baa02-0c78-5afe-9c2b-969ef35e27eb,au::13200,keywords,,
59d3f872-98db-55ea-bf44-c5da5c3bc709,tg:rubgr:2974,e73_OriginalBrocade,1,kw,51235f44-a7e4-5ca0-a78d-4890ed985df7,au::28177,keywords,,
b56df989-4db2-5d88-b521-2ef343406929,tg:rubgr:3691,e73_OriginalBrocade,1,kw,68745e68-be77-5308-846a-b1ac1c29f49d,au::16398,keywords,,
b56df989-4db2-5d88-b521-2ef343406929,tg:rubgr:3691,e73_OriginalBrocade,2,kw,7ca6beec-144b-5524-bf1d-309f064c1574,au::32545,keywords,,
85d72987-20fa-5961-9a3f-0a645ef016b7,tg:rubgr:521,e73_OriginalBrocade,1,kw,d01a462a-1d54-5ba8-8442-1e49b3ca723e,au::3232,keywords,,
85d72987-20fa-5961-9a3f-0a645ef016b7,tg:rubgr:521,e73_OriginalBrocade,2,kw,adc10a3d-d3e4-5f12-b76b-ddce078b7105,au::18500,keywords,,
9d88467a-8caf-56fe-8cac-3de0f75a27e1,tg:rubgr:1800,e73_OriginalBrocade,1,kw,6f5aef52-f1ad-5f58-a70d-2bd0c425eb74,au::12271,keywords,,
dc24ef14-4ba3-5775-b587-a23e651750b4,tg:rubgr:3835,e73_OriginalBrocade,1,kw,15ca51e1-53aa-543b-8fd8-9ddf60f2fe7c,au::4114,keywords,,
7fc97921-b74d-5676-8388-23bccb847ebf,tg:rubgr:1224,e73_OriginalBrocade,1,kw,631077ff-8783-5f60-8ec6-5f5bcafe8f5f,au::15317,keywords,,
e813cc8b-a3f8-5e88-a04e-f7183d7d2088,tg:rubgr:1707,e73_OriginalBrocade,1,kw,73d739f9-bb6f-5cd0-b787-ab9a7724b446,au::26569,keywords,,
fbd86a01-0d09-5224-9f33-b399f4a586e6,tg:rubgr:3732,e73_OriginalBrocade,1,kw,b36b8a93-b172-5df0-a3e3-fc82642a11de,au::4087,keywords,,
8097cb4b-d0e1-53c6-b0f3-5cc5fcbb9f35,tg:rubgr:2238,e73_OriginalBrocade,1,kw,df8d0808-2f42-514f-ab20-996682149ef7,au::110014,keywords,,
654dfac6-3a96-5058-92c8-b5e3ca9470ee,tg:rubgr:1142,e73_OriginalBrocade,1,kw,51235f44-a7e4-5ca0-a78d-4890ed985df7,au::28177,keywords,,
654dfac6-3a96-5058-92c8-b5e3ca9470ee,tg:rubgr:1142,e73_OriginalBrocade,2,kw,256eaded-a15e-57cd-83e0-8cf4eba910ee,au::16151,keywords,,
4edef5b2-c26d-5396-a8d2-6063f1f05ce3,tg:rubgr:1957,e73_OriginalBrocade,1,kw,7fe9255d-3206-5595-8c90-e427e58abd56,au::41802,keywords,,
335e7316-acca-5221-b387-bcca53ee11c2,tg:rubgr:4924,e73_OriginalBrocade,1,kw,96897c66-14f1-56e2-b6c5-594e386ef493,au::22658,keywords,,
335e7316-acca-5221-b387-bcca53ee11c2,tg:rubgr:4924,e73_OriginalBrocade,2,kw,3dce806e-0337-5f22-9c0e-01bffc770398,au::32507,keywords,,
