ResourceID,brocade.id,card,order,title,note,volgnummer
af064b7f-4785-52da-8931-0a6d494be3f0,tg:lhob:598_#1,e22_OtherIdentifiers,1,Penning Cultuurraad voor de Nederlandse Cultuurgemeenschap aan Ger Schmook.,,
a9db135f-fcb9-543e-a9b6-951f243a8c56,tg:lhob:31_#1,e22_OtherIdentifiers,1,Medaille ter herinnering aan de inhuldiging van het standbeeld van Hendrik Conscience op 13 aug. 1883,,
4458173b-b323-50a9-87ad-9bb64eee175c,tg:lhob:588_#1,e22_OtherIdentifiers,1,Portretpenning Maurice Gilliams,,
c3d31831-6aeb-541b-b82d-bc24c2ba29f6,tg:lhob:647_#1,e22_OtherIdentifiers,1,"Gelegenheidspenning Internationale Toneelwedschrijd, Lier, 1870-1871, Antwerpen, 1895",,
1dfefcd5-0b60-56bf-942f-98778d446111,tg:lhob:657_#1,e22_OtherIdentifiers,1,"Gelegenheidspenning jubelfeest des Burgemeesters en der Fanfaren de Vereenigde Vrienden, Brasschaat, 1897",,
a7488c17-1c82-5a77-a8e9-f423bc0a029a,tg:lhob:88_#1,e22_OtherIdentifiers,1,,Doos 1 / 17,
a7488c17-1c82-5a77-a8e9-f423bc0a029a,tg:lhob:88_#1,e22_OtherIdentifiers,1,Potloodje van Deken L. de Bo,,
f3cc5ab0-18a6-5f88-84b6-6db786e2c48b,tg:lhob:521_#1,e22_OtherIdentifiers,1,"Penning ‘Harmonie Federation Postale’, vaandelinhuldiging , Brussel, 1923",,
ab7568ff-5116-55b6-bcee-254b6a3c5c21,tg:lhob:449_#1,e22_OtherIdentifiers,1,Portretpenning met draagoog van HH.MM. Koning Albert en Koningin Elisabeth,,
8c63915e-499b-5981-9dbd-2da6bbf39dee,tg:lhob:531_#1,e22_OtherIdentifiers,1,Portretpenning Paul Valéry,,
fd776239-8ab8-575e-8b56-30fe175915c4,tg:lhob:98_#1,e22_OtherIdentifiers,1,,Doos 2 / 3,
fd776239-8ab8-575e-8b56-30fe175915c4,tg:lhob:98_#1,e22_OtherIdentifiers,1,Pen van Maurice Maeterlinck,,
c1ff9706-bc5a-525f-922c-c6c8207fea87,tg:lhob:374_#1,e22_OtherIdentifiers,1,,,Doos 15 / 16
c1ff9706-bc5a-525f-922c-c6c8207fea87,tg:lhob:374_#1,e22_OtherIdentifiers,1,Dominokaarten van Frans Pont,,
1dae78a3-a44c-516b-bfcf-92ee8b1809c0,tg:lhob:364_#1,e22_OtherIdentifiers,1,,Doos 15 / 6,
1dae78a3-a44c-516b-bfcf-92ee8b1809c0,tg:lhob:364_#1,e22_OtherIdentifiers,1,Bril van Charel Janssens,,
10e5c949-928a-5406-94a8-4d3820342482,tg:lhob:316_#1,e22_OtherIdentifiers,1,,Doos 13 / 15,
10e5c949-928a-5406-94a8-4d3820342482,tg:lhob:316_#1,e22_OtherIdentifiers,1,Bril van Emmanuel de Bom,,
