ResourceID,brocade.id,card,order,adm.acquiredVia,Registration Number value,Location Number,adm.isadPartOf,Warehouse Location (begin),adm.note,Serial Number,Warehouse Location (ende)
bd7ce636-cc81-583e-a78c-3b8f0752a379,tg:lhob:683,Items,1,tr:lh:2718,53782,R 985 / E,,,,,
5a61ea94-31bc-52dd-a755-d066d29d47b9,tg:lhob:379,Items,1,tr:lh:2595,47406,R 985 / V,isad:lh:135488,V3 B 1 A1,Doos 19 / 21,,
bd6a24a7-aded-52a3-b50c-56afca72e232,tg:lhob:396,Items,1,tr:lh:2190,41376,,isad:lh:134666,V3 B 1 A1,,Doos 15 / 40,
ab42045f-6e40-5c85-9079-435c3680d52a,tg:lhob:115,Items,1,tr:lh:6595,166147,,isad:lh:134459,V3 B 1 A1,,Doos 3 / 5,
cd2daffa-e245-5210-a2df-5e8d206c2148,tg:lhob:545,Items,1,tr:lh:7740,200981,S 5621 / E,,,,,
10ca59b0-91e3-567e-998d-80535d66fd46,tg:lhob:400,Items,1,,,,isad:lh:134493,V3 B 1 A1,,Doos 15 / 44,
d0040669-e75c-5a8b-871b-f280d696ae37,tg:lhob:284,Items,1,tr:lh:7740,200984,S 5621 / V,isad:lh:134700,V3 B 1 A1,Doos 12 / 15,,
10478800-d203-5ea2-95a8-f28860cc5b30,tg:lhob:142,Items,1,tr:lh:6928,,C 395 / V,isad:lh:109818,V3 B 1 A1,Doos 4 / 9,,
bf1d3d08-8f80-5f85-9d9d-d2958cbd6e67,tg:lhob:292,Items,1,,203541,,isad:lh:134513,V3 B 1 A1,,Doos 12 / 21,
5ebb0f3c-cace-5b57-9dc3-cf73efb31735,tg:lhob:338,Items,1,,,,isad:lh:134720,V3 B 1 A1,,Doos 14 / 19,
8e3b6e00-2a8c-5128-8fb0-f42e519e1290,tg:lhob:441,Items,1,,,A 357 / E,,,,,
06ef615d-2dcf-5abe-90d8-5149d5f7d4b5,tg:lhob:695,Items,1,tr:lh:7376,195826/1,,isad:lh:134288,V3 D,,,
2c34ea20-351b-5681-8156-6799501d4711,tg:lhob:380,Items,1,,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 15 / 19,,
b5714f50-9ce1-55a7-a857-8d0d261f8701,tg:lhob:553,Items,1,tr:lh:7740,200995,S 5621 / E,,,,,
0e3c664a-3014-5589-93a4-614dc7ed5327,tg:lhob:103,Items,1,tr:lh:2497,42161,,isad:lh:134273,V3 B 1 A1,,Doos 2 / 19,
5cf6fb19-8a38-5706-90ee-85f1a946e015,tg:lhob:416,Items,1,tr:lh:2412,,A 357 / E,,,,,
ab69a3bf-86ff-5650-895c-5337902b75cd,tg:lhob:601,Items,1,,,S 395 / E,,,,,
8d2ffbfc-9e25-5c51-be3e-38a01561baf4,tg:lhob:314,Items,1,tr:lh:315,6893,K 376 / V,isad:lh:134288,V3 B 1 A1,Doos 13 / 14,,
9b7353fd-82c9-510e-9e2f-56bb58d88ad9,tg:lhob:197,Items,1,tr:lh:9709,,J 2547 / V,isad:lh:134493,V3 B 1 A1,Doos 8 / 4,,
d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,tg:lhob:528,Items,1,tr:lh:6603,163526,G 395 / E,,,,,
f9af0ba4-1e21-5c18-8ff9-f3f147c5be4f,tg:lhob:482,Items,1,tr:lh:6444,158169,J 422 / V,isad:lh:134507,V3 D,,,
44e552c6-c31f-5bd1-99c9-0b205cec829e,tg:lhob:656,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,
aace5079-d656-5063-aa96-7b87fd00e060,tg:lhob:713,Items,1,,,BB 210 / V,isad:lh:148672,V3 B,In verwerking,,
76a01cb8-b151-59c3-b593-b02b67de188f,tg:lhob:343,Items,1,,1684,,isad:lh:134387,V3 B 1 A1,,Doos 14 / 24,
ea048364-6101-5492-bef4-6573a816a250,tg:lhob:590,Items,1,,,S 395 / E,,,,,
a319e252-eb18-5a27-80bb-fa2132d48bf9,tg:lhob:98,Items,1,tr:lh:6514,147122,B 153 / V,isad:lh:134417,V3 B 1 A1,Doos 2 / 3,,
89346987-6164-5d91-94a1-ab22af09b8e9,tg:lhob:77,Items,1,tr:lh:6595,166.138,A 493 / V,isad:lh:134335,V3 B 1 A1,Doos 1 / 9,,
4556877c-3dec-5bf7-a0ca-35af1a796385,tg:lhob:210,Items,1,tr:lh:4767,92950,C 2632 / V,isad:lh:134690,V3 B 1 A1,,,
0f54d3fa-a71c-5e14-ba61-7ea676a233b3,tg:lhob:640,Items,1,tr:lh:4158,80543,Y 855/ E,,,,,
