ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,source role,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier
cd54c091-7319-5f1b-be7b-7f125c03b86b,tg:lhob:598,e73_CreationActors,3,b14227ae-7f37-5207-b978-9c45d419a8e0,au::14914,ds,designers,,,
e9d37355-8a66-5db9-8713-60f291784aca,tg:lhob:588,e73_CreationActors,3,53b5a3d5-8f64-544f-8e25-630b5a4fbdd7,au::19640,ds,designers,,,
fa1c69db-2ee0-5b8f-b6b8-cb3bc069ffbd,tg:lhob:625,e73_CreationActors,2,a7908bf1-46ff-56b6-a0e0-6929dd790be8,au::21605,ds,designers,,,
ca5d2723-43a7-58c5-8ec0-c8fd952e3ddc,tg:lhob:772,e73_CreationActors,2,57b39b6b-0720-5c1d-9d3a-57330a119cf2,au::8472,ds,designers,,,
7053f956-b38e-5665-9d1c-2f0331347ec9,tg:lhob:432,e73_CreationActors,1,a395bdea-7fc9-5add-b0b6-a41323769664,au::112021,ma,makers,,,
6001aad0-7445-51cf-b8b9-c4f37b450c5d,tg:lhob:28,e73_CreationActors,1,57b51362-1ba4-53e0-ab5b-b6d206cecba9,au::33932,ar,artists (visual artists),,,
d7bb3ac7-a800-5e75-966b-4303219d8fca,tg:lhob:591,e73_CreationActors,3,e3e2c546-0f44-5681-b9e8-12a5c5f6edfc,au::6036,ds,designers,,,
093d97c0-73c8-5166-88f3-4a31f6ac5637,tg:lhob:538,e73_CreationActors,4,4d68059c-879e-5987-98c2-4125bc777516,au::6034,ds,designers,,,
1c70cb59-17bd-520b-ab0e-5aee93e5e48a,tg:lhob:603,e73_CreationActors,3,d790c752-47e5-5765-94f7-c3c0db710333,au::4092,ds,designers,,,
cf8d332e-0a5d-549f-b5b1-0cc78da2487d,tg:lhob:507,e73_CreationActors,1,9df7caac-2ec5-579b-bac0-ab9d9061402c,au::5708,ar,artists (visual artists),,,
b920250f-639d-5a4c-983d-5dd5673e9b3b,tg:lhob:433,e73_CreationActors,1,a395bdea-7fc9-5add-b0b6-a41323769664,au::112021,ma,makers,,,
04771dcb-2029-567a-a786-c76208457897,tg:lhob:529,e73_CreationActors,3,ddff899d-74a9-5317-b2b3-21c260366d86,au::14923,ds,designers,,,
0abbb864-a72f-5827-bc94-3da0b5ff30af,tg:lhob:29,e73_CreationActors,1,5a5f3541-f723-58f7-b969-664da58ea71e,au::4707,ar,artists (visual artists),,,
e25c8ed0-cf2e-5817-a9e2-d6f01a3bd362,tg:lhob:580,e73_CreationActors,3,b14227ae-7f37-5207-b978-9c45d419a8e0,au::14914,ds,designers,,,
0468d01e-d8d4-5685-a9dd-d46c02c4cd7c,tg:lhob:530,e73_CreationActors,3,53b5a3d5-8f64-544f-8e25-630b5a4fbdd7,au::19640,ds,designers,,,
bbed8364-c078-57dd-bc7b-bec9ad3be94e,tg:lhob:448,e73_CreationActors,3,e3e2c546-0f44-5681-b9e8-12a5c5f6edfc,au::6036,ds,designers,,,
c66c86ef-afc6-56fb-a7ce-bf6c8c756735,tg:lhob:589,e73_CreationActors,2,3c5cbc44-f02c-5980-b2bc-ad173abea112,au::11379,ds,designers,,,
1e9e6b2f-bdd6-54d1-a999-290c165c9fa0,tg:lhob:483,e73_CreationActors,1,f06d6b61-e598-5b5f-9759-06361480c229,au::19161,ma,makers,,,
8b1a0c93-bdba-53a3-b4ae-adc49bafdae1,tg:lhob:634,e73_CreationActors,2,e0e098ec-06aa-51d6-8a19-e3f34841e528,au::12385,ma,makers,,,
15bb6d7d-57e4-53a9-bf04-b93e809ba0d4,tg:lhob:773,e73_CreationActors,2,57b39b6b-0720-5c1d-9d3a-57330a119cf2,au::8472,ds,designers,,,
f88b49eb-3644-548a-8ad2-57f9deb7b1c1,tg:lhob:415,e73_CreationActors,2,7aebbcf4-9e91-5bdd-82da-9e52487c92dd,au::112019,ma,makers,,,
