ResourceID,brocade.id,card,dataset,colour_source,material_source,Colour,Material
fd776239-8ab8-575e-8b56-30fe175915c4,tg:lhob:98_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,gold (color),metal
10e5c949-928a-5406-94a8-4d3820342482,tg:lhob:316_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
a90f4eb0-8e73-5800-a1e2-58398c65fa15,tg:lhob:306_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
4a7d587c-ae47-5efa-8395-f08f4463d2c5,tg:lhob:108_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
e87bebca-7a22-5965-92c4-7bea40fd0644,tg:lhob:482_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
5762285e-18a0-58ff-ae67-0ea2e8f8eaa7,tg:lhob:233_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,black (color),plastic (material)
0ef5f528-2fb1-57a9-a345-86ea406ed4f9,tg:lhob:155_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,yellow (color),copper (metal)
38c2f7ef-eeb5-50dc-968e-083486a58e25,tg:lhob:668_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,enamel (fused coating)
1a09a548-becc-58d0-9c41-b566a1614f01,tg:lhob:380_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
1cf41fea-c0e7-5dc0-9b63-7f546eefeef7,tg:lhob:137_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,plastic (material)
b92860b4-b40a-52d9-bb13-fcaed48d76c8,tg:lhob:127_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,wood (plant material)
eb021d02-8453-5af7-a378-e1ec3a1a1576,tg:lhob:329_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
272080cc-4c23-5b18-9074-5f1633242e06,tg:lhob:339_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
aaed007a-0306-519e-ba68-c71c931156a0,tg:lhob:581_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
bec07c58-4c61-5373-8739-f9d4f98e5a93,tg:lhob:163_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,leather
5cdbec1b-c480-59fb-8ee2-8c4326ba341c,tg:lhob:248_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,brown (color),plastic (material)
f880b806-edf6-5304-9bf1-5580b495d8f0,tg:lhob:330_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,yellow (color),plastic (material)
04b6b000-8241-5f1e-87a9-4b5f97da87e4,tg:lhob:258_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,black (color),plastic (material)
a647bd3c-55db-5d4c-9d1e-cafc3f255d7f,tg:lhob:320_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
e89a5893-b6f7-5d34-a485-5d4f30a104da,tg:lhob:565_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
2ffc4b0a-cb21-5ea7-90aa-6946eb48bcf5,tg:lhob:575_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
674a061b-d073-5520-a84d-f42298841e47,tg:lhob:507_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
d72d9142-de09-5ee0-a278-da88a93a9120,tg:lhob:352_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
de23378c-7187-5d57-a6eb-cedd0614cdb1,tg:lhob:719_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
6f2643d8-971e-5fa3-a599-e16f53d2d3ef,tg:lhob:293_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,leather
6828cb82-76ce-574a-8600-22e3c8cf6d7d,tg:lhob:694_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,silver (metal)
126e3d3d-3cf1-5ef3-8512-ac246e338dd6,tg:lhob:276_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,leather
d901d9fc-8b5b-5647-a6bb-da0dd8989a27,tg:lhob:100_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
36a33070-f47c-5c8e-a1b6-0a050b119c95,tg:lhob:80_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,plastic (material)
f622dfe2-d40f-567a-a1a3-9d5fb4337309,tg:lhob:451_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,,brown (color),
8dd0f6ff-3db4-5d0d-88b0-02608d96025f,tg:lhob:590_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
e26aafb7-29af-5960-a8d6-d11fd75d8f9c,tg:lhob:574_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,enamel (fused coating)
44c60c2b-ced5-526d-8624-9d922da3044d,tg:lhob:321_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
5674cc70-2c30-50bb-8cdc-3969358b02c7,tg:lhob:259_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,black (color),plastic (material)
8792d88e-0b8e-54da-9a34-4f27e1e50ad4,tg:lhob:331_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
5bceb810-ae43-5c6c-a528-45a59d48ce27,tg:lhob:249_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,plastic (material)
af0e4434-4e0d-5a00-b7d6-cc560cf298cb,tg:lhob:398_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
bdf33472-7135-5203-b12b-a7d963b7a8d1,tg:lhob:292_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,plastic (material)
22ef78fa-bd97-5bbf-85b6-0f1f4f85491e,tg:lhob:343_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
6ba0fc35-8584-565a-9850-d75c9ee826f2,tg:lhob:353_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,gold (color),copper (metal)
e117ed27-df1f-5383-9196-647dfcbbd70d,tg:lhob:516_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,ivory (material)
f2271283-93d4-535e-877b-ca446b3f28a9,tg:lhob:506_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,,white (color),
bc68dc75-0525-5ef5-9fb7-bc87d52337cb,tg:lhob:670_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
cf064bed-a008-5232-a0e8-e1adb15cb8bb,tg:lhob:708_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,wood (plant material)
88a347c9-d256-5249-b4ee-f500923f989c,tg:lhob:42_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
cf91eac0-5663-5787-96ea-26418e9a595e,tg:lhob:493_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
dbf92233-fe29-5c68-a684-c56126de31d7,tg:lhob:307_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
99be967f-2ccf-5929-9179-bc63ded897bf,tg:lhob:317_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,black (color),plastic (material)
0638a390-f96c-548d-8aea-9a53aabe97c7,tg:lhob:669_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,enamel (fused coating)
690d112c-6d32-5b67-a033-956ee9881562,tg:lhob:711_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
74a1ffe3-a669-5dfe-a28d-e4048506d2cd,tg:lhob:701_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
35c153de-e70f-5854-ae37-cd783da16e50,tg:lhob:126_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,,green (color),
2f000bc7-68f0-5ebf-ac49-286049fd5c8e,tg:lhob:338_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
f57e9bfe-adfe-5ea3-bb3f-2039eba61baa,tg:lhob:240_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,plastic (material)
6037badd-179d-5b56-8cee-23cefcf26e1d,tg:lhob:328_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
ac53766c-bfbd-5f16-a33b-236a83fad658,tg:lhob:250_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
c2ab530d-780c-5e31-b899-7127dc4fa015,tg:lhob:92_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,black (color),plastic (material)
2b2a26bb-a359-509f-adbf-8557dc36d843,tg:lhob:725_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
8533f87d-0c8f-5909-91b9-e3ce4b5953e8,tg:lhob:59_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,green (color),textile materials
e4bdd3bf-ae98-5044-8bce-39272e279074,tg:lhob:686_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,enamel (fused coating)
f0563060-0fbb-54e9-9fbc-5e119555a1ba,tg:lhob:112_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
805a4c4d-211c-5c38-8970-501a91b862fc,tg:lhob:102_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
5d1528ce-dd7a-5d03-b1ad-ab9d9788772f,tg:lhob:662_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,enamel (fused coating)
a0851cb0-5e8a-5155-aa3d-939b5419f8c1,tg:lhob:672_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
590ef479-76ee-5866-9df2-68144f41b085,tg:lhob:229_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,black (color),plastic (material)
64247c66-52e8-559e-b980-70d4b58807ea,tg:lhob:341_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
312b3b54-041f-518c-b015-0f05b8e12b65,tg:lhob:239_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,brown (color),plastic (material)
d3c64fba-be4a-549c-90f9-42930efa722b,tg:lhob:323_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
74eb7636-6a3b-5270-a017-0139d9dfbb51,tg:lhob:566_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
50ae0b0e-5aef-5966-937f-a2809b5ce320,tg:lhob:491_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
2205d13a-e529-5202-a0a5-d504f709e6f6,tg:lhob:636_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,plastic (material)
a8815de7-b0e9-5da1-abd7-3125bf6f33fc,tg:lhob:305_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
67d2755d-5ab5-56de-8bc2-af96a6e1b631,tg:lhob:242_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,silver (color),plastic (material)
1e371b37-7914-5599-bc82-c26b7aa4be4c,tg:lhob:407_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,red (color),textile materials
f7db546c-4e14-5a0f-b6aa-ea92b0409e96,tg:lhob:619_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
d0d0a622-5c48-5ac4-9d5d-510269ed5ff1,tg:lhob:134_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,black (color),wood (plant material)
4037c2ad-7e04-572f-bb58-9f224c98f86c,tg:lhob:124_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,wood (plant material)
26f7d697-d86c-5c36-974f-7afc73707c20,tg:lhob:156_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,yellow (color),copper (metal)
2e18bc34-aad9-5774-be9a-8fcf6690c3d7,tg:lhob:703_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,wood (plant material)
1aa4cf12-c9de-5edd-8838-41d7ef9a8244,tg:lhob:713_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,paper (fiber product)
aa6e899e-9549-5aa3-9d69-c64fedfaf8d5,tg:lhob:348_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
4a34ccbb-db21-5a6a-a8e8-5fbf2cf7e22e,tg:lhob:358_#1,e22_MaterialColour,lhob,kenmerken/lhmateriaalaanvob.lhmateriaalkleurob,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,yellow (color),plastic (material)
77bb60a3-9d4c-5852-b149-538d8bc29118,tg:lhob:220_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
a86a8d6d-9d04-55d2-b3d5-1ff904e90eaf,tg:lhob:304_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
95570bae-35b2-596a-af69-954ecc892370,tg:lhob:314_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
2424c601-68dd-5168-abae-d5703f713525,tg:lhob:480_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
51a0c9d2-9203-5879-8c81-aeb7da7f1043,tg:lhob:376_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,glass (material)
caeade13-c766-5cba-88f8-af75b3d7b7b1,tg:lhob:243_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,plastic (material)
1e5c8652-e886-559d-bb27-045f44398145,tg:lhob:253_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,plastic (material)
0dea05c0-7780-5287-ba0e-1e15b53aae27,tg:lhob:135_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,metal
fd9e1133-02fb-57fd-8b68-26ff7f959ae7,tg:lhob:618_#1,e22_MaterialColour,lhob,,kenmerken/lhmateriaalaanvob.lhmateriaalsoortob,,textile materials
