ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Production Actor Role,Production Actor Widget,Production Actor Identifier
b479dc34-92f2-5b7f-8547-a60f3408d45c,tg:lhsc:891_#1,e22_ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,casters (people),"dlod={""name"":""Petermann"",""ark"":""ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f"",""uri"":""/agents/corporate_entities/19918"",""id"":""au::54747"",""nameWithContext"":[""Fonderie Nationbale des Bronzes""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f
4abb3b84-4ce8-57c0-89be-fbf813c2198c,tg:lhsc:1152_#1,e22_ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,casters (people),"dlod={""name"":""Petermann"",""ark"":""ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f"",""uri"":""/agents/corporate_entities/19918"",""id"":""au::54747"",""nameWithContext"":[""Fonderie Nationbale des Bronzes""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f
2d425bfb-e0ff-5051-a9d6-ed4b8f7571e1,tg:lhsc:684_#1,e22_ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,casters (people),"dlod={""name"":""Petermann"",""ark"":""ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f"",""uri"":""/agents/corporate_entities/19918"",""id"":""au::54747"",""nameWithContext"":[""Fonderie Nationbale des Bronzes""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f
99353f2b-b76e-5743-8bed-8c4ca286cea0,tg:lhsc:1312_#1,e22_ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,casters (people),"dlod={""name"":""Batardy - cire perdue"",""ark"":""ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af"",""uri"":""/agents/corporate_entities/16486"",""id"":""au::54809"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af
71197f9a-eda0-5a48-a603-1aabfdad48e8,tg:lhsc:416_#1,e22_ProductionActors,2,2a158464-3853-5228-bc93-e52fe35e7e9d,au::51240,casters (people),"dlod={""name"":""Compagnie des Bronzes"",""ark"":""ark:/83110/x0/2a158464-3853-5228-bc93-e52fe35e7e9d"",""uri"":""/agents/corporate_entities/18585"",""id"":""au::51240"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2a158464-3853-5228-bc93-e52fe35e7e9d
68bcea79-5ca1-54bb-934b-bb6c0b2a33eb,tg:lhsc:1060_#1,e22_ProductionActors,2,2a158464-3853-5228-bc93-e52fe35e7e9d,au::51240,casters (people),"dlod={""name"":""Compagnie des Bronzes"",""ark"":""ark:/83110/x0/2a158464-3853-5228-bc93-e52fe35e7e9d"",""uri"":""/agents/corporate_entities/18585"",""id"":""au::51240"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2a158464-3853-5228-bc93-e52fe35e7e9d
eb8ba2f9-eb7e-510a-b083-64af2fe25558,tg:lhsc:1186_#1,e22_ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,casters (people),"dlod={""name"":""Batardy - cire perdue"",""ark"":""ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af"",""uri"":""/agents/corporate_entities/16486"",""id"":""au::54809"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af
2969c4f6-c9c1-5e50-b73f-7750f86206bb,tg:lhsc:1196_#1,e22_ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,casters (people),"dlod={""name"":""Batardy - cire perdue"",""ark"":""ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af"",""uri"":""/agents/corporate_entities/16486"",""id"":""au::54809"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af
f5382260-b465-5498-9172-bee451612853,tg:lhsc:837_#1,e22_ProductionActors,2,85823574-10d3-516e-bc4a-8996d4c5ecc3,au::14387,casters (people),"dlod={""name"":""Wilfried Pas"",""ark"":""ark:/83110/x0/85823574-10d3-516e-bc4a-8996d4c5ecc3"",""uri"":""/agents/people/59567"",""id"":""au::14387"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/85823574-10d3-516e-bc4a-8996d4c5ecc3
86bbe803-b393-5da1-9acc-36d370b272d6,tg:lhsc:1063_#1,e22_ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,casters (people),"dlod={""name"":""Batardy - cire perdue"",""ark"":""ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af"",""uri"":""/agents/corporate_entities/16486"",""id"":""au::54809"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af
