ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Production Actor Role,Production Actor Widget,Production Actor Identifier
a6e2381c-7847-51ec-af1b-da3f0c6ce595,tg:lhsc:416,ProductionActors,2,2a158464-3853-5228-bc93-e52fe35e7e9d,au::51240,casters (people),"dlod={""name"":""Compagnie des Bronzes"",""ark"":""ark:/83110/x0/2a158464-3853-5228-bc93-e52fe35e7e9d"",""uri"":""/agents/corporate_entities/18585"",""id"":""au::51240"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2a158464-3853-5228-bc93-e52fe35e7e9d
c685a484-4d31-5466-bf26-9fdc174b6c39,tg:lhsc:837,ProductionActors,2,85823574-10d3-516e-bc4a-8996d4c5ecc3,au::14387,casters (people),"dlod={""name"":""Wilfried Pas"",""ark"":""ark:/83110/x0/85823574-10d3-516e-bc4a-8996d4c5ecc3"",""uri"":""/agents/people/59567"",""id"":""au::14387"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/85823574-10d3-516e-bc4a-8996d4c5ecc3
d6b3c6c4-1969-5973-a355-c214d231f892,tg:lhsc:1063,ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,casters (people),"dlod={""name"":""Batardy - cire perdue"",""ark"":""ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af"",""uri"":""/agents/corporate_entities/16486"",""id"":""au::54809"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af
e98844f2-7471-5e50-8f89-434e2287cff5,tg:lhsc:884,ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,casters (people),"dlod={""name"":""Petermann"",""ark"":""ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f"",""uri"":""/agents/corporate_entities/19918"",""id"":""au::54747"",""nameWithContext"":[""Fonderie Nationbale des Bronzes""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f
6dc55640-b9fc-569d-beac-580b064e9b39,tg:lhsc:684,ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,casters (people),"dlod={""name"":""Petermann"",""ark"":""ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f"",""uri"":""/agents/corporate_entities/19918"",""id"":""au::54747"",""nameWithContext"":[""Fonderie Nationbale des Bronzes""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f
a7afd071-e036-5c1c-958a-551cda78eb5d,tg:lhsc:1185,ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,casters (people),"dlod={""name"":""Petermann"",""ark"":""ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f"",""uri"":""/agents/corporate_entities/19918"",""id"":""au::54747"",""nameWithContext"":[""Fonderie Nationbale des Bronzes""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f
226f9620-ce6f-5b66-ad3d-69eaeaae8ce0,tg:lhsc:1186,ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,casters (people),"dlod={""name"":""Batardy - cire perdue"",""ark"":""ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af"",""uri"":""/agents/corporate_entities/16486"",""id"":""au::54809"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af
08ff3a3c-dd11-5a47-9d9f-ea3ec421bca1,tg:lhsc:1060,ProductionActors,2,2a158464-3853-5228-bc93-e52fe35e7e9d,au::51240,casters (people),"dlod={""name"":""Compagnie des Bronzes"",""ark"":""ark:/83110/x0/2a158464-3853-5228-bc93-e52fe35e7e9d"",""uri"":""/agents/corporate_entities/18585"",""id"":""au::51240"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2a158464-3853-5228-bc93-e52fe35e7e9d
08a2e2fe-05ae-55be-b8cc-df795bcf63bb,tg:lhsc:891,ProductionActors,2,c47d5c18-0ab6-5160-a169-be25102e040f,au::54747,casters (people),"dlod={""name"":""Petermann"",""ark"":""ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f"",""uri"":""/agents/corporate_entities/19918"",""id"":""au::54747"",""nameWithContext"":[""Fonderie Nationbale des Bronzes""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c47d5c18-0ab6-5160-a169-be25102e040f
82368831-7662-5e52-a07b-eba091297e05,tg:lhsc:1312,ProductionActors,2,24051867-3ddb-58b7-b9ad-e9ff61fa38af,au::54809,casters (people),"dlod={""name"":""Batardy - cire perdue"",""ark"":""ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af"",""uri"":""/agents/corporate_entities/16486"",""id"":""au::54809"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/24051867-3ddb-58b7-b9ad-e9ff61fa38af
