ResourceID,brocade.id,card,order,source_code,ire.isaar.uuid,ISAAR Brocade ID,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier
cd54c091-7319-5f1b-be7b-7f125c03b86b,tg:lhob:598,e73_OriginalBrocade,1,vb,e4bfa316-24f5-5a24-b099-92de69e3e6c8,au::16589,keywords,,"dlod={""name"":""Ger Schmook"",""ark"":""ark:/83110/x0/e4bfa316-24f5-5a24-b099-92de69e3e6c8"",""uri"":""/agents/people/85284"",""id"":""au::16589"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e4bfa316-24f5-5a24-b099-92de69e3e6c8
cd54c091-7319-5f1b-be7b-7f125c03b86b,tg:lhob:598,e73_OriginalBrocade,2,vb,e5c67e76-9926-5020-b1c7-c23d8049ef20,au::4732,keywords,,"dlod={""name"":""Cultuurraad voor de Nederlandse Cultuurgemeenschap"",""ark"":""ark:/83110/x0/e5c67e76-9926-5020-b1c7-c23d8049ef20"",""uri"":""/agents/corporate_entities/18823"",""id"":""au::4732"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e5c67e76-9926-5020-b1c7-c23d8049ef20
e6d5ea11-0a81-54c5-90f8-56da1f9621e4,tg:lhob:31,e73_OriginalBrocade,1,kw,ebd00cc4-2119-5474-b6ef-42b56014bfd9,au::4333,keywords,,"dlod={""name"":""Hendrik Conscience"",""ark"":""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""uri"":""/agents/people/68347"",""id"":""au::4333"",""nameWithContext"":[""H. Geweéten""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9
e9d37355-8a66-5db9-8713-60f291784aca,tg:lhob:588,e73_OriginalBrocade,1,kw,c526cbe4-717b-5c2c-9bfe-491f98d553c0,au::7555,keywords,,"dlod={""name"":""Maurice Gilliams"",""ark"":""ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0"",""uri"":""/agents/people/87078"",""id"":""au::7555"",""nameWithContext"":[""Floris van Merckem""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c526cbe4-717b-5c2c-9bfe-491f98d553c0
e9d37355-8a66-5db9-8713-60f291784aca,tg:lhob:588,e73_OriginalBrocade,2,vb,e4bfa316-24f5-5a24-b099-92de69e3e6c8,au::16589,keywords,,"dlod={""name"":""Ger Schmook"",""ark"":""ark:/83110/x0/e4bfa316-24f5-5a24-b099-92de69e3e6c8"",""uri"":""/agents/people/85284"",""id"":""au::16589"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e4bfa316-24f5-5a24-b099-92de69e3e6c8
0f1119cf-e97d-5be3-9aa0-de25a53e1e55,tg:lhob:786,e73_OriginalBrocade,1,kw,12ac6a87-1263-5a37-98c6-bfc8655a7c80,au::13527,keywords,,"dlod={""name"":""May Néama"",""ark"":""ark:/83110/x0/12ac6a87-1263-5a37-98c6-bfc8655a7c80"",""uri"":""/agents/people/66777"",""id"":""au::13527"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/12ac6a87-1263-5a37-98c6-bfc8655a7c80
9fe0854f-f686-5bb9-955e-7bbd13058140,tg:lhob:647,e73_OriginalBrocade,1,vb,c9344b7a-af60-5204-8829-9258d362d4e0,au::21743,keywords,,"dlod={""name"":""Yver en Broedermin"",""ark"":""ark:/83110/x0/c9344b7a-af60-5204-8829-9258d362d4e0"",""uri"":""/agents/corporate_entities/21059"",""id"":""au::21743"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c9344b7a-af60-5204-8829-9258d362d4e0
7f9aef31-a0d4-532d-8121-75b18dda09df,tg:lhob:657,e73_OriginalBrocade,1,vb,c9344b7a-af60-5204-8829-9258d362d4e0,au::21743,keywords,,"dlod={""name"":""Yver en Broedermin"",""ark"":""ark:/83110/x0/c9344b7a-af60-5204-8829-9258d362d4e0"",""uri"":""/agents/corporate_entities/21059"",""id"":""au::21743"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c9344b7a-af60-5204-8829-9258d362d4e0
845c0e30-9370-5f69-b807-060165902df0,tg:lhob:88,e73_OriginalBrocade,1,kw,c07a8ab2-904e-5652-8309-e8b38a86c0c8,au::2044,keywords,,"dlod={""name"":""Leonard Lodewijk de Bo"",""ark"":""ark:/83110/x0/c07a8ab2-904e-5652-8309-e8b38a86c0c8"",""uri"":""/agents/people/90156"",""id"":""au::2044"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/c07a8ab2-904e-5652-8309-e8b38a86c0c8
845c0e30-9370-5f69-b807-060165902df0,tg:lhob:88,e73_OriginalBrocade,2,vb,2500524b-7503-5185-8fc7-c6824bb627b5,au::2263,keywords,,"dlod={""name"":""Jan Bols"",""ark"":""ark:/83110/x0/2500524b-7503-5185-8fc7-c6824bb627b5"",""uri"":""/agents/people/89372"",""id"":""au::2263"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/2500524b-7503-5185-8fc7-c6824bb627b5
