ResourceID,brocade.id,card,order,ire.isaar.uuid,ire.isaar.id,Depicted Item Role,Depicted Item Widget,Depicted Item Identifier
3d67e26f-4655-5fce-b4e5-6b04882dbe74,tg:lhsc:1130,e73_DepictedItems,2,d88df62e-28bd-51fd-b79e-a09947e7ea30,au::54822,keywords,"dlod={""name"":""François Rabelais"",""ark"":""ark:/83110/x0/d88df62e-28bd-51fd-b79e-a09947e7ea30"",""uri"":""/agents/people/48163"",""id"":""au::54822"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d88df62e-28bd-51fd-b79e-a09947e7ea30
bd3587c0-26e2-5d1a-aa01-f9665e3d2654,tg:lhsc:1048,e73_DepictedItems,1,e9cb7f19-c90e-5b5c-a653-7c61f8ae37dd,au::17904,keywords,"dlod={""name"":""Max Suremont"",""ark"":""ark:/83110/x0/e9cb7f19-c90e-5b5c-a653-7c61f8ae37dd"",""uri"":""/agents/people/57604"",""id"":""au::17904"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/e9cb7f19-c90e-5b5c-a653-7c61f8ae37dd
13e37524-f03c-591b-8dbf-7814a6fc95e2,tg:lhsc:31,e73_DepictedItems,2,d36472e7-cc21-5125-b0f4-aeac95a4ef79,au::775,keywords,"dlod={""name"":""Piet van Assche"",""ark"":""ark:/83110/x0/d36472e7-cc21-5125-b0f4-aeac95a4ef79"",""uri"":""/agents/people/51083"",""id"":""au::775"",""nameWithContext"":[""L. Ernest Jz."",""Oscar Jordens"",""E. Rica""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/d36472e7-cc21-5125-b0f4-aeac95a4ef79
41b4a25e-fb9e-5f1c-898b-5cf330d4ad97,tg:lhsc:1120,e73_DepictedItems,2,ce3678e2-7363-5a72-b6b1-5cb1ecf4a9e7,au::18437,keywords,"dlod={""name"":""Felix Timmermans"",""ark"":""ark:/83110/x0/ce3678e2-7363-5a72-b6b1-5cb1ecf4a9e7"",""uri"":""/agents/people/61057"",""id"":""au::18437"",""nameWithContext"":[""Stelijn Koldijs"",""Polleke van Mher""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ce3678e2-7363-5a72-b6b1-5cb1ecf4a9e7
8fc8dce5-273f-5de5-9cd3-c3e9397fa794,tg:lhsc:932,e73_DepictedItems,2,ebd00cc4-2119-5474-b6ef-42b56014bfd9,au::4333,keywords,"dlod={""name"":""Hendrik Conscience"",""ark"":""ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9"",""uri"":""/agents/people/68347"",""id"":""au::4333"",""nameWithContext"":[""H. Geweéten""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/ebd00cc4-2119-5474-b6ef-42b56014bfd9
52f35a6b-134e-5313-b4f1-cd3d68ec6b05,tg:lhsc:922,e73_DepictedItems,2,7113bf60-4d7f-5e59-8211-53151e404e61,au::14861,keywords,"dlod={""name"":""Christopher Plantin"",""ark"":""ark:/83110/x0/7113bf60-4d7f-5e59-8211-53151e404e61"",""uri"":""/agents/people/68906"",""id"":""au::14861"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/7113bf60-4d7f-5e59-8211-53151e404e61
ad12781f-22b9-5373-bbab-d777cc367024,tg:lhsc:786,e73_DepictedItems,2,67b78ec4-0a19-5856-99a3-7fdb36d5ef22,au::13075,keywords,"dlod={""name"":""Pol de Mont"",""ark"":""ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22"",""uri"":""/agents/people/69759"",""id"":""au::13075"",""nameWithContext"":[""Janne van Assenede"",""Jan Dingen Dingemans"",""Karl"",""Montsalvat"",""Multafero"",""Nemo"",""Olympio"",""A. Scalde""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/67b78ec4-0a19-5856-99a3-7fdb36d5ef22
9515c8fd-3cc2-5ca5-bdab-09e5b07cf607,tg:lhsc:1256,e73_DepictedItems,2,5862bed4-ab84-5ff0-bcb2-1faf15478a2e,au::224,keywords,"dlod={""name"":""Albert I"",""ark"":""ark:/83110/x0/5862bed4-ab84-5ff0-bcb2-1faf15478a2e"",""uri"":""/agents/people/63176"",""id"":""au::224"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/5862bed4-ab84-5ff0-bcb2-1faf15478a2e
b6a9e149-8ffb-558d-ad92-c2a949f5b4ba,tg:lhsc:796,e73_DepictedItems,2,5fe44f3e-b12f-56a8-b6cc-976a8c988e10,au::1539,keywords,"dlod={""name"":""Peter Benoit"",""ark"":""ark:/83110/x0/5fe44f3e-b12f-56a8-b6cc-976a8c988e10"",""uri"":""/agents/people/57779"",""id"":""au::1539"",""nameWithContext"":[""Pol Arelbeca"",""Bratski"",""Palfi""],""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/5fe44f3e-b12f-56a8-b6cc-976a8c988e10
afa918e4-2af9-5440-a31e-0be0be4f8a86,tg:lhsc:657,e73_DepictedItems,2,47e2745d-af28-5ec1-b80c-45ed502fb595,au::19819,keywords,"dlod={""name"":""Adolf Verspreeuwen"",""ark"":""ark:/83110/x0/47e2745d-af28-5ec1-b80c-45ed502fb595"",""uri"":""/agents/people/47647"",""id"":""au::19819"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""agent""}",ark:/83110/x0/47e2745d-af28-5ec1-b80c-45ed502fb595
