ResourceID,brocade.id,card,order,Mark Note,Mark Type,Mark Language
ab69a3bf-86ff-5650-895c-5337902b75cd,tg:lhob:601,Marks,2,"Mazy, M. / Mauquoy.",inscriptions,Nederlands
d8ec86e7-3dd1-58b6-8ef5-0cda6f2106d8,tg:lhob:528,Marks,2,I.,inscriptions,Nederlands
6568f72d-9329-5ca8-affd-da8775f9b2ca,tg:lhob:660,Marks,2,J. STIENON.,inscriptions,Nederlands
7d7fefa8-3307-51de-a7ac-da11e4248928,tg:lhob:637,Marks,2,E VD LINDEN VR.,inscriptions,Nederlands
049e8351-8b2c-5cca-903f-ea20425ad2aa,tg:lhob:508,Marks,2,*Ex Libris / trouw / doort / leven / Vogelina Dille-Lobe*,inscriptions,Nederlands
a59ae65d-b818-5d0e-9f9c-b7ec0aac2bd4,tg:lhob:699,Marks,1,"Opschrift in potlood deels onleesbaar: """"Geschenk / van Tokkie / ... / ... / uitvoering / Rubenscantate / Dierentuin."""" 
  
",inscriptions,Nederlands
2eae7de6-e530-56a3-acf9-d6e9b56384d3,tg:lhob:676,Marks,2,"Willekens, I.",inscriptions,Nederlands
f23cbd96-2b7d-5902-8a8e-1491530ffb68,tg:lhob:524,Marks,2,"Le Roy, H.",inscriptions,Nederlands
686aaaeb-90ba-5ddb-88fe-f13ac964755c,tg:lhob:573,Marks,2,M. VERMEIREN.,inscriptions,Nederlands
52ee1d6d-2804-50d3-bfd3-61042162ed3c,tg:lhob:709,Marks,3,Getekend Felix Timmermans in rode inkt + monogram F.T.,inscriptions,Nederlands
c7135e38-584c-5a54-8836-5433378b28ad,tg:lhob:532,Marks,2,M. VERMEIREN,inscriptions,Nederlands
6b25ae3c-1a1a-59a4-a776-a24cd0f9e1e6,tg:lhob:533,Marks,2,CANALE,inscriptions,Nederlands
d6ddc6e0-bdbd-5df8-92e4-9f59bd1f9bb1,tg:lhob:572,Marks,2,JOUVENEL,inscriptions,Nederlands
6168c962-3e49-5cc3-bc28-25b3366a6315,tg:lhob:525,Marks,2,Lemaire,inscriptions,Nederlands
ae4ddc15-90b6-5216-9c39-47a4d69fee0d,tg:lhob:677,Marks,2,PANHUYZEN.,inscriptions,Nederlands
0a65641d-3a81-502e-9c8b-d93c471274ed,tg:lhob:620,Marks,2,Heremans J.,inscriptions,Nederlands
6ff7a84d-0bc7-58a3-bd6c-db8914a0b969,tg:lhob:616,Marks,2,L. DUPUIS FECIT.,inscriptions,Nederlands
cf431aeb-e507-5698-a484-13bf523fa092,tg:lhob:641,Marks,2,MAUQUOY.,inscriptions,Nederlands
