ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,Image URL,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
02762407-114b-52cb-b815-50e59376f1e2,,AA,0,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:19_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/02762407-114b-52cb-b815-50e59376f1e2,Doos A.IX,,obituaries,record identifiers,tg:mmbdc:19_#1,,,
02762407-114b-52cb-b815-50e59376f1e2,tg:mmbdc:19_#1,e22_Archives,1,,,MMB.A.I.E.3,,,,,,,,,,,,,,,,,,,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,,e22_Dimensions,,,,,,110 x 66 mm,110,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,,e22_Dimensions,,,,,,110 x 66 mm,66,breedte,millimeters,,,,,,,,,,,,,,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,tg:mmbdc:19_#1,e22_Images,1,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/ARdEAhZtnSerYdbIZQUJDqQM,,,,,,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,tg:mmbdc:19_#1,e22_ProductionActors,1,,,,,,,,,au::115208:1,"Mayer, Emil",subjects (content of works),"No match for au::115208, subjects (content of works), Mayer, Emil",,,,,,,,,,,,,,,,
02762407-114b-52cb-b815-50e59376f1e2,tg:mmbdc:19_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1879-11-16,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,,AA,0,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:5_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/03e4637b-85a7-56bb-a14e-79f36c830407,Doos A.IX,,files (document groupings),record identifiers,tg:mmbdc:5_#1,,,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_Acquisitions,1,geschonken door baron de Meester de Ravesteyn tijdens de Algemene Vergadering Raad van Regenten op 23/02/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_Archives,1,,,MMB.A.I.E.3,,,,,,,,,,,,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,,e22_Dimensions,,,,,,225 x 174 mm,225,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,,e22_Dimensions,,,,,,225 x 174 mm,174,breedte,millimeters,,,,,,,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_Images,1,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/U1nlQXD3UQxHOa4rcL3I80NM,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_ProductionActors,1,,,,,,,,,au::115214:1,"Mayer van den Bergh, Ghislaine",subjects (content of works),"No match for au::115214, subjects (content of works), Mayer van den Bergh, Ghislaine",,,,,,,,,,,,,,,,
03e4637b-85a7-56bb-a14e-79f36c830407,tg:mmbdc:5_#1,e22_ProductionActors,2,,,,,,,,,au::115215:1,"Roest d'Alkemade, Robert de",subjects (content of works),"No match for au::115215, subjects (content of works), Roest d'Alkemade, Robert de",,,,,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,,AA,0,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:124_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/09052def-26e6-5d99-b79e-b030d0d496d1,Doos A.XII,,files (document groupings),record identifiers,tg:mmbdc:124_#1,,,
09052def-26e6-5d99-b79e-b030d0d496d1,tg:mmbdc:124_#1,e22_Archives,1,,,MMB.A.I.A.4.c,,,,,,,,,,,,,,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,,e22_Dimensions,,,,,,212 x 135 mm,212,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,,e22_Dimensions,,,,,,212 x 135 mm,135,breedte,millimeters,,,,,,,,,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,tg:mmbdc:124_#1,e22_Images,1,,,,,,,,,,,,,,,,https://dams.antwerpen.be/asset/g2Zjg8Vyr7bPatwmZLY1DZOD,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,tg:mmbdc:124_#1,e22_ProductionActors,1,,,,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",authors,,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,
09052def-26e6-5d99-b79e-b030d0d496d1,tg:mmbdc:124_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,1893-04-17,,,,,,,,,,,,,,
0aa0fe80-a3de-590d-a912-829862db9c38,,AA,0,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbdc:46_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0aa0fe80-a3de-590d-a912-829862db9c38,Doos A.IX,,scripts (documents),record identifiers,tg:mmbdc:46_#1,,,
