ResourceID,ResourceID_mat,mmb_id,mmb_id_mat,card,order,Material Records,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Record Type,Description Type,Description Language,Description
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/0c7ad28a-f03b-5752-ba46-17ec212ed0f8,object identifier,tg:mmbtk:12,record identifiers,MMB.A.2511,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Dicodyledones - Monopétales. Hypocorollie (Planche XI)
0c7ad28a-f03b-5752-ba46-17ec212ed0f8,287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12,tg:mmbtk:12_#1,e73_MaterialRecords,1,"[{""resourceId"": ""287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c644cc79-4853-442d-a103-fbdef46c9f7e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
0e6625ef-48ba-56ad-9380-98181c7cbf25,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/0e6625ef-48ba-56ad-9380-98181c7cbf25,object identifier,tg:mmbtk:16,record identifiers,MMB.A.2515,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Dicodyledones - Polypétales. Hypopétalie (Planche XV)
0e6625ef-48ba-56ad-9380-98181c7cbf25,292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16,tg:mmbtk:16_#1,e73_MaterialRecords,1,"[{""resourceId"": ""292606a5-1be4-5872-bb12-380aca0a3397"", ""ontologyProperty"": """", ""resourceXresourceId"": ""51bdb1ae-a5e0-4b16-afb9-bba0e0e516e3"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
1d2b7bbf-1b65-5d19-8cff-321195d587de,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/1d2b7bbf-1b65-5d19-8cff-321195d587de,object identifier,tg:mmbtk:7,record identifiers,MMB.A.2506,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Acotyledones - Amphigames et Gryptogames  (Planche VI)
1d2b7bbf-1b65-5d19-8cff-321195d587de,35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7,tg:mmbtk:7_#1,e73_MaterialRecords,1,"[{""resourceId"": ""35b55d11-ef04-56ae-aadb-ba1cc68d2d17"", ""ontologyProperty"": """", ""resourceXresourceId"": ""36f2321f-aeaf-41cb-b3dc-8e647603b78c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
231cd7d5-7048-5452-b4ec-77986a0e1a9a,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/231cd7d5-7048-5452-b4ec-77986a0e1a9a,object identifier,tg:mmbtk:18,record identifiers,MMB.A.2517,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Dicodyledones - Polypétales. Peripétalie (Planche XVII)
231cd7d5-7048-5452-b4ec-77986a0e1a9a,44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18,tg:mmbtk:18_#1,e73_MaterialRecords,1,"[{""resourceId"": ""44b787db-6025-590f-a670-526337c10576"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ff7ac22f-fed7-44de-8eb3-fd387a7bfa25"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,,,,AA,0,,https://data.museummayervandenbergh.be/ark:/59511/2498657f-a53d-5a72-b2fe-c8b6b918a6d1,object identifier,tg:mmbtk:9,record identifiers,MMB.A.2508,constructed titles,Tekeningen van bloemen en planten,Tekeningen,descriptive note,Nederlands,Monocotyledones - Monoperigynie (Planche VIII)
2498657f-a53d-5a72-b2fe-c8b6b918a6d1,021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9,tg:mmbtk:9_#1,e73_MaterialRecords,1,"[{""resourceId"": ""021df5ca-73c7-53b1-be94-f706e7de97ed"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1cf84426-bb8d-4c7c-bdc3-c2260ca1647e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
