ResourceID,mmb_id_mat,card,order,Acquisition Brocade ID,Acquisition Widget,Archive Brocade ID,Archive Widget,Image URL,au_code,au_name,Production Actor Role,Production Actor Note,Production Actor Widget,Start Date,End Date,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Warehouse Location (end),Material,Object Type,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation,Document status
0015ee19-f806-5f76-943c-473274f4fed4,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2058_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0015ee19-f806-5f76-943c-473274f4fed4,Doos A.XV,,ink,letters (correspondence),record identifiers,tg:mmbbr:2058_#1,,,,
0015ee19-f806-5f76-943c-473274f4fed4,tg:mmbbr:2058_#1,e22_Archives,1,,,MMB.A.I.B.3.b,,,,,,,,,,,,,,,,,,,,,,,
0015ee19-f806-5f76-943c-473274f4fed4,tg:mmbbr:2058_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/YgWJZDifOSXLPuD7OdwbQQtw,,,,,,,,,,,,,,,,,,,,,
0015ee19-f806-5f76-943c-473274f4fed4,tg:mmbbr:2058_#1,e22_ProductionActors,1,,,,,,,"Dhanis, Fernand",correspondents (correspondence writers),"No au_code for briefschrijver, Dhanis, Fernand",,,,,,,,,,,,,,,,,
0015ee19-f806-5f76-943c-473274f4fed4,tg:mmbbr:2058_#1,e22_ProductionActors,2,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",recipients (people),"No match for au::115207, recipients (people), Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,,
0015ee19-f806-5f76-943c-473274f4fed4,tg:mmbbr:2058_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1904-12-11,,,,,,,,,,,,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:72_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/00a02dd3-bd76-557e-a439-9dc8ff064000,Doos A.I,,ink,letters (correspondence),record identifiers,tg:mmbbr:72_#1,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,tg:mmbbr:72_#1,e22_Archives,1,,,MMB.A.I.A.1,,,,,,,,,,,,,,,,,,,,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,tg:mmbbr:72_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/xLAgOGdmDUIXBhFseFsQtIHD#id,,,,,,,,,,,,,,,,,,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,tg:mmbbr:72_#1,e22_ProductionActors,1,,,,,,au::115616:1,"Patroni, Tertulliano",correspondents (correspondence writers),"No match for au::115616, correspondents (correspondence writers), Patroni, Tertulliano",,,,,,,,,,,,,,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,tg:mmbbr:72_#1,e22_ProductionActors,2,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",recipients (people),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
00a02dd3-bd76-557e-a439-9dc8ff064000,tg:mmbbr:72_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1888-11-28,,,,,,,,,,,,,,,
00cee83e-f132-5103-a6e9-f186cab54431,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1754_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/00cee83e-f132-5103-a6e9-f186cab54431,Doos A.XIII,,ink,letters (correspondence),record identifiers,tg:mmbbr:1754_#1,,,,
00cee83e-f132-5103-a6e9-f186cab54431,tg:mmbbr:1754_#1,e22_Archives,1,,,MMB.A.I.B.3.a,,,,,,,,,,,,,,,,,,,,,,,
00cee83e-f132-5103-a6e9-f186cab54431,tg:mmbbr:1754_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/gRQJYNTABg9LwkBKSLhz9XeF,,,,,,,,,,,,,,,,,,,,,
00cee83e-f132-5103-a6e9-f186cab54431,tg:mmbbr:1754_#1,e22_ProductionActors,1,,,,,,,"Cahame, Paul",correspondents (correspondence writers),"No au_code for briefschrijver, Cahame, Paul",,,,,,,,,,,,,,,,,
00cee83e-f132-5103-a6e9-f186cab54431,tg:mmbbr:1754_#1,e22_ProductionActors,2,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",recipients (people),"No match for au::115207, recipients (people), Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,,
00cee83e-f132-5103-a6e9-f186cab54431,tg:mmbbr:1754_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1904-12-13,,,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1345_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/00d99340-94c7-5fbf-be9e-7a0856539d00,Doos A.X,,ink,letters (correspondence),record identifiers,tg:mmbbr:1345_#1,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_Acquisitions,1,vóór 1974 geschonken door Baudouin Cols,,,,,,,,,,,,,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_Archives,1,,,MMB.A.I.D.2.c,,,,,,,,,,,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/r1Fg9DZLRqIneGbOWbZ1WuAD,,,,,,,,,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_ProductionActors,1,,,,,,au::5179:1,"Delbeke, August",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/554153"",""au::5179"",""au::5179:1"",""ark:/83110/x0/0247daf1-3723-5112-b386-c97178556126"",""August Delbeke""],""name"":""August Delbeke"",""ark"":""ark:/83110/x0/0247daf1-3723-5112-b386-c97178556126"",""uri"":""/agents/people/554153"",""id"":""au::5179:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_ProductionActors,2,,,,,,au::27863:1,"Cols, Alphonse",recipients (people),,"dlod={""suggest"":[""/agents/people/2981341"",""au::27863"",""au::27863:1"",""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""Alphonse Cols""],""name"":""Alphonse Cols"",""ark"":""ark:/83110/x0/a516596a-0003-54ad-871e-c9aabffec538"",""uri"":""/agents/people/2981341"",""id"":""au::27863:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
00d99340-94c7-5fbf-be9e-7a0856539d00,tg:mmbbr:1345_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1902-02-12,,,,,,,,,,,,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1084_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,Doos A.VIII,,ink,letters (correspondence),record identifiers,tg:mmbbr:1084_#1,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,tg:mmbbr:1084_#1,e22_Archives,1,,,MMB.A.I.A.1,,,,,,,,,,,,,,,,,,,,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,tg:mmbbr:1084_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/B1KVHVLfZcnY5OebKS5ywPXg,,,,,,,,,,,,,,,,,,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,tg:mmbbr:1084_#1,e22_ProductionActors,1,,,,,,,"Ulrich, Adolpho",correspondents (correspondence writers),"No au_code for briefschrijver, Ulrich, Adolpho",,,,,,,,,,,,,,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,tg:mmbbr:1084_#1,e22_ProductionActors,2,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",recipients (people),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
0102a7bd-f3d6-57e8-a6ce-d93a47cb20dc,tg:mmbbr:1084_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1900-07-27,,,,,,,,,,,,,,,
01063073-9f98-532c-ab9e-b9af50c3a3e1,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1011_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01063073-9f98-532c-ab9e-b9af50c3a3e1,Doos A.VII,,ink,letters (correspondence),record identifiers,tg:mmbbr:1011_#1,remarks,Nederlands,"MMB.0003, MMB.0103",
01063073-9f98-532c-ab9e-b9af50c3a3e1,tg:mmbbr:1011_#1,e22_Archives,1,,,MMB.A.I.A.1,,,,,,,,,,,,,,,,,,,,,,,
01063073-9f98-532c-ab9e-b9af50c3a3e1,tg:mmbbr:1011_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/w1Uta3WAOobJcWGaYNLHHF5s#id,,,,,,,,,,,,,,,,,,,,,
01063073-9f98-532c-ab9e-b9af50c3a3e1,tg:mmbbr:1011_#1,e22_ProductionActors,1,,,,,,,Bligny,correspondents (correspondence writers),"No au_code for briefschrijver, Bligny",,,,,,,,,,,,,,,,,
01063073-9f98-532c-ab9e-b9af50c3a3e1,tg:mmbbr:1011_#1,e22_ProductionActors,2,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",recipients (people),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
01063073-9f98-532c-ab9e-b9af50c3a3e1,tg:mmbbr:1011_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1899-12-07,,,,,,,,,,,,,,,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2201_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0135d133-2c2b-5e7b-87d8-e9409a8caaa3,Doos A.XVI,,ink,visiting cards,record identifiers,tg:mmbbr:2201_#1,,,,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,tg:mmbbr:2201_#1,e22_Archives,1,,,MMB.A.I.B.3.c,,,,,,,,,,,,,,,,,,,,,,,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,tg:mmbbr:2201_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/TPbINZtbZlKRVfaZZiLB8OkY,,,,,,,,,,,,,,,,,,,,,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,tg:mmbbr:2201_#1,e22_ProductionActors,1,,,,,,au::115566:1,"Grelle, Stanislas Uldarique Joseph Ghislain le",correspondents (correspondence writers),"No match for au::115566, correspondents (correspondence writers), Grelle, Stanislas Uldarique Joseph Ghislain le",,,,,,,,,,,,,,,,,
0135d133-2c2b-5e7b-87d8-e9409a8caaa3,tg:mmbbr:2201_#1,e22_ProductionActors,2,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",recipients (people),"No match for au::115207, recipients (people), Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1921_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/0137e0c5-3324-5127-9f6f-a55ca9d03326,Doos A.XIV,,ink,postcards,record identifiers,tg:mmbbr:1921_#1,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,tg:mmbbr:1921_#1,e22_Archives,1,,,MMB.A.I.B.3.a,,,,,,,,,,,,,,,,,,,,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,tg:mmbbr:1921_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/v1dtcVqFaDgUhDQbgenAoCS9,,,,,,,,,,,,,,,,,,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,tg:mmbbr:1921_#1,e22_ProductionActors,1,,,,,,au::1514:1,"Belpaire, Marie-Elisabeth",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/161998"",""au::1514"",""au::1514:1"",""ark:/83110/x0/75ec04b0-f341-59bf-9952-55d76d195b63"",""Marie-Elisabeth Belpaire""],""name"":""Marie-Elisabeth Belpaire"",""ark"":""ark:/83110/x0/75ec04b0-f341-59bf-9952-55d76d195b63"",""uri"":""/agents/people/161998"",""id"":""au::1514:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,tg:mmbbr:1921_#1,e22_ProductionActors,2,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",recipients (people),"No match for au::115207, recipients (people), Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,,
0137e0c5-3324-5127-9f6f-a55ca9d03326,tg:mmbbr:1921_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1904-uu-uu,,,,,,,,,,,,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1885_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/014a3a82-e682-5e1d-98dd-003bd7e2c081,Doos A.XIV,,ink,postcards,record identifiers,tg:mmbbr:1885_#1,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,tg:mmbbr:1885_#1,e22_Archives,1,,,MMB.A.I.B.3.a,,,,,,,,,,,,,,,,,,,,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,tg:mmbbr:1885_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/H1H4VWiHCi9sLRHpOHpDCZFq,,,,,,,,,,,,,,,,,,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,tg:mmbbr:1885_#1,e22_ProductionActors,1,,,,,,,"Schmid, Madame C.",correspondents (correspondence writers),"No au_code for briefschrijver, Schmid, Madame C.",,,,,,,,,,,,,,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,tg:mmbbr:1885_#1,e22_ProductionActors,2,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",recipients (people),"No match for au::115207, recipients (people), Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,,
014a3a82-e682-5e1d-98dd-003bd7e2c081,tg:mmbbr:1885_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1904-uu-uu,,,,,,,,,,,,,,,
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:832_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/016a7ca7-a192-506f-a15d-bf8ef3b2abfa,Doos A.VI,,ink,letters (correspondence),record identifiers,tg:mmbbr:832_#1,remarks,Nederlands,"MMB.0198, MMB.0195, MMB.0609, MMB.0078",
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,tg:mmbbr:832_#1,e22_Archives,1,,,MMB.A.I.A.1,,,,,,,,,,,,,,,,,,,,,,,
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,tg:mmbbr:832_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/V1tXqmbSldQhSMfKV6BtRWkr,,,,,,,,,,,,,,,,,,,,,
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,tg:mmbbr:832_#1,e22_ProductionActors,1,,,,,,,"Martin, veuve",correspondents (correspondence writers),"No au_code for briefschrijver, Martin, veuve",,,,,,,,,,,,,,,,,
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,tg:mmbbr:832_#1,e22_ProductionActors,2,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",recipients (people),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
016a7ca7-a192-506f-a15d-bf8ef3b2abfa,tg:mmbbr:832_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1897-12-28,,,,,,,,,,,,,,,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:1664_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/016fda96-fcab-5fbc-b07b-8d724bc44ab8,Doos A.XII,,ink,letters (correspondence),record identifiers,tg:mmbbr:1664_#1,remarks,Nederlands,MMB.0466. Verband met brief MMB.A. 0167,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,tg:mmbbr:1664_#1,e22_Archives,1,,,MMB.A.I.A.2,,,,,,,,,,,,,,,,,,,,,,,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,tg:mmbbr:1664_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/b1QdCSWSSHucChWUWZiFcPrR,,,,,,,,,,,,,,,,,,,,,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,tg:mmbbr:1664_#1,e22_ProductionActors,1,,,,,,au::12085:1,"Mayer van den Bergh, Fritz",correspondents (correspondence writers),,"dlod={""suggest"":[""/agents/people/1293095"",""au::12085"",""au::12085:1"",""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""Fritz Mayer van den Bergh""],""name"":""Fritz Mayer van den Bergh"",""ark"":""ark:/83110/x0/fb0e47fc-56d0-5abd-b5a6-e439e663a2ae"",""uri"":""/agents/people/1293095"",""id"":""au::12085:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,tg:mmbbr:1664_#1,e22_ProductionActors,2,,,,,,au::115654:1,"Maimone, J.",recipients (people),"No match for au::115654, recipients (people), Maimone, J.",,,,,,,,,,,,,,,,,
016fda96-fcab-5fbc-b07b-8d724bc44ab8,tg:mmbbr:1664_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,1890-09-13,,,,,,,,,,,,,,,
01948617-94c4-5139-903d-298dc005ee4b,,AA,0,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbbr:2242_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/01948617-94c4-5139-903d-298dc005ee4b,Doos A.XVII,,ink,letters (correspondence),record identifiers,tg:mmbbr:2242_#1,,,,
01948617-94c4-5139-903d-298dc005ee4b,tg:mmbbr:2242_#1,e22_Archives,1,,,MMB.A.I.B.3.c,,,,,,,,,,,,,,,,,,,,,,,
01948617-94c4-5139-903d-298dc005ee4b,tg:mmbbr:2242_#1,e22_Images,1,,,,,https://dams.antwerpen.be/asset/A1KKljYpCURPaQuSyWf7f02Y,,,,,,,,,,,,,,,,,,,,,
