ResourceID,mmb_id_mat,card,order,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,Image URL,au_code,au_name,Production Actor Role,Production Actor Widget,Production Actor Note,Start Date,End Date,Creation Place Widget,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Material,Carrier Type,Material Colour,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
021df5ca-73c7-53b1-be94-f706e7de97ed,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:9_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/021df5ca-73c7-53b1-be94-f706e7de97ed,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:9_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/M1BcUbrY9XPRU8QgSUmcP51V,,,,,,,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_ProductionActors,1,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,,"No match for au::115207, authors, Mayer van den Bergh, Henriëtte",,,,,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_ProductionPlaces,1,,,,,,,,au::100009,,,,,,,"dlod={""name"":""Constantine (Algerije)"",""ark"":""ark:/83110/x0/b2185190-10ff-5ca2-b907-b30525d5dd1c"",""uri"":""/subjects/10700963"",""id"":""au::100009"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}",,,,,,,,,,,,,
021df5ca-73c7-53b1-be94-f706e7de97ed,tg:mmbtk:9_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,,AA,0,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:12_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,Doos XIX,ink,paper (fiber product),black (color),record identifiers,tg:mmbtk:12_#1,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
