ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,Document status,adm.acquiredVia,adm.id_mat,adm.inv,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Volgnummer,Source Note,Warehouse Location (begin),Material,Object Type,volgnummer,note,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:280692_#1,https://data.letterenhuis.be/ark:/24970/001a9a2b-318b-58c3-94d5-05d8aeaaa8df
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,e22_AcquisitionNumbers,1,,,,202504/60a-b,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,e22_Acquisitions,1,tr:lh:7843,"dlod={""name"":""Archief van André Demedts"",""ark"":""ark:/24970/x0/2611bce9-29b0-5829-87cb-de819e404f2c"",""uri"":""/repositories/11/accessions/15392"",""id"":""tr:lh:7843"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/2611bce9-29b0-5829-87cb-de819e404f2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,e22_Archives,1,,,,,,,,,,,isad:lh:160846,"dlod={""name"":""Remi van de Moortel"",""ark"":""ark:/24970/x0/dc3b257e-a583-5aa1-848d-33ffbaf18344"",""uri"":""/repositories/11/archival_objects/253849"",""id"":""isad:lh:160846"",""nameWithContext"":[""Briefwisseling"",""Briefwisseling en documentatie per persoon of vereniging"",""Personen en vereniging beginnend met M""],""resourceName"":""Archief van André Demedts"",""resourceArk"":""ark:/24970/x0/da97161e-0be3-5d31-a4be-05a641571425"",""resourceURI"":""/repositories/11/resources/3295"",""resourceID"":""isad:lh:7757"",""capacity"":""Remi van de Moortel"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/dc3b257e-a583-5aa1-848d-33ffbaf18344,,,,,,,,,,,,,,,,,,,
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,e22_Items,1,,,,,,,,,,,,,,,tr:lh:7843,tg:lhbr:280692_#1,202504/60a-b,isad:lh:160846,,001a9a2b-318b-58c3-94d5-05d8aeaaa8df,D 325 / 782,,,,,,,,,,,
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,e22_Materials,1,,,,,,kenmerken.lhschrijfhs,in,,,,,,,,,,,,,,,,,ink,,,,,,,,
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,e22_ObjectTypes,1,,,,,,kenmerken.lhtypebr,brbe,,,,,,,,,,,,,,,,,,letters (correspondence),,,,,,,
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,e22_OtherIdentifiers,1,,,,,,,,,,,,,,,,,,,,,,,,,,D 325 / 782,,,,,,
001a9a2b-318b-58c3-94d5-05d8aeaaa8df,tg:lhbr:280692_#1,e22_ProductionTechniques,1,,,,,,kenmerken.lhtypohs,hs,,,,,,,,,,,,,,,,,,,,,,handwriting,,,
002c3ce6-2ca2-5875-8d74-0bb515ffad74,tg:lhbr:145073_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhbr:145073_#1,https://data.letterenhuis.be/ark:/24970/002c3ce6-2ca2-5875-8d74-0bb515ffad74
