ResourceID,brocade.id,Archive Brocade ID,card,order,Archive Name,Archive Identifier
002b48b1-16b1-58b1-ada4-fcdd1fc7dbc3,tg:lhhs:1966,isad:lh:86832,Archives,1,Poëzie (2),{'url':'https://id.letterenhuis.be/ark:/24970/002b48b1-16b1-58b1-ada4-fcdd1fc7dbc3'}
003777b1-abc0-546d-9391-e4b16df3552c,tg:lhdc:1194,isad:lh:175069,Archives,1,1954,{'url':'https://id.letterenhuis.be/ark:/24970/003777b1-abc0-546d-9391-e4b16df3552c'}
005729f1-33c9-5dd3-b5bf-20d45638935f,tg:lhdc:2812,isad:lh:179103,Archives,1,1949,{'url':'https://id.letterenhuis.be/ark:/24970/005729f1-33c9-5dd3-b5bf-20d45638935f'}
00624d0c-a9df-5e7d-a560-ada15274c2af,tg:lhdc:2890,isad:lh:179104,Archives,1,1950,{'url':'https://id.letterenhuis.be/ark:/24970/00624d0c-a9df-5e7d-a560-ada15274c2af'}
006b3aec-045b-5451-9720-4d69be9f8d4f,tg:lhbr:154616,isad:lh:63720,Archives,1,Brieven van Modest Vliebergh,{'url':'https://id.letterenhuis.be/ark:/24970/006b3aec-045b-5451-9720-4d69be9f8d4f'}
008553ab-b0df-5eee-aae8-7bdcef550d61,tg:lhhs:16620,isad:lh:120423,Archives,1,1914 - Interludiën II,{'url':'https://id.letterenhuis.be/ark:/24970/008553ab-b0df-5eee-aae8-7bdcef550d61'}
0090a3c0-a2ae-5ce4-a6d8-c37d8544f94a,tg:lhdc:1970,isad:lh:178528,Archives,1,1977,{'url':'https://id.letterenhuis.be/ark:/24970/0090a3c0-a2ae-5ce4-a6d8-c37d8544f94a'}
009280a6-60eb-5510-9ccc-8311dd050679,tg:lhdc:2185,isad:lh:174016,Archives,1,1962,{'url':'https://id.letterenhuis.be/ark:/24970/009280a6-60eb-5510-9ccc-8311dd050679'}
00966f0b-726c-5023-8344-bd8022f11a68,tg:lhdc:4102,isad:lh:179657,Archives,1,1978,{'url':'https://id.letterenhuis.be/ark:/24970/00966f0b-726c-5023-8344-bd8022f11a68'}
00d8dd8f-1b48-5b38-9299-703fa3b7548f,tg:lhbr:151947,isad:lh:62616,Archives,1,Brieven aan Thérèse Vermeylen,{'url':'https://id.letterenhuis.be/ark:/24970/00d8dd8f-1b48-5b38-9299-703fa3b7548f'}
00e0cefb-cedd-5ccb-9cc9-713e213bb7c3,tg:lhhs:1399,isad:lh:162417,Archives,1,1947 - Alleen de dooden ontkomen,{'url':'https://id.letterenhuis.be/ark:/24970/00e0cefb-cedd-5ccb-9cc9-713e213bb7c3'}
00e75a16-b5d6-559b-933b-da69683f2ca6,tg:lhdc:1377,isad:lh:175046,Archives,1,Luisterspelen zonder datum,{'url':'https://id.letterenhuis.be/ark:/24970/00e75a16-b5d6-559b-933b-da69683f2ca6'}
00e88c12-8d1b-5d69-8ce4-1c3477c2eb6f,tg:lhhs:7888,isad:lh:166756,Archives,1,Toespraken en interviews,{'url':'https://id.letterenhuis.be/ark:/24970/00e88c12-8d1b-5d69-8ce4-1c3477c2eb6f'}
01029917-ea09-5c49-88f8-3107b8203fdb,tg:lhhs:6124,isad:lh:146797,Archives,1,Dietsche Warande en Belfort,{'url':'https://id.letterenhuis.be/ark:/24970/01029917-ea09-5c49-88f8-3107b8203fdb'}
011fad9c-e6bd-54ef-bc43-d29d95f9e614,tg:lhbr:177176,isad:lh:70941,Archives,1,Brieven van Theo Vonck,{'url':'https://id.letterenhuis.be/ark:/24970/011fad9c-e6bd-54ef-bc43-d29d95f9e614'}
0162680b-f0ac-58df-add8-accdc1e98f6a,tg:lhdc:2956,isad:lh:179106,Archives,1,1952,{'url':'https://id.letterenhuis.be/ark:/24970/0162680b-f0ac-58df-add8-accdc1e98f6a'}
016f671f-9952-59f2-b796-8ac25ff1b643,tg:lhbr:234812,isad:lh:84010,Archives,1,Brieven van Ben Reynders,{'url':'https://id.letterenhuis.be/ark:/24970/016f671f-9952-59f2-b796-8ac25ff1b643'}
