ResourceID,brocade.id,card,order,Writing material
5afeb490-cc8e-57e9-a983-92e3cbe01821,tg:lhhs:3721,WritingMaterials,1,Inkt
d60b5c1f-8e9c-529a-96e5-e517a2d14757,tg:lhhs:2833,WritingMaterials,1,Inkt
d1346b06-06c9-5cd9-be9c-2e0853cfb994,tg:lhhs:13232,WritingMaterials,1,Inkt
782d17f9-dfac-5e90-9378-e15be88c2b68,tg:lhhs:6489,WritingMaterials,1,Inkt
d25f5f96-a383-5b98-ac99-4c37f63a4adf,tg:lhhs:16460,WritingMaterials,1,Inkt
dfd8bc5b-a20e-517e-8781-20f6b3c29b32,tg:lhhs:19795,WritingMaterials,1,Inkt
6d97b1f3-e7b4-5d37-8a38-373a3c888c55,tg:lhhs:18887,WritingMaterials,1,Balpen
e12f60d9-42f8-5c6e-a3e5-db71229eeb07,tg:lhhs:16933,WritingMaterials,1,Inkt
601737a6-271f-518a-a1f4-b74dc13efcf0,tg:lhhs:16899,WritingMaterials,1,Inkt
af8a767b-6220-5f7d-85b2-90aff6a9d199,tg:lhhs:17271,WritingMaterials,1,Inkt
b6bf9963-1e2b-5b55-bfd2-e67337fe47f9,tg:lhhs:7762,WritingMaterials,1,Inkt
b0528a6f-fa42-5b27-bc0d-24d8b4bf95a8,tg:lhhs:6870,WritingMaterials,1,Inkt
9dbe167c-8f5c-5812-9770-ff7762926de0,tg:lhhs:15759,WritingMaterials,1,Balpen
7dbce934-61c1-5e86-936c-24c2900f472e,tg:lhhs:17764,WritingMaterials,1,Inkt
a70f76cb-fded-5b93-b517-9136434111e1,tg:lhhs:8182,WritingMaterials,1,Inkt
65b74196-745d-5b6a-8f85-12d21736dfef,tg:lhhs:20417,WritingMaterials,1,Inkt
335d3034-0a27-5dc2-93b9-6d534fa0584b,tg:lhhs:18491,WritingMaterials,1,Balpen
17295643-ba29-5915-b371-78b6e458297e,tg:lhhs:20047,WritingMaterials,1,Inkt
167b7ca6-fea7-51a1-a1bd-6ca2957f42bc,tg:lhhs:7627,WritingMaterials,1,Inkt
4a8f4cce-4235-5545-95cb-bde2baae99d0,tg:lhhs:6935,WritingMaterials,1,Inkt
45d0ebc8-d7fc-5f3f-88f5-c4a1bdcb94db,tg:lhhs:4908,WritingMaterials,1,Inkt
0569d9f7-7725-51a2-bb87-6133c53a82bd,tg:lhhs:16175,WritingMaterials,1,Balpen
2e2217ed-3f95-531d-b0e0-7f6b48d89761,tg:lhhs:14148,WritingMaterials,1,Balpen
dad11e2f-6c14-591e-bb5e-74b164c56f93,tg:lhhs:8881,WritingMaterials,1,Potlood
e3bc4ac1-724c-58cc-a020-dc019d9b583a,tg:lhhs:19280,WritingMaterials,1,Inkt
d662ec5e-ad9b-5929-8c7b-bcac2202a6b0,tg:lhhs:18868,WritingMaterials,1,Balpen
6343342f-f716-5c84-9ef9-219078c8bdd2,tg:lhhs:2976,WritingMaterials,1,Inkt
b97aca93-8153-527b-a9fb-dc9de55a875f,tg:lhhs:14518,WritingMaterials,1,Balpen
0791cbd8-04ac-5caa-96e5-a1866f4e7454,tg:lhhs:6036,WritingMaterials,1,Viltstift
f5119d7d-32e2-5c69-aa6a-912210a96cb4,tg:lhhs:10808,WritingMaterials,1,Inkt
22632f5a-c74b-50b3-a77d-9af0895bb5d0,tg:lhhs:15020,WritingMaterials,1,Balpen
0b7f1456-2228-5c84-af8b-6ee3fbb45f76,tg:lhhs:8301,WritingMaterials,1,Inkt
